LOCATION,DATE,TIME,YEAR,MEAN_SEAGR,STD_SEAGRA,DD_LAT,DD_LON
"New York / Fire Is., Long Island",1/1/01,2:01:00,2001,0.00,0.00,41.10000,-70.53040
"New York / Fire Is., Long Island",5/27/10,12:10:00,2010,1.31,1.43,41.10000,-70.53040
"New York / Fire Is., Long Island",8/13/09,12:01:00,2009,5.50,7.03,41.10000,-70.53040
"New York / Fire Is., Long Island",8/9/07,14:00:00,2007,12.01,14.72,41.10000,-70.53040
Ambergris/ Bacalar Chico MR no-take zone,1/30/10,13:00:00,2010,38.65,29.50,18.16993,-87.83566
Ambergris/ Bacalar Chico MR public use zone,1/30/10,18:33:00,2010,0.00,0.00,18.16993,-87.83560
Ambergris/ Hol Chan Marine Reserve,8/2/10,0:00:00,2010,51.19,23.83,17.85042,-88.04031
Ambergris/ Hol Chan Marine Reserve,3/22/11,11:44:00,2011,60.94,23.96,17.85042,-88.04031
"Ambergris/ Hol Chan, San Pedro",7/28/10,11:00:00,2010,32.91,5.00,17.88233,-87.98591
"Ambergris/ Hol Chan, San Pedro",1/7/11,11:33:00,2011,34.47,4.61,17.88233,-87.98591
Andavadoaka / Antsaranasoa,2/2/09,11:00:00,2009,12.30,4.39,-23.49600,43.14750
Andavadoaka / Antsaranasoa,10/2/08,11:48:00,2008,17.07,3.79,-23.49600,43.14750
Andavadoaka / Nosy Fasy,1/12/08,0:00:00,2008,24.16,6.98,-23.48460,43.11850
Bahia de Chengue,10/16/09,13:00:00,2009,42.72,14.51,11.19000,-74.08000
"Bay of Randobe/ Ifaty, Dune Hotel",1/30/10,15:00:00,2010,23.77,20.22,-23.78780,43.36115
"Bay of Randobe/ Ifaty, Dune Hotel",10/16/08,13:50:00,2008,27.20,14.30,-23.78780,43.36115
"Bay of Randobe/ Ifaty, Dune Hotel",9/29/07,16:30:00,2007,35.07,22.93,-23.78780,43.36115
"Bay of Randobe/ Ifaty, Reef Doctor",1/31/10,12:00:00,2010,10.04,2.00,-23.93300,43.36708
"Bay of Randobe/ Ifaty, Reef Doctor",10/17/08,10:00:00,2008,11.86,2.60,-23.93300,43.36708
"Bay of Randobe/ Ifaty, Reef Doctor",10/17/07,10:00:00,2007,12.03,3.35,-23.93300,43.36708
"Blackbird Caye, Turneffe",10/2/10,11:50:00,2010,28.46,15.04,17.31483,-87.79883
"Blackbird Caye, Turneffe",12/12/06,14:30:00,2006,28.55,15.22,17.31483,-87.79883
"Blackbird Caye, Turneffe",7/13/09,10:30:00,2009,29.14,11.88,17.31483,-87.79883
"Blackbird Caye, Turneffe",7/10/07,14:30:00,2007,29.24,13.50,17.31483,-87.79883
"Blackbird Caye, Turneffe",5/9/11,13:33:00,2011,29.92,11.98,17.31483,-87.79883
"Blackbird Caye, Turneffe",11/24/08,14:15:00,2008,31.23,15.06,17.31483,-87.79883
"Blackbird Caye, Turneffe",4/8/05,16:00:00,2005,36.94,11.28,17.31483,-87.79883
"Blongko, North Sulawesi",7/30/04,0:00:00,2004,14.19,2.58,1.14116,124.35250
"Blongko, North Sulawesi",1/1/06,15:55:00,2006,14.59,0.73,1.14116,124.35250
"Bolinao/ Ilog Malino w/coal, Pangasinan",10/14/08,14:00:00,2008,7.28,1.75,16.21905,119.49304
"Bolinao/ Ilog Malino w/coal, Pangasinan",7/11/09,11:00:00,2009,8.51,2.17,16.21905,119.49304
