Site names,lat,lon,coords from
Aitcho Islands,62∞24'S,59∞47'W,Aitcho - Barrientos Island
Base Decepcion,62∞97's,60∞67'w,Decepcion Base Research Station
Damoy Point,64∞49'S,63∞32'W,Damoy Point/Dorian Bay
Damoy Point / Dorian Bay,64∞49'S,63∞32'W,Damoy Point/Dorian Bay
False Island,63∞55'S,57∞20'W,False Island Point
Inverleith harbour,64∞30'S ,62∞55'W,Andrews Point
Kinnis Cove,63∞19's,056∞28'w,Kinnes Cove/Madder Cliffs
Peltiers Channel,64∞52's,063∞34'w,Peltier Channel
Pl_neau Island,65∞06'S,64∞04'W,Pléneau Island
Stanley Shoal,62∞59'S ,60∞38'W,Stanley Patch
Walker Bay,62∞39'S,060∞37'W,Walker Bay (by Hannah Point)
Bay of Whales,78∞40'S,164∞24'W,
Wohlschlag Bay,77∞22'S,166∞25'E,
Bartlett Bay,77∞08.61'S,157∞40'W,
Halley Rookery,75∞31.2'S,27∞21.2'W,
Halley Station,75∞27.5'S,26∞40.9'W,
Tourmaline Plateau,74∞32's,163∞50'e,
Shephard Island,74∞25'S,132∞43'W,
Stancomb Wills Rookery,74∞05.1'S,22∞57.8'W,
Drescher Inlet,72∞50.7'S,19∞35.7'W,
Ironside Glacier,72∞08'S,169∞40'E,
Cape Roget,71∞59'S,170∞37'E,
George VI Sound,71∞00'S,68∞00'W,
Leningradskaya,69∞30'S,159∞23'E,
Lord Bank,67∞50'S,69∞15'W,
Guebriant Islands,67∞48'S,68∞25'W,
Adelaide Anchorage,67∞46'S,68∞58'W,
Balleny Islands,66∞56'S,163∞19'E,
Antarctic Circle,66∞33'S,0∞0'W,
Flounder Island,66∞01'S,65∞24'W,
Beer Island,66∞00'S,65∞41'W,
Erskine Glacier,66∞32'S,65∞22'W,
Woolpack Island,65∞37'S,65∞00'W,
Lippman Islands,65∞30'S,64∞26'W,
Forge Islands,65∞14'S,64∞17'W,
Robertson Island,65∞05'S,59∞31'W,
Wandel Peak,65∞05's,64∞00'w,
Screen Islands,65∞01'S,63∞43'W,
Fridtjof Island,64∞53'S,63∞22'W,
Alvaro Cove,64∞51'S,63∞01'W,
Security Bay,64∞51'S,63∞37'W,
Dorian Bay,64∞49'S,63∞32'W,
Saddler Point,64∞42'S,62∞01'W,
Challenger Island,64∞21'S,61∞35'W,
Spring Point,64∞18'S,61∞03'W,
Uruguay Island,64∞14's,64∞13'W,
Botany Bay,63∞41'S,57∞53'W,
Martha Cove,63∞54'S,57∞47'W,
Tetra Rocks,63∞54.6'S,60∞44.6'W,
Brandy Bay,63∞50'S,57∞59'W,
Borgen Bay,63∞45'S,063∞30'W,
Camp Hill,63∞41'S,57∞52'W,
Cape Green,63∞40'S,56∞50'W,
Eagle Island,63∞38'S,57∞24'W,
Trinity Peninsula,63∞37'S,58∞20'W,
Eyrie Bay,63∞35'S,57∞38'W,
Danger Islands,63∞25'S,54∞40'W,
Cape Legoupil,63∞19'S,57∞54'W,
Macaroni Point,62∞54'S,60∞32'W,
Juan Carlos I Station,62∞39'S,60∞23'W,
Hardy Cove,62∞32'S,59∞35'W,
Duthoit Point,62∞19'S,58∞50'W,
Matthew Island,60∞44'S,045∞06'W,
Amphibolite Point,60∞42'S,045∞20'W,
Governor Islands,60∞30'S,45∞56'W,
B15A Iceberg,0,0,
Madder Cliffs,63∞18.0'S,56∞29.0'W,https://data.aad.gov.au/aadc/gaz/place_names_near_place.cfm?country_id=826&lat=-63.3&lon=-56.4833333&offset=1.0&place_name=Madder%20Cliffs
Paradise Harbor,64∞49'S,62∞51'W,http://www.nsf.gov/geo/plr/antarct/aca/nsf01151/aca3_hist.pdf
