"Site_name","sp_id","latitude_dd","longitude_dd","rgn_type"
"Inexpressible Island",288100,-74.9,163.65,"land"
"Jabet Peak",248100,-64.8166666666667,-63.4666666666667,"land"
"Jenny Island",248100,-67.7333333333333,-68.4,"eez"
"Jougla Point",248100,-64.8333333333333,-63.5,"land"
"Jubany",248100,-62.2379,-58.66685,"land"
"Kinnes Cove/Madder Cliffs",248100,-63.3666666666667,-56.55,"eez"
"Lautaro Island",248100,-64.8166666666667,-63.1,"eez"
"Leith Cove",248100,-64.8666666666667,-62.8333333333333,"eez"
"Lemaire Channel",248100,-65.0666666666667,-63.95,"land"
"Lemaire Island",248100,-64.8166666666667,-62.95,"eez"
"Lindblad Cove",248100,-63.85,-59.45,"eez"
"Livingston Island",248100,-62.6,-60.5,"land"
"Maxwell Bay, King George",248100,-62.25,-58.85,"eez"
"McFarlane Strait",248100,-62.5333333333333,-59.9166666666667,"eez"
"McMurdo Ice Channel",288100,-77.5,166.1,"eez"
"McMurdo Station",288100,-77.8482166666667,166.668416666667,"eez"
"Melchior Islands",248100,-64.3166666666667,-62.95,"eez"
"Mikkelsen Harbor (D'Hainaut)",248100,-63.9,-60.7833333333333,"eez"
"Mount Banck",248100,-64.9,-63.05,"eez"
"Mount Demaria",248100,-65.2833333333333,-64.1,"eez"
"Mount Erebus Summit",288100,-77.5333333333333,167.166666666667,"land"
"Mount Scott",248100,-65.15,-64.05,"eez"
"Mount Shackleton",248100,-65.2166666666667,-63.9333333333333,"land"
"Mudge Passage",248100,-66.0333333333333,-65.8333333333333,"eez"
"Murray Island",248100,-64.3666666666667,-61.5666666666667,"eez"
"Nansen Island",248100,-64.5833333333333,-62.1,"eez"
"Neko Harbor",248100,-64.8333333333333,-62.55,"eez"
"Nelson Island",248100,-62.3,-59.05,"land"
"Neptunes Bellows",248100,-63,-60.5666666666667,"land"
"Neumayer Channel",248100,-64.7833333333333,-63.5,"land"
"Neumayer Station",248600,-70.67725,-8.2716,"eez"
"Novo Airbase",248600,-70.8218,11.6398666666667,"land"
"O'Higgins Station",248100,-63.32095,-57.8997833333333,"eez"
"Orcadas",248200,-60.5833333333333,-45.5,"land"
"Orne Harbor",248100,-64.6166666666667,-62.5333333333333,"eez"
"Orne Islands",248100,-64.6666666666667,-62.6666666666667,"eez"
"Palaver Point",248100,-64.15,-61.75,"eez"
"Palmer Station",248100,-64.7742666666667,-64.0533333333333,"eez"
"Paradise Bay",248100,-64.85,-62.9,"eez"
"Paulet Island",248100,-63.5833333333333,-55.7833333333333,"eez"
"Peltier Channel",248100,-64.8666666666667,-63.5333333333333,"land"
"Pendulum Cove",248100,-62.9333333333333,-60.6,"eez"
"Penguin Island",248100,-62.1,-57.9,"eez"
"Penola Strait",248100,-65.1666666666667,-64.1166666666667,"eez"
"Peter I Island",288300,-68.7833333333333,-90.5833333333333,"land"
"Petermann Island",248100,-65.1666666666667,-64.1666666666667,"eez"
"Petrel Cove",248100,-63.4666666666667,-56.2166666666667,"eez"
"Pitt Islands",248100,-65.4333333333333,-65.5,"eez"
"Plata Passage",248100,-64.6666666666667,-62.0166666666667,"eez"
"Pl_neau Island",248100,-65.1,-64.0666666666667,"eez"
"Point Wild",248100,-61.1,-54.8666666666667,"land"
"Porquois Pas Island",248100,-67.6833333333333,-67.4666666666667,"land"
"Port Charcot",248100,-65.0666666666667,-64,"eez"
"Port Foster",248100,-62.95,-60.65,"land"
"Portal Point",248100,-64.5,-61.7666666666667,"eez"
"Prospect Point",248100,-66.0166666666667,-65.35,"eez"
"Pursuit Point",248100,-64.9166666666667,-63.45,"eez"
"Red Rock Ridge",248100,-68.3,-67.1333333333333,"land"
"Robert Point",248100,-62.4666666666667,-59.3833333333333,"eez"
"Ronge Island Other",248100,-64.7166666666667,-62.6833333333333,"eez"
"Ronge Island/Georges Point",248100,-64.7166666666667,-62.6833333333333,"eez"
"Rosamel Island",248100,-63.5666666666667,-56.2833333333333,"eez"
"Ross Ice Shelf",288100,-81.5,-175,"eez"
"San Martin Station",248100,-68.1303,-67.1029333333333,"eez"
"Scott Base",288100,-77.8494333333333,166.767283333333,"land"
"Scott Island",288100,-67.4,-179.916666666667,"eez"
"Skontorp Cove",248100,-64.9,-62.8666666666667,"eez"
"Snow Island",248100,-62.7833333333333,-61.3833333333333,"land"
"Spert Island",248100,-63.85,-60.95,"eez"
"Spigot Peak",248100,-64.65,-62.5666666666667,"eez"
"Sterneck Island",248100,-64.1833333333333,-61.0333333333333,"eez"
"Stonington Island",248100,-68.1833333333333,-67,"eez"
"Taylor Valley/Canada Glacier",288100,-77.6166666666667,163.066666666667,"land"
"Telefon Bay",248100,-62.9333333333333,-60.6666666666667,"land"
"The Gullet",248100,-67.1666666666667,-67.6333333333333,"eez"
"Torgersen Island",248100,-64.7666666666667,-64.0833333333333,"eez"
"Trinity Island Other",248100,-63.75,-60.7333333333333,"land"
"Turret Point",248100,-62.0833333333333,-57.9166666666667,"eez"
"Union Glacier",248500,-79.75,-82.5,"land"
"Useful Island",248100,-64.7166666666667,-62.8666666666667,"eez"
"Vega Island/Herbert Sound",248100,-63.8333333333333,-57.4166666666667,"land"
"Vernadsky Station",248100,-65.24575,-64.2574833333333,"eez"
"View Point",248100,-63.55,-57.3666666666667,"eez"
"Waddington Bay",248100,-65.2666666666667,-64.0833333333333,"eez"
"Walker Bay (by Hannah Point)",248100,-62.6333333333333,-60.7,"eez"
"Waterboat Point/Gonzalez Videla Station",248100,-64.8166666666667,-62.85,"land"
"Weddell Sea",248500,-72,-45,"eez"
"Whalers Bay",248100,-62.9833333333333,-60.5666666666667,"eez"
"Wiggins Glacier",248100,-65.2333333333333,-64.05,"land"
"Wilhelmina Bay",248100,-64.6333333333333,-62.1666666666667,"eez"
"Winter Island",248100,-65.25,-64.2666666666667,"eez"
"Yalour Islands",248100,-65.2333333333333,-64.1666666666667,"eez"
"Yankee Harbor",248100,-62.5333333333333,-59.7833333333333,"land"
"Alcock Island",248100,-64.2333333333333,-61.1333333333333,"eez"
"Amery Ice Shelf",258420,-69.75,71,"eez"
"Artigas station",248100,-62.18455,-58.90245,"land"
"Astrolabe Glacier Area, or Vicinity",258410,-66.75,139.916666666667,"land"
"Beascochea Bay",248100,-65.5,-64,"eez"
"Bennett Islands",248100,-66.9333333333333,-67.6666666666667,"eez"
"Blaiklock Island",248100,-67.55,-67.0666666666667,"land"
"Boyd Strait",248100,-62.8333333333333,-62,"eez"
"Brabant Island",248100,-64.25,-62.3333333333333,"land"
"Butler Passage",248100,-64.9666666666667,-63.7333333333333,"eez"
"Campbell Glacier/Gondwana Area",288100,-74.4166666666667,164.366666666667,"land"
"Cape Darnley",258420,-67.7166666666667,69.5,"eez"
"Cape Denison",258410,-67,142.666666666667,"land"
"Cape Jules",258410,-66.7333333333333,140.916666666667,"eez"
"Chiriguano Bay",248100,-64.4666666666667,-62.5166666666667,"land"
"Cockburn Island",248100,-64.2,-56.85,"eez"
"Coronation Island",248200,-60.6166666666667,-45.5833333333333,"land"
"Crystal Hill",248100,-63.65,-57.7333333333333,"eez"
"Davis Station",258420,-68.5759333333333,77.9695166666667,"land"
"Dumont D'Urville Station",258410,-66.6628333333333,140.001333333333,"land"
"Eckener Point",248100,-64.4333333333333,-61.6,"eez"
"Edgell Bay",248100,-62.2666666666667,-58.9833333333333,"land"
"Extension Reef",248100,-65.9666666666667,-66.1333333333333,"eez"
"Fast Ice",248100,-65.9,-65.1666666666667,"eez"
"Galindez Is -Penola Strait",248100,-65.25,-64.25,"eez"
"Harry Island",248100,-64.1333333333333,-61.9833333333333,"eez"
"Herbert Sound",248100,-63.9166666666667,-57.6666666666667,"eez"
"Heroina Island",248100,-63.4,-54.6,"eez"
"Heywood Island",248100,-62.3333333333333,-59.6833333333333,"eez"
"James Ross Island",248100,-64.1666666666667,-57.75,"land"
"Jonassen Island",248100,-63.55,-56.6666666666667,"eez"
"Larrouy Island",248100,-65.8666666666667,-65.25,"eez"
"Lion Sound",248100,-64.6666666666667,-63.15,"land"
"Marguerite Bay, The Gullet",248100,-68.5,-68.5,"eez"
"Martel Inlet",248100,-62.0833333333333,-58.3666666666667,"eez"
"Mendel/Czech Station",248100,-63.8006333333333,-57.8826,"land"
"Mount Mill",248100,-65.25,-64.05,"land"
"North Point",248200,-60.6833333333333,-45.6333333333333,"eez"
"Ohridski (Bulgarian Station)",248100,-62.6407166666667,-60.3652333333333,"eez"
"Penguin Point",248200,-60.5166666666667,-45.9333333333333,"land"
"Possession Island",288100,-71.8666666666667,171.2,"eez"
"Primero de Mayo Bay",248100,-62.9666666666667,-60.7,"land"
"Prince Gustav Channel",248100,-63.8333333333333,-58.25,"eez"
"Renaud Island",248100,-65.6666666666667,-66,"land"
"Rothera Station",248100,-67.5686333333333,-68.1243833333333,"eez"
"Sandefjord Bay",248200,-60.6166666666667,-46.05,"eez"
"Selvick Cove",248100,-64.65,-62.5666666666667,"eez"
"Seymour Island",248100,-64.2833333333333,-56.75,"land"
"Shackleton Ice Shelf",258410,-66,100,"eez"
"Shingle Cove",248200,-60.65,-45.5666666666667,"land"
"Signy Island Station",248200,-60.7082833333333,-45.5953833333333,"eez"
"Snow Hill - Nordenskjolds Hut",248200,-60.7,-45.6333333333333,"eez"
"Snow Hill Island",248100,-64.4666666666667,-57.2,"land"
"South Orkney Islands",248200,-60.5833333333333,-45.5,"land"
"Terra Firma Islands",248100,-68.7,-67.5333333333333,"eez"
"Wauwermans Islands",248100,-64.9166666666667,-63.8833333333333,"eez"
"Wyatt Earp",248500,-77.5666666666667,-86.4166666666667,"land"
"Yelcho Point",248100,-61.05,-55.3666666666667,"eez"
"Admiralty Sound",248100,-64.3333333333333,-57.1666666666667,"eez"
"Atka Bay Rookery",248600,-70.5833333333333,-7.85,"eez"
"Cape Herschel",248100,-64.0666666666667,-61.0333333333333,"eez"
"Cape Washington",288100,-74.65,165.416666666667,"eez"
"Casabianca Island",248100,-64.8166666666667,-63.5166666666667,"land"
"D'Urville Monument",248100,-63.4166666666667,-56.3,"land"
"Dannebrog Islands",248100,-65.05,-64.1333333333333,"eez"
"False Island Point",248100,-63.9166666666667,-57.3333333333333,"eez"
"French Passage",248100,-65.1666666666667,-64.3333333333333,"eez"
"Haddon Bay, Joinville Isl",248100,-63.3,-55.7333333333333,"land"
"Laurie Island",248200,-60.7333333333333,-44.6166666666667,"land"
"Liard Island",248100,-66.85,-67.4166666666667,"land"
"Mikkelsen Harbor",248100,-63.9,-60.7833333333333,"eez"
"Monroe Island",248200,-60.6,-46.05,"eez"
"Mutton Cove",248100,-66,-65.65,"eez"
"Peter Oy Island",288300,-68.7833333333333,-90.5833333333333,"land"
"Phantom Coast",248100,-66.4166666666667,-65.6833333333333,"land"
"Pourquoi-Pas Island",248100,-67.6833333333333,-67.4666666666667,"land"
"Riiser Larsen",258420,-68.9166666666667,34,"land"
"Rosenthal Islands",248100,-64.6,-64.3,"eez"
"Sally Rocks",248100,-62.7,-60.4333333333333,"eez"
"Siple Island",288200,-73.65,-125,"eez"
"Snow Hill Emperor Rookery",248100,-64.5166666666667,-57.45,"land"
"Sorge Island, Gullet",248100,-67.1833333333333,-67.7166666666667,"land"
"Steinheil point",248100,-64.85,-62.6833333333333,"land"
"Straggle Islands",248100,-65.8833333333333,-65.1,"eez"
"Tay Head",248100,-63.35,-55.5666666666667,"eez"
"Terra Nova Bay",288100,-74.8333333333333,164.5,"eez"
"Two Hummock Island",248100,-64.1333333333333,-61.7,"eez"
"Cape Valentine",248100,-61.1,-54.65,"eez"
"Carvajal Station",248100,-67.7613166666667,-68.9148166666667,"land"
"Cobalescou Island",248100,-64.1833333333333,-61.65,"eez"
"Duseberg Buttress",248100,-65.1666666666667,-64.1,"eez"
"Edwards Point",248100,-62.4833333333333,-59.5,"eez"
"Greenwich Island",248100,-62.5166666666667,-59.7833333333333,"land"
"King Sejong Station",248100,-62.2232333333333,-58.7865,"land"
"Mertz Glacier Tongue",258410,-67.1666666666667,145.5,"land"
"Novolazarevskaya",248600,-70.7769333333333,11.8236666666667,"land"
"Patriot Hills",248500,-80.3333333333333,-81.4166666666667,"land"
"Peon Peak",248100,-64.75,-62.65,"eez"
"Potter Cove",248100,-62.2333333333333,-58.7,"land"
"Watkins Island",248100,-66.3666666666667,-67.1,"eez"
"Webb Island",248100,-67.45,-67.9333333333333,"eez"
"Audrey Island",248100,-68.1333333333333,-67.1166666666667,"eez"
"Cape Colbeck",288200,-77.1166666666667,-157.9,"eez"
"Cape Decouverte",258410,-66.7666666666667,141.55,"eez"
"Cape Gray",258410,-66.85,143.366666666667,"eez"
"Cape Lachman",248100,-63.7833333333333,-57.7833333333333,"eez"
"Cape Mergerie",258410,-66.8166666666667,141.4,"eez"
"Covey Rocks",258420,-67.55,67.7166666666667,"eez"
"Decepcion Base Research Station",248100,-62.9767666666667,-60.7007,"land"
"Dion Islands (ASPA)",248100,-67.8666666666667,-68.7166666666667,"eez"
"Dogs Leg Fjord",248100,-67.7166666666667,-66.8666666666667,"land"
"Drygalski Ice Tongue",288100,-75.4,163.5,"eez"
"Dundee Island",248100,-63.5,-55.9166666666667,"land"
"Ferraz Station",248100,-62.0846166666667,-58.3925666666667,"eez"
"Gand Island",248100,-64.4,-62.85,"eez"
"Harrison Passage",248100,-65.8833333333333,-65.1833333333333,"eez"
"John Beach",248100,-62.65,-60.7666666666667,"land"
"Lavoisier",248100,-65.8666666666667,-65.25,"eez"
"Lister Cove",248100,-62.5,-60.0833333333333,"land"
"Mount Double",248100,-64.6833333333333,-62.58,"eez"
"Port Martin",258410,-66.8166666666667,141.4,"eez"
"Ross Sea",288100,-75,-175,"eez"
"Terra Nova Station",288100,-74.6948,164.113266666667,"eez"
"Vortex Island",248100,-63.7333333333333,-57.6333333333333,"eez"
"ZigZag Island",248100,-63.6,-59.8666666666667,"eez"
"Amanda Bay",258420,-69.25,76.8333333333333,"land"
"Auguste Island",248100,-64.05,-61.6166666666667,"eez"
"Auster Rookery",258420,-67.3833333333333,64.0333333333333,"eez"
"Beneden Head",248100,-64.7666666666667,-62.7,"eez"
"Bob Island",248100,-64.9333333333333,-63.4333333333333,"eez"
"Camp Point",248100,-67.9666666666667,-67.3166666666667,"eez"
"Clear Island",248100,-64.9166666666667,-63.7333333333333,"eez"
"Davis Islands",258410,-66.6666666666667,108.416666666667,"eez"
"Dobrowolski Island",248100,-64.6,-62.9166666666667,"land"
"Gaston Islands",248100,-64.4666666666667,-61.8333333333333,"eez"
"Iceberg Point",248100,-64.6333333333333,-63.1,"land"
"Intercurrence Island",248100,-63.9166666666667,-61.4,"eez"
"Louise Island",248100,-64.6,-62.3833333333333,"eez"
"Moreno Rock",248100,-64.0833333333333,-61.3,"eez"
"Moureaux Islands",248100,-65.0833333333333,-63.1333333333333,"eez"
"Murray Monolith",258420,-67.7833333333333,66.9,"land"
"Neyt Point",248100,-63.9666666666667,-61.8,"land"
"President Head",248100,-62.7333333333333,-61.2,"land"
"Sophie Rocks",248100,-64.7333333333333,-62.25,"eez"
"Truant Island",248100,-64.9166666666667,-63.4166666666667,"eez"
"Wylie Bay",248100,-64.7333333333333,-64.1666666666667,"eez"
