tax_code,tax_nm,common_nm
100000,Marine animals,Marine animals
100021,Sturgeons and paddlefishes,Sturgeons and paddlefishes
100025,Miscellaneous diadromous fishes,Diadromous fishes
100031,Flounders or halibuts and soles,Flounders  halibuts and soles
100035,Clupeoids,Herrings  sardines and  anchovies
100036,Scombroids,Tunas  bonitos and billfishes
100038,Sharks or rays and chimaeras,Sharks  rays and  skates  etc
100039,Marine fishes not identified,Marine fishes
100043,Homaridae and Palinuridae,Lobsters and spiny-rock lobsters
100044,King crabs and squat-lobsters,Craylets and squat lobsters
100045,Shrimps andprawns,Shrimps and prawns
100047,Miscellaneous marine crustaceans,Marine crustaceans
100056,Clams or cockles and arkshells,Clams  cockles and arkshells
100058,Miscellaneous marine molluscs,Marine molluscs
100077,Miscellaneous aquatic invertebrates,Aquatic invertebrates
100139,Marine fishes not identified,Finfishes
100176,Starfish and other echinoderms,Starfishes
100195,Marine shells nei,Ex Mollusca
100196,Cnidaria,Cnidarians and coelenterates
100239,Marine fishes not identified,Groundfishes
100276,Sea-urchins and other echinoderms,Sea urchins
100338,Sharks rays and chimaeras,Cartilaginous fishes
100339,Marine fishes not identified,Pelagic fishes
100345,Shrimps and prawns,Natantian decapods
100538,Sharks rays and chimaeras,Various sharks
200004,Elasmobranchii,Sharks and rays
290002,Cephalopoda,Cephalopods
290004,Bivalvia,Clams
290005,Ascidiacea,Sea squirts
290006,Gastropoda,Gastropods
290010,Asteroidea,Sea stars
290011,Echinoidea,Sea urchins
290012,Holothuroidea,Sea cucumbers
290013,Scyphozoa,Jellyfish
290022,Crustacea,Crustaceans
300003,Chimaeriformes,Chimaeras
300007,Lamniformes,Mackerel sharks
300008,Carcharhiniformes,Ground sharks
300009,Squaliformes,Bramble and sleeper and dogfish sharks
300014,Rajiformes,Skates and rays
300026,Anguilliformes,Eels and morays
300028,Clupeiformes,Herrings
300032,Siluriformes,Catfish
300044,Gadiformes,Cods
300059,Scorpaeniformes,Scorpionfishes and flatheads
300060,Perciformes,Perch-likes
300061,Pleuronectiformes,Flatfishes
390002,Teuthida,Squids
390006,Sepiida,Cuttlefishes
390007,Octopoda,Octopuses
390011,Archaeogastropoda,Abalones and winkles
390013,Decapoda,Crabs lobsters and shrimps
390017,Stomatopoda,Mantis shrimps
400001,Petromyzontidae,Lampreys
400002,Myxinidae,Hagfishes
400009,Lamnidae,Mackerel sharks and white sharks
400010,Scyliorhinidae,Cat sharks
400011,Carcharhinidae,Requiem sharks
400012,Sphyrnidae,Hammerhead  and bonnethead  and scoophead shark
400013,Squalidae,Dogfish sharks
400015,Squatinidae,Angel sharks
400016,Pristidae,Sawfishes
400017,Rhinobatidae,Guitarfishes
400018,Torpedinidae,Electric rays
400019,Rajidae,Skates
400020,Dasyatidae,Stingrays
400022,Myliobatidae,Eagle and manta rays
400024,Callorhinchidae,Plownose chimaeras
400032,Acipenseridae,Sturgeons
400043,Clupeidae,Herrings and shads and sardines and menhadens
400056,Muraenidae,Moray eels
400062,Congridae,Conger and garden eels
400066,Ophichthidae,Snake eels
400076,Salmonidae,Salmonids
400080,Osmeridae,Smelts
400084,Bathylagidae,Deep-sea smelts
400145,Ariidae,Sea catfishes
400160,Synodontidae,Lizardfishes
400163,Chlorophthalmidae,Greeneyes
400167,Myctophidae,Lanternfishes
400180,Moridae,Codlings
400183,Gadidae,Cods and haddocks
400185,Macrouridae,Grenadiers or rattails
400186,Ophidiidae,Cusk-eels
400189,Batrachoididae,Toadfishes
400190,Lophiidae,Goosefishes
400206,Exocoetidae,Flyingfishes
400207,Belonidae,Needlefishes
400208,Scomberesocidae,Sauries
400218,Atherinidae,Silversides
400236,Trachichthyidae,Slimeheads
400240,Berycidae,Alfonsinos
400243,Holocentridae,Squirrelfishes and soldierfishes
400249,Zeidae,Dories
400250,Oreosomatidae,Oreos
400252,Caproidae,Boarfishes
400253,Aulostomidae,Trumpetfishes
400254,Fistulariidae,Cornetfishes
400264,Scorpaenidae,Scorpionfishes or rockfishes
400266,Triglidae,Searobins
400271,Hexagrammidae,Greenlings
400273,Platycephalidae,Flatheads
400277,Cottidae,Sculpins
400287,Centropomidae,Snooks
400289,Serranidae,Sea basses or groupers and fairy basslets
400301,Kuhliidae,Aholeholes
400303,Priacanthidae,Bigeyes or catalufas
400304,Apogonidae,Cardinalfishes
400306,Percidae,Perches
400307,Sillaginidae,Smelt-whitings
400308,Malacanthidae,Tilefishes
400312,Rachycentridae,Cobia
400313,Echeneidae,Remoras
400314,Carangidae,Jacks and pompanos
400317,Menidae,Moonfish
400318,Leiognathidae,Slimys  slipmouths  or ponyfishes
400319,Bramidae,Pomfrets
400323,Lutjanidae,Snappers
400324,Nemipteridae,Threadfin breams and Whiptail breams
400326,Gerreidae,Mojarras
400327,Haemulidae,Grunts
400328,Lethrinidae,Emperors or scavengers
400330,Sparidae,Porgies
400331,Sciaenidae,Drums or croakers
400332,Mullidae,Goatfishes
400334,Pempheridae,Sweepers
400339,Kyphosidae,Sea chubs
400340,Ephippidae,Spadefishes and batfishes and scats
400343,Chaetodontidae,Butterflyfishes
400350,Pomacentridae,Damselfishes
400356,Latridae,Trumpeters
400359,Mugilidae,Mullets
400360,Sphyraenidae,Barracudas
400361,Polynemidae,Threadfins
