tax_code,tax_nm,common_nm
600016,Epinephelus itajara,Goliath grouper
600035,Anguilla anguilla,European eel
600039,Aphia minuta,Transparent goby
600058,Coris julis,Mediterranean rainbow wrasse
600080,Chanos chanos,Milkfish
600086,Apsilus fuscus,African forktail snapper
600091,Allothunnus fallai,Slender tuna
600099,Alepisaurus ferox,Long snouted lancetfish
600135,Scomberomorus semifasciatus,Broad-barred king mackerel
600154,Lutjanus jocu,Dog snapper
600176,Lutjanus russellii,Russell's snapper
600194,Paracaesio xanthura,Yellowtail blue snapper
600202,Pristipomoides flavipinnis,Golden eye jobfish
600208,Pristipomoides multidens,Goldbanded jobfish
600209,Pristipomoides sieboldii,Lavender jobfish
600257,Glossanodon semifasciatus,Deepsea smelt
600258,Esox lucius,Northern pike
600261,Lutjanus fulviflamma,Dory snapper
600270,Carassius carassius,Crucian carp
600272,Rutilus rutilus,Roach
600274,Hypophthalmichthys molitrix,Silver carp
600275,Hypophthalmichthys nobilis,Bighead carp
600283,Pelecus cultratus,Ziege
600289,Silurus glanis,Wels catfish
600296,Anguilla rostrata,American eel
600310,Lota lota,Burbot
600358,Perca fluviatilis,European perch
600409,Menticirrhus americanus,Southern kingcroaker
600445,Pagrus major,Red seabream
600454,Drepane punctata,Spotted sicklefish
600538,Anchoa spinifer,Spicule anchovy
600664,Centroscymnus cryptacanthus,Shortnose velvet dogfish
600708,Squalus blainville,Longnose spurdog
600877,Carcharhinus melanopterus,Blacktip reef shark
600948,Sciades couma,Couma sea catfish
600949,Notarius grandicassis,Thomas sea catfish
600952,Sciades parkeri,Gillbacker sea catfish
600954,Amphiarius phrygiatus,Kukwari sea catfish
600955,Sciades proops,Crucifix sea catfish
600956,Aspistor quadriscutis,Bressou sea catfish
600958,Bagre bagre,Coco sea catfish
600988,Alectis ciliaris,African pompano
600993,Decapterus macarellus,Mackerel scad
600998,Naucrates ductor,Pilotfish
601004,Selene vomer,Lookdown
601009,Trachinotus cayennensis,Cayenne pompano
601022,Diodon hystrix,Spot-fin porcupinefish
601049,Eucinostomus argenteus,Silver mojarra
601110,Polydactylus octonemus,Atlantic threadfin
601129,Haemulon bonariense,Black grunt
601142,Haemulon steindachneri,Chere-chere grunt
601146,Pomadasys corvinaeformis,Roughneck grunt
601149,Priacanthus arenatus,Atlantic bigeye
601163,Anchoa nasus,Longnose anchovy
601165,Bairdiella chrysoura,Silver croaker
601166,Bairdiella ronchus,Ground croaker
601168,Ctenosciaena gracilicirrhus,Barbel drum
601169,Cynoscion acoupa,Acoupa weakfish
601170,Cynoscion arenarius,Sand weakfish
601184,Nebris microps,Smalleye croaker
601187,Paralonchurus brasiliensis,Banded croaker
601196,Stellifer rastrifer,Rake stardrum
601211,Mycteroperca interstitialis,Yellowmouth grouper
601214,Mycteroperca rubra,Mottled grouper
601219,Archosargus rhomboidalis,Western Atlantic seabream
601236,Sphyraena guachancho,Guachanche barracuda
601239,Lagocephalus laevigatus,Smooth puffer
601248,Dasyatis guttata,Longnose stingray
601250,Aetobatus narinari,Spotted eagle ray
601309,Aulostomus chinensis,Chinese trumpetfish
601311,Odonus niger,Redtoothed triggerfish
601406,Lutjanus erythropterus,Crimson snapper
601450,Cyprinus carpio carpio,Common carp
601478,Harengula clupeola,False herring
601480,Harengula jaguana,Scaled herring
601507,Sardinella fimbriata,Fringescale sardinella
601643,Pellona harroweri,American coastal pellona
601655,Odontognathus mucronatus,Guiana longfin herring
601730,Gymnothorax unicolor,Brown moray
601733,Molva macrophthalma,Spanish ling
601800,Acanthurus monroviae,Monrovia doctorfish
601823,Tetrapturus belone,Mediterranean spearfish
601834,Gymnocranius grandoculis,Blue-lined large-eye bream
601848,Lethrinus rubrioperculatus,Spotcheek emperor
601853,Lethrinus amboinensis,Ambon emperor
601870,Wattsia mossambica,Mozambique large-eye bream
601894,Campogramma glaycos,Vadigo
601912,Carangoides talamparoides,Imposter trevally
601924,Carangoides coeruleopinnatus,Coastal trevally
601935,Caranx latus,Horse-eye jack
601936,Caranx lugubris,Black jack
601956,Selene brevoortii,Hairfin lookdown
601984,Uraspis uraspis,Whitetongue jack
602061,Manta birostris,Giant manta
602065,Acipenser stellatus,Starry sturgeon
602066,Acipenser sturio,Sturgeon
602067,Huso huso,Beluga
602081,Rhincodon typus,Whale shark
602420,Gasterosteus aculeatus aculeatus,Three-spined stickleback
602544,Somniosus pacificus,Pacific sleeper shark
602579,Gymnura micrura,Smooth butterfly ray
602676,Coregonus pidschian,Humpback whitefish
602801,Leuciscus idus,Orfe
602951,Scardinius erythrophthalmus,Rudd
603565,Eucinostomus gracilis,Graceful mojarra
603680,Polydactylus approximans,Blue bobo
604014,Bellator militaris,Horned searobin
604025,Prionotus rubio,Blackwing searobin
604029,Prionotus stephanophrys,Lumptail searobin
604279,Canthidermis sufflamen,Ocean triggerfish
604355,Calotomus carolinus,Carolines parrotfish
604457,Siganus spinus,Little spinefoot
604458,Terapon jarbua,Jarbua terapon
604474,Gymnocephalus cernua,Ruffe
604505,Triodon macropterus,Threetooth puffer
604536,Dentex gibbosus,Pink dentex
604582,Labrus merula,Brown wrasse
604583,Liza ramada,Thinlip grey mullet
604706,Plotosus lineatus,Striped eel catfish
604712,Acipenser gueldenstaedtii,Russian sturgeon
604739,Acanthurus nigrofuscus,Brown surgeonfish
604744,Acanthurus olivaceus,Orangespot surgeonfish
604750,Acanthurus blochii,Ringtail surgeonfish
604783,Aspius aspius,Asp
604821,Upeneus vittatus,Yellowstriped goatfish
604921,Scorpaenopsis diabolus,False stonefish
605000,Pentheroscion mbizi,Blackmouth croaker
605014,Raja miraletus,Brown ray
605068,Psettodes bennettii,Spiny turbot
605368,Rhabdosargus sarba,Goldlined seabream
605388,Echidna nebulosa,Snowflake moray
605396,Gymnothorax rueppellii,Banded moray
605402,Antennarius coccineus,Scarlet frogfish
605425,Arothron hispidus,White-spotted puffer
605531,Cymatoceps nasutus,Black musselcracker
605553,Scarus psittacus,Common parrotfish
605556,Chlorurus sordidus,Daisy parrotfish
605565,Chaetodon lunula,Raccoon butterflyfish
605581,Chaetodon unimaculatus,Teardrop butterflyfish
605605,Oxycheilinus unifasciatus,Ringtail maori wrasse
605610,Novaculichthys taeniourus,Rockmover wrasse
605613,Iniistius pavo,Peacock wrasse
605623,Cheilio inermis,Cigar wrasse
605626,Gomphosus varius,Bird wrasse
605652,Neomyxus leuciscus,Acute-jawed mullet
605689,Abudefduf sordidus,Blackspot sergeant
605736,Sphyraena novaehollandiae,Australian barracuda
605804,Kyphosus bigibbus,Grey sea chub
605806,Kyphosus vaigiensis,Brassy chub
605807,Monodactylus argenteus,Silver moony
605838,Melichthys vidua,Pinktail triggerfish
605895,Nebrius ferrugineus,Tawny nurse shark
605948,Triakis megalopterus,Sharptooth houndshark
605952,Paracirrhites forsteri,Blackside hawkfish
605961,Corythoichthys intestinalis,Scribbled pipefish
605984,Mulloidichthys vanicolensis,Yellowfin goatfish
605985,Mulloidichthys pfluegeri,Orange goatfish
