"code","iso","country","WASTECXN.2012"
4,"AFG","Afghanistan",0
8,"ALB","Albania",3.3572
12,"DZA","Algeria",34.6399166663825
16,"ASM","American Samoa",40.9767
20,"AND","Andorra",38.375
24,"AGO","Angola",0
660,"AIA","Anguilla",-9999
28,"ATG","Antigua and Barbuda",-9999
32,"ARG","Argentina",11.746875
51,"ARM","Armenia",22.5852727272727
533,"ABW","Aruba",-9999
36,"AUS","Australia",92.3333333333333
40,"AUT","Austria",79.05
31,"AZE","Azerbaijan",13.14649
44,"BHS","Bahamas",-9999
48,"BHR","Bahrain",64.2690277777778
50,"BGD","Bangladesh",0
52,"BRB","Barbados",-9999
112,"BLR","Belarus",86.4456958333334
56,"BEL","Belgium",60.0044564266667
84,"BLZ","Belize",2.2801
204,"BEN","Benin",0.0084
60,"BMU","Bermuda",0.208333333333334
64,"BTN","Bhutan",0
68,"BOL","Bolivia",11.2966666666667
70,"BIH","Bosnia and Herzegovina",3.17954617330804
72,"BWA","Botswana",0.95
76,"BRA","Brazil",10.8687777777778
92,"VGB","British Virgin Islands",6.0025
96,"BRN","Brunei Darussalam",37.84
100,"BGR","Bulgaria",28.86
854,"BFA","Burkina Faso",0.025
108,"BDI","Burundi",0
116,"KHM","Cambodia",0
120,"CMR","Cameroon",0
124,"CAN","Canada",80.4199488333333
132,"CPV","Cape Verde",19.4
136,"CYM","Cayman Islands",-9999
140,"CAF","Central African Republic",0
148,"TCD","Chad",0
152,"CHL","Chile",68.8484293939394
156,"CHN","China",18.179912237635
170,"COL","Colombia",4.6
174,"COM","Comoros",-9999
178,"COG","Congo",0.18
184,"COK","Cook Islands",-9999
188,"CRI","Costa Rica",0.9
384,"CIV","Cote d'Ivoire",0.6
191,"HRV","Croatia",13.2329178571429
192,"CUB","Cuba",9.1885
196,"CYP","Cyprus",9.44040816326532
203,"CZE","Czech Republic",75.68236485
180,"COD","Dem. Rep. Congo",0
208,"DNK","Denmark",93.45
262,"DJI","Djibouti",0
212,"DMA","Dominica",2.99
214,"DOM","Dominican Republic",5.90422764227641
218,"ECU","Ecuador",6.4
818,"EGY","Egypt",49.4981389584615
222,"SLV","El Salvador",0.62
226,"GNQ","Equatorial Guinea",1.25
232,"ERI","Eritrea",0
233,"EST","Estonia",75.2707438016528
231,"ETH","Ethiopia",0
234,"FRO","Faeroe Islands",-9999
238,"FLK","Falkland Islands",-9999
242,"FJI","Fiji",3.9
246,"FIN","Finland",84.25
250,"FRA","France",83.7991333333334
254,"GUF","French Guiana",17.24995
258,"PYF","French Polynesia",-9999
266,"GAB","Gabon",0
270,"GMB","Gambia",0.4
268,"GEO","Georgia",0
276,"DEU","Germany",95.18054
288,"GHA","Ghana",10.2483870966
292,"GIB","Gibraltar",-9999
300,"GRC","Greece",87.3333333333333
304,"GRL","Greenland",-9999
308,"GRD","Grenada",-9999
312,"GLP","Guadeloupe",15.7605
316,"GUM","Guam",-9999
320,"GTM","Guatemala",5.373
324,"GIN","Guinea",0.751111111111112
624,"GNB","Guinea-Bissau",0
328,"GUY","Guyana",0
332,"HTI","Haiti",0
336,"VAT","Holy See",-9999
340,"HND","Honduras",15.535
344,"HKG","Hong Kong",87.78688
348,"HUN","Hungary",58.6191666666667
352,"ISL","Iceland",51.9428571428571
356,"IND","India",10.48760328495
360,"IDN","Indonesia",0.0175
364,"IRN","Iran",2.7741753594
368,"IRQ","Iraq",8.2906617814625
372,"IRL","Ireland",87.4655833333333
833,"IMN","Isle of Man",-9999
376,"ISR","Israel",88.4031733333334
380,"ITA","Italy",91.4375955170658
388,"JAM","Jamaica",10
392,"JPN","Japan",71.26
400,"JOR","Jordan",42.3046483050847
398,"KAZ","Kazakhstan",30.5
404,"KEN","Kenya",0.519793939393939
296,"KIR","Kiribati",-9999
414,"KWT","Kuwait",43
417,"KGZ","Kyrgyzstan",4.2
418,"LAO","Laos",0
428,"LVA","Latvia",49.625
422,"LBN","Lebanon",15.08356164172
426,"LSO","Lesotho",0.3
430,"LBR","Liberia",0
434,"LBY","Libya",18.0838323353293
438,"LIE","Liechtenstein",-9999
440,"LTU","Lithuania",45.82
442,"LUX","Luxembourg",95
446,"MAC","Macao",-9999
807,"MKD","Macedonia",3.73527777777778
450,"MDG","Madagascar",0.53125
454,"MWI","Malawi",0
458,"MYS","Malaysia",8.64
462,"MDV","Maldives",4.64517655357143
466,"MLI","Mali",0
470,"MLT","Malta",37.0145454545455
584,"MHL","Marshall Islands",0
474,"MTQ","Martinique",21.436875
478,"MRT","Mauritania",0
480,"MUS","Mauritius",5.43888888888888
175,"MYT","Mayotte",-9999
484,"MEX","Mexico",37.4474987011556
583,"FSM","Micronesia",-9999
498,"MDA","Moldova",34.153
492,"MCO","Monaco",100
496,"MNG","Mongolia",19.8
499,"MNE","Montenegro",5.1
500,"MSR","Montserrat",-9999
504,"MAR","Morocco",39.39325
508,"MOZ","Mozambique",2.5
104,"MMR","Myanmar",0
516,"NAM","Namibia",13
520,"NRU","Nauru",-9999
524,"NPL","Nepal",0
528,"NLD","Netherlands",98.8181818181818
530,"ANT","Netherlands Antilles",-9999
540,"NCL","New Caledonia",-9999
554,"NZL","New Zealand",77.9
558,"NIC","Nicaragua",8.4
562,"NER","Niger",0
566,"NGA","Nigeria",1.08171624
570,"NIU","Niue",-9999
574,"NFK","Norfolk Island",-9999
408,"PRK","North Korea",0
580,"MNP","Northern Mariana Islands",-9999
578,"NOR","Norway",77.0533426712685
512,"OMN","Oman",13.4
586,"PAK","Pakistan",3.51774841248791
585,"PLW","Palau",40
591,"PAN","Panama",20.149375
598,"PNG","Papua New Guinea",0
600,"PRY","Paraguay",0.155
604,"PER","Peru",20.9755
608,"PHL","Philippines",0.53125
612,"PCN","Pitcairn",-9999
616,"POL","Poland",60.7272727272727
620,"PRT","Portugal",70.3305816326531
630,"PRI","Puerto Rico",57
634,"QAT","Qatar",67.3151865881658
638,"REU","Reunion",12.42825
642,"ROU","Romania",13.055
643,"RUS","Russia",21.5
646,"RWA","Rwanda",0
654,"SHN","Saint Helena",-9999
659,"KNA","Saint Kitts and Nevis",-9999
662,"LCA","Saint Lucia",-9999
666,"SPM","Saint Pierre and Miquelon",-9999
670,"VCT","Saint Vincent and the Grenadines",-9999
882,"WSM","Samoa",-9999
674,"SMR","San Marino",-9999
678,"STP","Sao Tome and Principe",-9999
682,"SAU","Saudi Arabia",28.5443592537
686,"SEN","Senegal",2.0625
688,"SRB","Serbia",8.7885
690,"SYC","Seychelles",-9999
694,"SLE","Sierra Leone",0
702,"SGP","Singapore",99.65
703,"SVK","Slovakia",57.6351333333333
705,"SVN","Slovenia",53.9918962121212
90,"SLB","Solomon Islands",0
706,"SOM","Somalia",-9999
710,"ZAF","South Africa",27.85875
410,"KOR","South Korea",83.68
724,"ESP","Spain",92.8272
144,"LKA","Sri Lanka",0
275,"PSE","State of Palestine",-9999
736,"SDN","Sudan",0
740,"SUR","Suriname",0.01
744,"SJM","Svalbard and Jan Mayen Islands",-9999
748,"SWZ","Swaziland",55.5
752,"SWE","Sweden",87.8571428571429
756,"CHE","Switzerland",96.95
760,"SYR","Syria",82.1708542752
999,"TWN","Taiwan",4.59085
762,"TJK","Tajikistan",2.25
834,"TZA","Tanzania",0.425
764,"THA","Thailand",16
626,"TLS","Timor-Leste",0.3
768,"TGO","Togo",0
772,"TKL","Tokelau",-9999
776,"TON","Tonga",-9999
780,"TTO","Trinidad and Tobago",5.25064489795918
788,"TUN","Tunisia",27.7731021668479
792,"TUR","Turkey",48.9315272727273
795,"TKM","Turkmenistan",9.8
796,"TCA","Turks and Caicos Islands",-9999
798,"TUV","Tuvalu",-9999
800,"UGA","Uganda",0.56
804,"UKR","Ukraine",14.7
784,"ARE","United Arab Emirates",67.06395
826,"GBR","United Kingdom",97.927095
840,"USA","United States of America",63.665
850,"VIR","United States Virgin Islands",-9999
858,"URY","Uruguay",6.675
860,"UZB","Uzbekistan",0
548,"VUT","Vanuatu",-9999
862,"VEN","Venezuela",14.9382909090909
704,"VNM","Viet Nam",0.1375
876,"WLF","Wallis and Futuna Islands",-9999
732,"ESH","Western Sahara",-9999
887,"YEM","Yemen",0.48795
894,"ZMB","Zambia",4.2
716,"ZWE","Zimbabwe",14.0319587616
