code,iso,country,WASTE.1990,WASTE.1991,WASTE.1992,WASTE.1993,WASTE.1994,WASTE.1995,WASTE.1996,WASTE.1997,WASTE.1998,WASTE.1999,WASTE.2000,WASTE.2001,WASTE.2002,WASTE.2003,WASTE.2004,WASTE.2005,WASTE.2006,WASTE.2007,WASTE.2008,WASTE.2009,WASTE.2010,WASTE.2011,WASTE.2012,WASTE.2013,WASTE.2014*
4,AFG,Afghanistan,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0
8,ALB,Albania,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8,0.8,5.6,7.3,7.3,-9999,-9999,-9999,-9999,4.36
12,DZA,Algeria,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,30,32,32,39,39,45,48,53,-9999,58.33333333,-9999,-9999,-9999,40.63333333
16,ASM,American Samoa,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99.7,-9999,-9999,-9999,99.7
20,AND,Andorra,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.7,3.6,3.5,17.1,19.6,31.1,47.7,86.4,98,-9999,-9999,-9999,-9999,-9999,-9999,38.375
24,AGO,Angola,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,0
660,AIA,Anguilla,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,ATG,Antigua and Barbuda,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32,ARG,Argentina,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10,42.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.25
51,ARM,Armenia,32.6,-9999,-9999,-9999,-9999,32.7,-9999,-9999,-9999,-9999,32.8,32.8,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,-9999,-9999,-9999,-9999,34
533,ABW,Aruba,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,AUS,Australia,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,100
40,AUT,Austria,72,-9999,-9999,-9999,-9999,75,-9999,-9999,81,-9999,85,86,86,89,89,-9999,92,-9999,93,-9999,-9999,-9999,-9999,-9999,88.57142857
31,AZE,Azerbaijan,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,30,30,-9999,-9999,31.2,31.4,-9999,-9999,-9999,-9999,30.52
44,BHS,Bahamas,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
48,BHR,Bahrain,58,-9999,-9999,-9999,-9999,64,65,66,69,71,74,75,77,79,83,86,87,88,-9999,-9999,-9999,-9999,-9999,-9999,81.125
50,BGD,Bangladesh,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0
52,BRB,Barbados,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112,BLR,Belarus,10,-9999,-9999,-9999,-9999,-9999,94.1,90.2,91,92.9,90.1,90.1,94,92.8,90.8,98.3,96.1,94.9,-9999,-9999,-9999,-9999,-9999,-9999,93.3875
56,BEL,Belgium,-9999,-9999,-9999,-9999,-9999,52.8,-9999,53.4,56.95,57.36,62.02349,65.88447,67.83912,69.50289,69.71051,70.39212,72.049,81.28283,82.77753,84.3984,-9999,-9999,-9999,-9999,72.586036
84,BLZ,Belize,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.1
204,BEN,Benin,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.4,-9999,0.4
60,BMU,Bermuda,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,5,5,5,5,-9999,-9999,-9999,0,4.166666667
