Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2011	2012	2013	2014	2015	2016	2017	2018	Estimates Start After
Afghanistan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	967.527	1,053.813	1,072.189	1,112.157	1,170.647	1,231.964	1,292.021	1,343.029	2007
Albania	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,848.173	8,052.178	8,290.464	8,623.507	8,972.351	9,341.446	9,731.993	10,136.064	2008
Algeria	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,271.851	7,477.069	7,736.899	8,040.416	8,372.718	8,737.226	9,129.876	9,541.373	2011
Angola	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,923.854	6,346.742	6,650.291	7,063.353	7,486.607	7,915.279	8,067.251	8,481.569	2000
Antigua and Barbuda	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	17,433.402	18,026.662	18,625.961	19,602.717	20,676.435	21,844.166	23,092.911	24,404.494	2009
Argentina	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	17,659.544	18,112.330	18,709.312	19,521.423	20,283.158	21,088.470	21,940.387	22,820.185	2010
Armenia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,404.938	5,838.258	6,128.158	6,441.791	6,786.316	7,153.969	7,546.401	7,958.158	2011
Australia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	40,949.018	42,640.275	44,073.805	45,862.664	47,619.223	49,480.881	51,532.781	53,660.317	2011
Austria	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	41,556.125	42,408.575	43,344.793	44,746.782	46,167.038	47,663.119	49,172.213	50,687.395	2012
Azerbaijan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,213.212	10,478.231	11,003.538	11,783.844	12,493.392	13,088.817	13,688.169	14,422.677	2011
The Bahamas	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	30,414.742	31,382.410	32,397.941	33,493.883	34,636.243	35,841.125	37,111.824	38,416.945	2008
Bahrain	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	27,735.311	28,743.822	29,832.888	30,809.063	31,931.875	33,151.285	34,445.139	35,792.460	2010
Bangladesh	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,909.461	2,039.477	2,174.320	2,333.557	2,510.989	2,708.764	2,928.063	3,170.259	2010
Barbados	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	24,989.024	25,372.677	25,854.237	26,565.380	27,438.615	28,498.897	29,677.304	30,956.352	2010
Belarus	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	15,056.267	15,633.695	16,307.680	17,157.566	18,108.180	19,149.798	20,305.996	21,584.362	2010
Belgium	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	37,611.054	37,883.057	38,286.436	39,235.105	40,232.524	41,299.713	42,473.762	43,686.530	2012
Belize	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,302.554	8,753.507	8,963.613	9,209.745	9,465.190	9,734.118	10,017.139	10,305.538	2012
Benin	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,620.354	1,666.738	1,717.819	1,776.810	1,842.925	1,917.579	1,997.657	2,083.471	2011
Bhutan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,009.464	6,664.706	7,187.720	7,947.742	8,810.454	10,274.363	11,592.336	12,994.878	0
Bolivia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,850.653	5,099.273	5,330.637	5,601.980	5,888.723	6,194.216	6,519.756	6,793.835	1981
Bosnia and Herzegovina	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,115.224	8,215.947	8,406.074	8,759.735	9,267.644	9,861.648	10,502.720	11,175.563	2010
Botswana	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	16,105.213	16,820.287	17,595.627	18,478.143	19,436.290	20,462.880	21,629.845	22,734.324	2008
Brazil	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	11,666.003	11,875.256	12,340.183	12,994.678	13,698.943	14,474.047	15,302.863	16,174.665	2010
Brunei Darussalam	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	53,557.205	54,388.646	55,111.198	58,695.765	63,295.704	70,059.255	72,307.357	75,409.535	2011
Bulgaria	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	13,812.318	14,311.579	14,870.194	15,592.526	16,463.468	17,394.492	18,390.011	19,437.128	2012
Burkina Faso	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,302.264	1,399.495	1,488.334	1,586.955	1,692.858	1,805.379	1,924.836	2,049.741	2010
Burundi	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	604.964	625.430	648.580	678.912	713.458	750.187	789.273	830.490	0
Cambodia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,239.244	2,402.327	2,579.064	2,792.823	3,028.816	3,287.728	3,574.696	3,885.765	2008
Cameroon	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,274.907	2,366.243	2,473.127	2,596.635	2,732.780	2,878.609	3,034.410	3,197.759	2010
Canada	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	41,690.035	42,734.362	43,593.740	45,101.390	46,736.907	48,439.976	50,194.505	51,913.016	2012
Cape Verde	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,947.202	4,132.809	4,313.478	4,536.103	4,779.097	5,052.142	5,345.472	5,655.612	2008
Central African Republic	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	773.980	800.223	827.927	873.215	915.146	963.366	1,014.781	1,069.656	2004
Chad	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,844.216	1,923.697	2,061.629	2,267.359	2,440.938	2,512.475	2,583.445	2,636.123	2004
Chile	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	17,309.835	18,419.037	19,474.739	20,598.796	21,790.826	23,091.017	24,485.964	25,957.955	2009
China	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,391.115	9,161.967	10,011.481	10,997.282	12,113.345	13,353.442	14,726.945	16,231.498	2012
Colombia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,314.827	10,791.730	11,284.216	11,886.983	12,520.998	13,198.877	13,923.173	14,683.152	2009
Comoros	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,231.652	1,257.986	1,296.770	1,346.961	1,399.261	1,454.558	1,513.800	1,575.936	2003
Democratic Republic of the Congo	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	348.527	368.908	394.253	415.437	439.807	465.454	488.982	507.058	1983
Republic of Congo	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,543.382	4,666.557	4,937.414	5,214.074	6,281.682	6,432.317	6,985.641	7,341.431	2004
Costa Rica	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	11,926.775	12,606.293	13,205.993	13,907.564	14,664.392	15,472.575	16,335.821	17,242.459	2011
Côte d'Ivoire	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,590.698	1,726.649	1,839.666	1,966.741	2,104.875	2,248.995	2,395.874	2,541.262	2009
Croatia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	17,849.806	17,810.142	18,066.819	18,702.301	19,460.756	20,263.290	21,216.010	22,207.380	2010
Cyprus	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	27,580.605	27,085.983	n/a	n/a	n/a	n/a	n/a	n/a	2012
Czech Republic	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	27,111.904	27,190.922	27,662.991	28,621.964	29,948.564	31,375.551	32,959.596	34,632.482	2010
Denmark	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	37,340.580	37,657.201	38,521.264	39,680.185	40,964.366	42,319.572	43,747.787	45,211.580	2011
