"sp_id","year","population","treatment"
248100,1977,26,1
248100,1984,34.5,1
248100,1947,12,0
248100,1968,31.5,3
248100,1948,30,1
248100,1951,9,0
248100,1953,18,0
248100,1984,26,2
248100,1994,6,0
248100,1948,32.5,1
248100,1969,95,3
248100,1952,72.5,3
248100,1961,3,0
248100,1990,12.5,1
248100,1985,27,2
248100,1991,3,0
248100,2006,10,0
248100,1989,12.5,3
248100,1982,60,3
248100,1994,14,3
248100,1988,44,3
248100,1985,15,0
248100,1969,11.5,0
248100,1989,14,3
248100,1990,11,0
248100,1969,102.5,3
248100,1961,7.5,0
248100,1947,18,0
248100,1988,9,0
248100,1965,27.5,1
248100,1967,27.5,0
248100,1951,4.5,0
248100,1977,9,0
248100,1990,2,0
248100,1957,4,0
248100,1975,76,3
248100,1951,20,0
248100,1996,18,0
248200,1904,29.5,2
248200,1947,5,0
248500,1955,12,1
248500,1956,40,3
248600,1989,10,2
248600,1989,45,3
248600,1981,29.5,3
248600,1961,50,2
248600,1989,10,1
258410,NA,10,0
258410,1969,45,3
258410,1956,63,0
258410,1956,114.5,0
258420,1957,46,3
258420,1987,25,0
258420,1987,6.5,0
258420,1954,40,2
258420,1989,48.5,2
258420,1957,69,3
258420,1989,22.5,3
288100,1997,1,0
288100,1986,45,3
288100,1955,625,3
288100,1957,47.5,3
