rgn_id,rgn_name,sciname,iucn_sid,cat,cat_score,mean_cat,st_2016,n_spp,ico_trend,,rgn_id,sciname,cat,popn_trend
1,Cocos Islands,Balaenoptera musculus,2477,EN,0.6,0.25,0.75,8,0.01775,,1,Balaenoptera musculus,EN,increasing
1,Cocos Islands,Cheilinus undulatus,4592,EN,0.6,0.25,0.75,8,0.01775,,1,Cheilinus undulatus,EN,decreasing
1,Cocos Islands,Chelonia mydas,4615,EN,0.6,0.25,0.75,8,0.01775,,1,Chelonia mydas,EN,decreasing
1,Cocos Islands,Megaptera novaeangliae,13006,LC,0,0.25,0.75,8,0.01775,,1,Megaptera novaeangliae,LC,increasing
1,Cocos Islands,Steno bredanensis,20738,LC,0,0.25,0.75,8,0.01775,,1,Triaenodon obesus,NT,unknown
1,Cocos Islands,Steno bredanensis,20738,LC,0,0.25,0.75,8,0.01775,,,,,
1,Cocos Islands,Steno bredanensis,20738,LC,0,0.25,0.75,8,0.01775,,,,,
1,Cocos Islands,Triaenodon obesus,39384,NT,0.2,0.25,0.75,8,0.01775,,,,,
,,,,,,,,,,,,,,
59,Belgium,Balaenoptera acutorostrata,2474,LC,0,0.4,0.6,4,0.02424,,59,Balaenoptera acutorostrata,LC,stable
59,Belgium,Balaenoptera physalus,2478,EN,0.6,0.4,0.6,4,0.02424,,59,Balaenoptera physalus,EN,unknown
59,Belgium,Cetorhinus maximus,4292,VU,0.4,0.4,0.6,4,0.02424,,59,Cetorhinus maximus,EN,decreasing
59,Belgium,Cetorhinus maximus,39340,EN,0.6,0.4,0.6,4,0.02424,,59,Cetorhinus maximus,EN,decreasing
,,,,,,,,,,,59,Cetorhinus maximus,VU,decreasing
,,,,,,,,,,,59,Cetorhinus maximus,VU,decreasing
,,,,,,,,,,,,,,
164,Belize,Carcharhinus perezi,60217,NT,0.2,0.26667,0.73333,15,0.00739,,164,Carcharhinus perezi,NT,decreasing
164,Belize,Caretta caretta,3897,VU,0.4,0.26667,0.73333,15,0.00739,,164,Caretta caretta,EN,NA
164,Belize,Caretta caretta,84131194,LC,0,0.26667,0.73333,15,0.00739,,164,Chelonia mydas,EN,decreasing
164,Belize,Chelonia mydas,4615,EN,0.6,0.26667,0.73333,15,0.00739,,164,Dermochelys coriacea,LC,increasing
164,Belize,Dermochelys coriacea,6494,VU,0.4,0.26667,0.73333,15,0.00739,,164,Dermochelys coriacea,LC,decreasing
164,Belize,Dermochelys coriacea,46967827,LC,0,0.26667,0.73333,15,0.00739,,164,Dermochelys coriacea,VU,increasing
164,Belize,Eretmochelys imbricata,8005,CR,0.8,0.26667,0.73333,15,0.00739,,164,Dermochelys coriacea,VU,decreasing
164,Belize,Galeocerdo cuvier,39378,NT,0.2,0.26667,0.73333,15,0.00739,,164,Eretmochelys imbricata,CR,decreasing
164,Belize,Isurus oxyrinchus,39341,VU,0.4,0.26667,0.73333,15,0.00739,,164,Galeocerdo cuvier,NT,unknown
164,Belize,Isurus oxyrinchus,161749,VU,0.4,0.26667,0.73333,15,0.00739,,164,Isurus oxyrinchus,VU,decreasing
164,Belize,Prionace glauca,39381,NT,0.2,0.26667,0.73333,15,0.00739,,164,Isurus oxyrinchus,VU,decreasing
164,Belize,Rhincodon typus,19488,VU,0.4,0.26667,0.73333,15,0.00739,,164,Isurus oxyrinchus,VU,decreasing
164,Belize,Steno bredanensis,20738,LC,0,0.26667,0.73333,15,0.00739,,164,Isurus oxyrinchus,VU,decreasing
164,Belize,Steno bredanensis,20738,LC,0,0.26667,0.73333,15,0.00739,,164,Prionace glauca,NT,unknown
164,Belize,Steno bredanensis,20738,LC,0,0.26667,0.73333,15,0.00739,,164,Rhincodon typus,VU,decreasing
,,,,,,,,,,,,,,
