am_sid,rgn_id,rgn_name,rgn_range_km2,iucn_sid,map_iucn_sid,spatial_source,cat_score,sciname
Chn-ae156111-0d32-4a94-8720-9d7733c99831,210,Japan,NA,2811,NA,am,0.6,Birgus latro
Fis-10471,210,Japan,NA,197054,NA,am,0,Ellochelon vaigiensis
Fis-10896,112,Cuba,NA,154647,NA,am,0,Coelorinchus occa
Fis-10950,162,New Zealand,NA,69798438,NA,am,0,Parascorpaena picta
Fis-10950,210,Japan,NA,69798438,NA,am,0,Parascorpaena picta
Fis-11214,162,New Zealand,NA,46093091,NA,am,0,Arnoglossus macrolophus
Fis-11214,210,Japan,NA,46093091,NA,am,0,Arnoglossus macrolophus
Fis-112301,162,New Zealand,NA,65367453,NA,am,0,Filicampus tigris
Fis-112301,210,Japan,NA,65367453,NA,am,0,Filicampus tigris
Fis-112315,162,New Zealand,NA,65368085,NA,am,0,Heraldia nocturna
Fis-112318,162,New Zealand,NA,65368238,NA,am,0,Histiogamphelus briggsii
Fis-112415,162,New Zealand,NA,65370289,NA,am,0,Lissocampus runa
Fis-112419,162,New Zealand,NA,65370433,NA,am,0,Maroubra perserrata
Fis-112455,162,New Zealand,NA,65371889,NA,am,0,Mitotichthys tuckeri
Fis-112460,162,New Zealand,NA,65372435,NA,am,0,Notiocampus ruber
Fis-112462,162,New Zealand,NA,65372543,NA,am,0,Penetopteryx taeniocephalus
Fis-112462,210,Japan,NA,65372543,NA,am,0,Penetopteryx taeniocephalus
Fis-112472,162,New Zealand,NA,88342897,NA,am,0,Stigmatopora argus
Fis-112490,162,New Zealand,NA,88343011,NA,am,0,Stigmatopora nigra
Fis-112522,162,New Zealand,NA,65375519,NA,am,0,Vanacampus margaritifer
Fis-112538,162,New Zealand,NA,65375571,NA,am,0,Vanacampus phillipi
Fis-112580,112,Cuba,NA,16779444,NA,am,0,Prionotus beanii
Fis-112689,112,Cuba,NA,190233,NA,am,0,Scorpaena agassizii
Fis-112706,112,Cuba,NA,190199,NA,am,0,Bellator ribeiroi
Fis-112710,112,Cuba,NA,57453696,NA,am,0,Holcomycteronus squamosus
Fis-112788,162,New Zealand,NA,10057,NA,am,0.4,Hippocampus abdominalis
Fis-112789,162,New Zealand,NA,178995,NA,am,0,Notoclinops caerulepunctus
Fis-112790,162,New Zealand,NA,178965,NA,am,0,Notoclinops segmentatus
Fis-112792,162,New Zealand,NA,178993,NA,am,0,Cryptichthys jojettae
