"site_name","date","time","year","sg_pct_mean","sg_pct_sd","lat","long","day","country"
"New York / Fire Is., Long Island","1/1/01","2:01:00",2001,0,0,41.1,-70.5304,1,"United States of America"
"New York / Fire Is., Long Island","5/27/10","12:10:00",2010,1.31,1.43,41.1,-70.5304,147,"United States of America"
"New York / Fire Is., Long Island","8/13/09","12:01:00",2009,5.5,7.03,41.1,-70.5304,225,"United States of America"
"New York / Fire Is., Long Island","8/9/07","14:00:00",2007,12.01,14.72,41.1,-70.5304,221,"United States of America"
"Ambergris/ Bacalar Chico MR no-take zone","1/30/10","13:00:00",2010,38.65,29.5,18.16993,-87.83566,30,"Belize"
"Ambergris/ Bacalar Chico MR public use zone","1/30/10","18:33:00",2010,0,0,18.16993,-87.8356,30,"Belize"
"Ambergris/ Hol Chan Marine Reserve","8/2/10","0:00:00",2010,51.19,23.83,17.85042,-88.04031,214,"Belize"
"Ambergris/ Hol Chan Marine Reserve","3/22/11","11:44:00",2011,60.94,23.96,17.85042,-88.04031,81,"Belize"
"Ambergris/ Hol Chan, San Pedro","7/28/10","11:00:00",2010,32.91,5,17.88233,-87.98591,209,"Belize"
"Ambergris/ Hol Chan, San Pedro","1/7/11","11:33:00",2011,34.47,4.61,17.88233,-87.98591,7,"Belize"
"Andavadoaka / Antsaranasoa","2/2/09","11:00:00",2009,12.3,4.39,-23.496,43.1475,33,"Madagascar"
"Andavadoaka / Antsaranasoa","10/2/08","11:48:00",2008,17.07,3.79,-23.496,43.1475,276,"Madagascar"
"Andavadoaka / Nosy Fasy","1/12/08","0:00:00",2008,24.16,6.98,-23.4846,43.1185,12,"Madagascar"
"Bahia de Chengue","10/16/09","13:00:00",2009,42.72,14.51,11.19,-74.08,289,"Colombia"
"Bay of Randobe/ Ifaty, Dune Hotel","1/30/10","15:00:00",2010,23.77,20.22,-23.7878,43.36115,30,"Madagascar"
"Bay of Randobe/ Ifaty, Dune Hotel","10/16/08","13:50:00",2008,27.2,14.3,-23.7878,43.36115,290,"Madagascar"
"Bay of Randobe/ Ifaty, Dune Hotel","9/29/07","16:30:00",2007,35.07,22.93,-23.7878,43.36115,272,"Madagascar"
