"country","commodity","year","value","category"
"Argentina","Natural sponges nei","1976",,"spg"
"Australia","Natural sponges raw","1976",,"spg"
"Austria","Natural sponges other than raw","1976",,"spg"
"Austria","Natural sponges raw","1976",,"spg"
"Bahamas","Natural sponges nei","1976",,"spg"
"Belarus","Natural sponges other than raw","1976",,"spg"
"Belgium","Natural sponges other than raw","1976",,"spg"
"Belgium","Natural sponges raw","1976",2,"spg"
"Bermuda","Natural sponges raw","1976",,"spg"
"Botswana","Natural sponges raw","1976",,"spg"
"Brazil","Natural sponges raw","1976",,"spg"
"Bulgaria","Natural sponges nei","1976",,"spg"
"Bulgaria","Natural sponges other than raw","1976",,"spg"
"Bulgaria","Natural sponges raw","1976",,"spg"
"Canada","Natural sponges raw","1976",,"spg"
"Chile","Natural sponges raw","1976",,"spg"
"China","Natural sponges raw","1976",,"spg"
"China, Hong Kong SAR","Natural sponges nei","1976",,"spg"
"Colombia","Natural sponges nei","1976",,"spg"
"Colombia","Natural sponges raw","1976",,"spg"
"Croatia","Natural sponges nei","1976",,"spg"
"Croatia","Natural sponges other than raw","1976",,"spg"
"Croatia","Natural sponges raw","1976",,"spg"
"Cuba","Natural sponges nei","1976",,"spg"
"Cuba","Natural sponges raw","1976",,"spg"
"Cyprus","Natural sponges other than raw","1976",,"spg"
"Cyprus","Natural sponges raw","1976",,"spg"
"Czech Republic","Natural sponges nei","1976",,"spg"
"Czech Republic","Natural sponges other than raw","1976",,"spg"
"Czech Republic","Natural sponges raw","1976",,"spg"
"Côte d'Ivoire","Natural sponges nei","1976",,"spg"
"Denmark","Natural sponges other than raw","1976",,"spg"
"Denmark","Natural sponges raw","1976",5,"spg"
"Dominican Republic","Natural sponges nei","1976",,"spg"
"Ecuador","Natural sponges nei","1976",,"spg"
"Egypt","Natural sponges raw","1976",,"spg"
"El Salvador","Natural sponges raw","1976",,"spg"
"Estonia","Natural sponges nei","1976",,"spg"
"Estonia","Natural sponges other than raw","1976",,"spg"
"Ethiopia","Natural sponges nei","1976",,"spg"
"Fiji, Republic of","Natural sponges nei","1976",,"spg"
"Fiji, Republic of","Natural sponges raw","1976",,"spg"
"Finland","Natural sponges other than raw","1976",,"spg"
"France","Natural sponges other than raw","1976",,"spg"
"France","Natural sponges raw","1976",1110,"spg"
