Direct contribution to employment,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,131.27,97.0149,96.7531,96.0449,102.003,112.087,104.264,110.296,120.646,138.897,152.325,158.252,155.445,167.004,181.452,181.195,228.518,258.867,258.789,225.498,227.835,270.068,271.739,271.177,295.694,318.261,332.443,348.71,360.234,373.715,390.639,407.393,423.875,436.968,449.802,461.132,471.993,483.373
Percentage share,2.32336,2.26037,2.26751,2.1516,2.24575,2.22479,2.02518,2.02912,2.14551,2.3905,2.54099,2.60239,2.4914,2.53131,2.63165,2.7103,2.93205,3.16516,2.91874,2.62412,2.49016,2.85228,2.79257,2.82627,2.90852,2.94917,3.0205,3.09977,3.12765,3.17778,3.23339,3.28242,3.32446,3.34438,3.35863,3.35975,3.35601,3.35409
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,10.9736,16.3279,20.9717,21.3938,19.7136,30.5436,39.6111,44.1389,42.5019,48.3242,59.8928,73.575,56.6909,52.8026,53.4544,55.7675,60.4374,64.7997,48.1045,59.3593,56.2848,81.4333,70.8641,59.1089,57.7053,76.344,75.6688,79.3629,84.1302,89.5941,94.5921,98.8465,102.247,104.642,107.306,110.416,113.618,117.111
Percentage share,0.65895,0.943581,1.15234,1.13635,1.00022,1.46309,1.81137,1.93826,1.79914,1.97397,2.35961,2.79295,2.07698,1.86395,1.82409,1.83563,1.92578,2.00953,1.45076,1.74418,1.60473,2.23642,1.87421,1.50952,1.42276,1.81779,1.73907,1.75715,1.79537,1.84465,1.88169,1.90225,1.9056,1.89342,1.88523,1.88155,1.87961,1.88086
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,18.3936,15.6924,15.503,10.5222,12.5202,13.0033,24.2051,26.5302,27.3867,22.4896,21.6636,28.095,30.1106,33.4057,33.4436,33.3511,35.2323,34.4753,40.3509,52.8494,50.6647,37.7853,40.1764,45.442,41.912,44.7029,47.8165,50.1851,52.2038,54.8386,57.0896,59.4974,61.9028,64.3675,66.9457,69.726,72.8274,76.2678
Percentage share,2.01784,1.6563,1.57962,1.0302,1.20853,1.19832,2.13744,2.24316,2.2304,1.75552,1.63636,2.05338,2.12065,2.27025,2.18883,2.1123,2.16191,2.04485,2.30726,2.91507,2.69751,1.94315,1.99682,2.18719,1.95473,1.96557,1.99497,2.00175,2.00979,2.02932,2.02871,2.02474,2.01699,2.00577,1.99525,1.98732,1.98364,1.9852
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,6.57865,9.08729,9.12414,10.9554,11.1393,11.2845,14.1543,12.156,10.2497,12.2951,15.7363,15.5616,17.1944,20.5353,19.023,19.25,22.0946,22.3978,22.8505,23.8993,25.1639,26.4709,28.7861,27.0655,29.8941,31.0215,31.829,32.6676,33.4224,34.2787,35.2631,36.2131,37.1842,38.281,39.2415,40.2645,41.2874,42.3243
Percentage share,2.33244,2.88273,2.63129,2.88346,2.90197,2.90981,3.6126,3.29786,2.96744,3.12618,3.56682,3.49125,3.81821,4.57118,4.17354,4.16336,3.87401,4.00346,4.16529,4.31333,4.38459,4.82966,4.97539,4.2559,4.49646,4.55368,4.59972,4.6484,4.68707,4.73832,4.80524,4.86533,4.92622,5.01204,5.07825,5.15093,5.22195,5.29245
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,0.09,0.133617,4.11117,6.63097,7.6805,10.1414,27.7028,100.707,66.3624,93.0897,105.659,121.627,32.0882,42.1444,44.6275,40.088,44.638,51.8408,51.5439,58.6716,57.6848,60.8534,52.4693,58.9644,60.3458,59.9281,61.2905,61.307,62.2454,62.5793,63.4656,64.1623,64.9238,65.6082,66.4177,67.7778,68.623,69.6579
Percentage share,0,0.01,0.163976,0.253165,0.282865,0.397931,1.05206,3.6883,2.35284,3.19069,3.49785,3.88577,0.988666,1.25928,1.293,1.12451,1.21342,1.35797,1.30778,1.44326,1.37545,1.40449,1.17334,1.2789,1.26774,1.21992,1.20896,1.17171,1.15276,1.12409,1.10681,1.08637,1.06724,1.04708,1.02913,1.01961,1.00226,0.987742
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,4.72554,4.6465,6.13192,7.0282,8.91783,7.94073,7.8145,8.66963,9.13063,6.40171,5.41318,4.33834,10.2812,9.12123,10.9767,12.2094,14.782,13.6007,12.3704,15.8756,20.2391,31.329,35.5726,35.4831,34.3092,31.5533,30.8275,31.0764,31.5539,31.7694,31.6043,31.301,30.8562,30.7954,30.6975,30.5056,30.3093,30.1969
Percentage share,0.450105,0.43115,0.556204,0.625991,0.781249,0.706131,0.693019,0.765344,0.805539,0.566204,0.477955,0.378041,0.875827,0.758291,0.884918,0.949885,1.10936,0.978416,0.853549,1.05095,1.28827,1.92053,2.10664,2.03154,1.90661,1.70401,1.63211,1.61293,1.6056,1.58487,1.54572,1.50087,1.45053,1.4,1.35105,1.30112,1.254,1.2119
