Country,Rank_out_of_148,Score_1_to_7,RankAmong2012–2013economies,GCI_2012–2013
Switzerland,1,5.67,1,1
Singapore,2,5.61,2,2
Finland,3,5.54,3,3
Germany,4,5.51,4,6
United States,5,5.48,5,7
Sweden,6,5.48,6,4
Hong Kong SAR,7,5.47,7,9
Netherlands,8,5.42,8,5
Japan,9,5.40,9,10
United Kingdom,10,5.37,10,8
Norway,11,5.33,11,15
'Taiwan, China' 12,5.29,12,13
Qatar,13,5.24,13,11
Canada,14,5.20,14,14
Denmark,15,5.18,15,12
Austria,16,5.15,16,16
Belgium,17,5.13,17,17
New Zealand,18,5.11,18,23
United Arab Emirates,19,5.11,19,24
Saudi Arabia,20,5.10,20,18
Australia,21,5.09,21,20
Luxembourg,22,5.09,22,22
France,23,5.05,23,21
Malaysia,24,5.03,24,25
'Korea, Rep.' 25,5.01,25,19
Brunei Darussalam,26,4.95,26,28
Israel,27,4.94,27,26
Ireland,28,4.92,28,27
China,29,4.84,29,29
Puerto Rico,30,4.67,30,31
Iceland,31,4.66,31,30
Estonia,32,4.65,32,34
Oman,33,4.64,33,32
Chile,34,4.61,34,33
Spain,35,4.57,35,36
Kuwait,36,4.56,36,37
Thailand,37,4.54,37,38
Indonesia,38,4.53,38,50
Azerbaijan,39,4.51,39,46
Panama,40,4.50,40,40
Malta,41,4.50,41,47
Poland,42,4.46,42,41
Bahrain,43,4.45,43,35
Turkey,44,4.45,44,43
Mauritius,45,4.45,45,54
Czech Republic,46,4.43,46,39
Barbados,47,4.42,47,44
Lithuania,48,4.41,48,45
Italy,49,4.41,49,42
Kazakhstan,50,4.41,50,51
Portugal,51,4.40,51,49
Latvia,52,4.40,52,55
South Africa,53,4.37,53,52
Costa Rica,54,4.35,54,57
Mexico,55,4.34,55,53
Brazil,56,4.33,56,48
Bulgaria,57,4.31,57,62
Cyprus,58,4.30,58,58
Philippines,59,4.29,59,65
India,60,4.28,60,59
Peru,61,4.25,61,61
Slovenia,62,4.25,62,56
Hungary,63,4.25,63,60
Russian Federation,64,4.25,64,67
Sri Lanka,65,4.22,65,68
Rwanda,66,4.21,66,63
Montenegro,67,4.20,67,72
Jordan,68,4.20,68,64
Colombia,69,4.19,69,69
Vietnam,70,4.18,70,75
Ecuador,71,4.18,71,86
Georgia,72,4.15,72,77
'Macedonia, FYR' 73,4.14,73,80
Botswana,74,4.13,74,79
Croatia,75,4.13,75,81
Romania,76,4.13,76,78
Morocco,77,4.11,77,70
Slovak Republic,78,4.10,78,71
Armenia,79,4.10,79,82
Seychelles,80,4.10,80,76
Lao PDR,81,4.08,NA,NA
'Iran, Islamic Rep.' 82,4.07,81,66
Tunisia,83,4.06,NA,NA
Ukraine,84,4.05,82,73
Uruguay,85,4.05,83,74
Guatemala,86,4.04,84,83
Bosnia and Herzegovina,87,4.02,85,88
Cambodia,88,4.01,86,85
Moldova,89,3.94,87,87
Namibia,90,3.93,88,92
Greece,91,3.93,89,96
Trinidad and Tobago,92,3.91,90,84
Zambia,93,3.86,91,102
Jamaica,94,3.86,92,97
Albania,95,3.85,93,89
Kenya,96,3.85,94,106
El Salvador,97,3.84,95,101
Bolivia,98,3.84,96,104
Nicaragua,99,3.84,97,108
Algeria,100,3.79,98,110
Serbia,101,3.77,99,95
Guyana,102,3.77,100,109
Lebanon,103,3.77,101,91
Argentina,104,3.76,102,94
Dominican Republic,105,3.76,103,105
Suriname,106,3.75,104,114
Mongolia,107,3.75,105,93
Libya,108,3.73,106,113
Bhutan,109,3.73,NA,NA
Bangladesh,110,3.71,107,118
Honduras,111,3.70,108,90
Gabon,112,3.70,109,99
Senegal,113,3.70,110,117
Ghana,114,3.69,111,103
Cameroon,115,3.68,112,112
'Gambia, The' 116,3.67,113,98
Nepal,117,3.66,114,125
Egypt,118,3.63,115,107
Paraguay,119,3.61,116,116
Nigeria,120,3.57,117,115
Kyrgyz Republic,121,3.57,118,127
Cape Verde,122,3.53,119,122
Lesotho,123,3.52,120,137
Swaziland,124,3.52,121,135
Tanzania,125,3.50,122,120
Côte d’Ivoire,126,3.50,123,131
Ethiopia,127,3.50,124,121
Liberia,128,3.45,125,111
Uganda,129,3.45,126,123
Benin,130,3.45,127,119
Zimbabwe,131,3.44,128,132
Madagascar,132,3.42,129,130
Pakistan,133,3.41,130,124
Venezuela,134,3.35,131,126
Mali,135,3.33,132,128
Malawi,136,3.32,133,129
Mozambique,137,3.30,134,138
Timor-Leste,138,3.25,135,136
Myanmar,139,3.23,NA,NA
Burkina Faso,140,3.21,136,133
Mauritania,141,3.19,137,134
Angola,142,3.15,NA,NA
Haiti,143,3.11,138,142
Sierra Leone,144,3.01,139,143
Yemen,145,2.98,140,140
Burundi,146,2.92,141,144
Guinea,147,2.91,142,141
Chad,148,2.85,143,139
