"rgn_id","label","sciname","category","popn_trend","Ncells"
260,"Arctic Sea","Balaena mysticetus","LC","Increasing",60
260,"Arctic Sea","Balaenoptera acutorostrata","LC","Stable",4
260,"Arctic Sea","Balaenoptera physalus","EN","Unknown",1
260,"Arctic Sea","Eschrichtius robustus","LC","Stable",7
260,"Arctic Sea","Megaptera novaeangliae","LC","Increasing",4
260,"Arctic Sea","Ursus maritimus","VU","Decreasing",8889
261,"Atlantic, Northwest","Alopias vulpinus","VU","Decreasing",472
261,"Atlantic, Northwest","Balaenoptera acutorostrata","LC","Stable",1245
261,"Atlantic, Northwest","Balaenoptera borealis","EN","Unknown",1245
261,"Atlantic, Northwest","Balaenoptera musculus","EN","Increasing",1245
261,"Atlantic, Northwest","Balaenoptera physalus","EN","Unknown",1245
261,"Atlantic, Northwest","Carcharodon carcharias","VU","Unknown",818
261,"Atlantic, Northwest","Caretta caretta","EN",NA,71
261,"Atlantic, Northwest","Cetorhinus maximus","VU","Decreasing",1055
261,"Atlantic, Northwest","Chelonia mydas","EN","Decreasing",931
261,"Atlantic, Northwest","Delphinus delphis","LC","Unknown",520
261,"Atlantic, Northwest","Dermochelys coriacea","CR","Decreasing",863
261,"Atlantic, Northwest","Eubalaena glacialis","EN","Unknown",967
261,"Atlantic, Northwest","Galeocerdo cuvier","NT","Unknown",3
261,"Atlantic, Northwest","Grampus griseus","LC","Unknown",1134
261,"Atlantic, Northwest","Isurus oxyrinchus","VU","Decreasing",54
261,"Atlantic, Northwest","Isurus paucus","VU","Decreasing",705
261,"Atlantic, Northwest","Lagenodelphis hosei","LC","Unknown",279
261,"Atlantic, Northwest","Lamna nasus","VU","Decreasing",567
261,"Atlantic, Northwest","Megaptera novaeangliae","LC","Increasing",1245
261,"Atlantic, Northwest","Oceanites oceanicus","LC","Stable",1053
261,"Atlantic, Northwest","Physeter macrocephalus","VU","Unknown",1245
261,"Atlantic, Northwest","Prionace glauca","NT","Unknown",1063
261,"Atlantic, Northwest","Rhincodon typus","VU","Decreasing",701
261,"Atlantic, Northwest","Stenella attenuata","LC","Unknown",72
261,"Atlantic, Northwest","Stenella coeruleoalba","LC","Unknown",903
261,"Atlantic, Northwest","Stercorarius maccormicki","LC","Stable",343
261,"Atlantic, Northwest","Tursiops truncatus","LC","Unknown",925
261,"Atlantic, Northwest","Ursus maritimus","VU","Decreasing",68
261,"Atlantic, Northwest","Ziphius cavirostris","LC","Unknown",924
262,"Atlantic, Northeast","Alopias vulpinus","VU","Decreasing",1802
262,"Atlantic, Northeast","Balaena mysticetus","LC","Increasing",232
262,"Atlantic, Northeast","Balaenoptera acutorostrata","LC","Stable",2896
262,"Atlantic, Northeast","Balaenoptera borealis","EN","Unknown",2808
262,"Atlantic, Northeast","Balaenoptera musculus","EN","Increasing",2857
262,"Atlantic, Northeast","Balaenoptera physalus","EN","Unknown",2891
262,"Atlantic, Northeast","Carcharodon carcharias","VU","Unknown",1501
262,"Atlantic, Northeast","Caretta caretta","EN",NA,184
262,"Atlantic, Northeast","Cetorhinus maximus","VU","Decreasing",2631
262,"Atlantic, Northeast","Chelonia mydas","EN","Decreasing",1795
262,"Atlantic, Northeast","Delphinus delphis","LC","Unknown",1944
262,"Atlantic, Northeast","Dermochelys coriacea","CR","Decreasing",1554
262,"Atlantic, Northeast","Eubalaena glacialis","EN","Unknown",2574
262,"Atlantic, Northeast","Galeocerdo cuvier","NT","Unknown",1
262,"Atlantic, Northeast","Grampus griseus","LC","Unknown",2340
262,"Atlantic, Northeast","Isurus oxyrinchus","VU","Decreasing",25
262,"Atlantic, Northeast","Isurus paucus","VU","Decreasing",402
262,"Atlantic, Northeast","Lagenodelphis hosei","LC","Unknown",161
262,"Atlantic, Northeast","Lamna nasus","VU","Decreasing",2658
262,"Atlantic, Northeast","Megaptera novaeangliae","LC","Increasing",2891
262,"Atlantic, Northeast","Oceanites oceanicus","LC","Stable",1617
262,"Atlantic, Northeast","Physeter macrocephalus","VU","Unknown",2862
262,"Atlantic, Northeast","Prionace glauca","NT","Unknown",2532
262,"Atlantic, Northeast","Rhincodon typus","VU","Decreasing",320
262,"Atlantic, Northeast","Stenella coeruleoalba","LC","Unknown",1569
262,"Atlantic, Northeast","Steno bredanensis","LC","Unknown",59
262,"Atlantic, Northeast","Stercorarius maccormicki","LC","Stable",33
262,"Atlantic, Northeast","Tursiops truncatus","LC","Unknown",1870
262,"Atlantic, Northeast","Ursus maritimus","VU","Decreasing",2185
262,"Atlantic, Northeast","Ziphius cavirostris","LC","Unknown",2141
263,"Atlantic, Western-Central","Alopias vulpinus","VU","Decreasing",473
263,"Atlantic, Western-Central","Balaenoptera acutorostrata","LC","Stable",2672
263,"Atlantic, Western-Central","Balaenoptera borealis","EN","Unknown",2699
263,"Atlantic, Western-Central","Balaenoptera musculus","EN","Increasing",2699
263,"Atlantic, Western-Central","Balaenoptera physalus","EN","Unknown",560
263,"Atlantic, Western-Central","Carcharodon carcharias","VU","Unknown",887
263,"Atlantic, Western-Central","Caretta caretta","EN",NA,391
263,"Atlantic, Western-Central","Cetorhinus maximus","VU","Decreasing",622
263,"Atlantic, Western-Central","Chelonia mydas","EN","Decreasing",2699
