"country","year","value","layer"
"Afghanistan",1960,5.37778e+08,"gdp"
"Afghanistan",1961,5.48889e+08,"gdp"
"Afghanistan",1962,5.46667e+08,"gdp"
"Afghanistan",1963,7.51111e+08,"gdp"
"Afghanistan",1964,8e+08,"gdp"
"Afghanistan",1965,1.00667e+09,"gdp"
"Afghanistan",1966,1.4e+09,"gdp"
"Afghanistan",1967,1.67333e+09,"gdp"
"Afghanistan",1968,1.37333e+09,"gdp"
"Afghanistan",1969,1.40889e+09,"gdp"
"Afghanistan",1970,1.74889e+09,"gdp"
"Afghanistan",1971,1.83111e+09,"gdp"
"Afghanistan",1972,1.59556e+09,"gdp"
"Afghanistan",1973,1.73333e+09,"gdp"
"Afghanistan",1974,2.15556e+09,"gdp"
"Afghanistan",1975,2.36667e+09,"gdp"
"Afghanistan",1976,2.55556e+09,"gdp"
"Afghanistan",1977,2.95333e+09,"gdp"
"Afghanistan",1978,3.3e+09,"gdp"
"Afghanistan",1979,3.69794e+09,"gdp"
"Afghanistan",1980,3.64172e+09,"gdp"
"Afghanistan",1981,3.47879e+09,"gdp"
"Afghanistan",2001,2.46167e+09,"gdp"
"Afghanistan",2002,4.12882e+09,"gdp"
"Afghanistan",2003,4.58365e+09,"gdp"
"Afghanistan",2004,5.28546e+09,"gdp"
"Afghanistan",2005,6.27508e+09,"gdp"
"Afghanistan",2006,7.0576e+09,"gdp"
"Afghanistan",2007,9.84385e+09,"gdp"
"Afghanistan",2008,1.01905e+10,"gdp"
"Afghanistan",2009,1.2487e+10,"gdp"
"Afghanistan",2010,1.59368e+10,"gdp"
"Afghanistan",2011,1.78702e+10,"gdp"
"Afghanistan",2012,2.05068e+10,"gdp"
"Afghanistan",2013,2.03097e+10,"gdp"
"Albania",1984,1.92424e+09,"gdp"
"Albania",1985,1.96538e+09,"gdp"
"Albania",1986,2.17375e+09,"gdp"
"Albania",1987,2.15662e+09,"gdp"
"Albania",1988,2.126e+09,"gdp"
"Albania",1989,2.33512e+09,"gdp"
"Albania",1990,2.10162e+09,"gdp"
"Albania",1991,1.13917e+09,"gdp"
"Albania",1992,7.09453e+08,"gdp"
"Albania",1993,1.22807e+09,"gdp"
"Albania",1994,1.98567e+09,"gdp"
"Albania",1995,2.4245e+09,"gdp"
"Albania",1996,3.01322e+09,"gdp"
"Albania",1997,2.19622e+09,"gdp"
"Albania",1998,2.72775e+09,"gdp"
"Albania",1999,3.4344e+09,"gdp"
"Albania",2000,3.68665e+09,"gdp"
"Albania",2001,4.09102e+09,"gdp"
"Albania",2002,4.44937e+09,"gdp"
"Albania",2003,5.65233e+09,"gdp"
"Albania",2004,7.46445e+09,"gdp"
"Albania",2005,8.37648e+09,"gdp"
"Albania",2006,9.13256e+09,"gdp"
"Albania",2007,1.0701e+10,"gdp"
"Albania",2008,1.28814e+10,"gdp"
"Albania",2009,1.20442e+10,"gdp"
"Albania",2010,1.1927e+10,"gdp"
"Albania",2011,1.28909e+10,"gdp"
"Albania",2012,1.23445e+10,"gdp"
"Albania",2013,1.29232e+10,"gdp"
"Algeria",1960,2.72364e+09,"gdp"
"Algeria",1961,2.43477e+09,"gdp"
"Algeria",1962,2.00146e+09,"gdp"
"Algeria",1963,2.703e+09,"gdp"
"Algeria",1964,2.90934e+09,"gdp"
"Algeria",1965,3.13628e+09,"gdp"
"Algeria",1966,3.03986e+09,"gdp"
"Algeria",1967,3.37087e+09,"gdp"
"Algeria",1968,3.85215e+09,"gdp"
"Algeria",1969,4.25725e+09,"gdp"
"Algeria",1970,4.86349e+09,"gdp"
"Algeria",1971,5.07722e+09,"gdp"
"Algeria",1972,6.76179e+09,"gdp"
"Algeria",1973,8.71511e+09,"gdp"
"Algeria",1974,1.32097e+10,"gdp"
"Algeria",1975,1.55579e+10,"gdp"
"Algeria",1976,1.77283e+10,"gdp"
"Algeria",1977,2.09719e+10,"gdp"
"Algeria",1978,2.63645e+10,"gdp"
"Algeria",1979,3.32434e+10,"gdp"
"Algeria",1980,4.23453e+10,"gdp"
"Algeria",1981,4.43487e+10,"gdp"
"Algeria",1982,4.52071e+10,"gdp"
"Algeria",1983,4.88014e+10,"gdp"
"Algeria",1984,5.36983e+10,"gdp"
"Algeria",1985,5.79379e+10,"gdp"
"Algeria",1986,6.36963e+10,"gdp"
"Algeria",1987,6.67423e+10,"gdp"
"Algeria",1988,5.90891e+10,"gdp"
"Algeria",1989,5.56315e+10,"gdp"
"Algeria",1990,6.20451e+10,"gdp"
"Algeria",1991,4.57154e+10,"gdp"
"Algeria",1992,4.80033e+10,"gdp"
"Algeria",1993,4.99465e+10,"gdp"
"Algeria",1994,4.25426e+10,"gdp"
"Algeria",1995,4.17641e+10,"gdp"
"Algeria",1996,4.69415e+10,"gdp"
"Algeria",1997,4.81779e+10,"gdp"
"Algeria",1998,4.81878e+10,"gdp"
"Algeria",1999,4.86406e+10,"gdp"
"Algeria",2000,5.47901e+10,"gdp"
"Algeria",2001,5.47447e+10,"gdp"
"Algeria",2002,5.67603e+10,"gdp"
"Algeria",2003,6.78638e+10,"gdp"
"Algeria",2004,8.5325e+10,"gdp"
"Algeria",2005,1.03199e+11,"gdp"
"Algeria",2006,1.17027e+11,"gdp"
"Algeria",2007,1.34978e+11,"gdp"
"Algeria",2008,1.71e+11,"gdp"
"Algeria",2009,1.37212e+11,"gdp"
"Algeria",2010,1.61207e+11,"gdp"
"Algeria",2011,1.99071e+11,"gdp"
"Algeria",2012,2.04331e+11,"gdp"
"Algeria",2013,2.10183e+11,"gdp"
"Andorra",1970,7.86176e+07,"gdp"
"Andorra",1971,8.94067e+07,"gdp"
"Andorra",1972,1.13414e+08,"gdp"
"Andorra",1973,1.50842e+08,"gdp"
"Andorra",1974,1.86557e+08,"gdp"
"Andorra",1975,2.20113e+08,"gdp"
"Andorra",1976,2.27284e+08,"gdp"
"Andorra",1977,2.53998e+08,"gdp"
"Andorra",1978,3.0802e+08,"gdp"
"Andorra",1979,4.11548e+08,"gdp"
"Andorra",1980,4.46377e+08,"gdp"
"Andorra",1981,3.88983e+08,"gdp"
"Andorra",1982,3.75915e+08,"gdp"
"Andorra",1983,3.2785e+08,"gdp"
"Andorra",1984,3.30073e+08,"gdp"
"Andorra",1985,3.46743e+08,"gdp"
"Andorra",1986,4.81996e+08,"gdp"
"Andorra",1987,6.113e+08,"gdp"
"Andorra",1988,7.21426e+08,"gdp"
"Andorra",1989,7.95489e+08,"gdp"
"Andorra",1990,1.02899e+09,"gdp"
"Andorra",1991,1.10689e+09,"gdp"
"Andorra",1992,1.20999e+09,"gdp"
"Andorra",1993,1.00709e+09,"gdp"
"Andorra",1994,1.01754e+09,"gdp"
"Andorra",1995,1.17875e+09,"gdp"
"Andorra",1996,1.22402e+09,"gdp"
"Andorra",1997,1.18065e+09,"gdp"
"Andorra",1998,1.21195e+09,"gdp"
"Andorra",1999,1.23984e+09,"gdp"
"Andorra",2000,1.13364e+09,"gdp"
"Andorra",2001,1.26476e+09,"gdp"
"Andorra",2002,1.4562e+09,"gdp"
"Andorra",2003,1.91795e+09,"gdp"
"Andorra",2004,2.32216e+09,"gdp"
"Andorra",2005,2.53976e+09,"gdp"
"Andorra",2006,2.8235e+09,"gdp"
"Andorra",2007,3.24541e+09,"gdp"
"Andorra",2008,3.71203e+09,"gdp"
"Angola",1985,6.80428e+09,"gdp"
"Angola",1986,6.35585e+09,"gdp"
"Angola",1987,7.38312e+09,"gdp"
"Angola",1988,7.97523e+09,"gdp"
"Angola",1989,9.28305e+09,"gdp"
"Angola",1990,1.02602e+10,"gdp"
"Angola",1991,1.21937e+10,"gdp"
"Angola",1992,5.77939e+09,"gdp"
"Angola",1993,5.2856e+09,"gdp"
"Angola",1994,4.05935e+09,"gdp"
"Angola",1995,5.03955e+09,"gdp"
"Angola",1996,7.52645e+09,"gdp"
"Angola",1997,7.64838e+09,"gdp"
"Angola",1998,6.44504e+09,"gdp"
"Angola",1999,6.15292e+09,"gdp"
"Angola",2000,9.12959e+09,"gdp"
"Angola",2001,8.93608e+09,"gdp"
"Angola",2002,1.24973e+10,"gdp"
"Angola",2003,1.41889e+10,"gdp"
"Angola",2004,1.96409e+10,"gdp"
"Angola",2005,2.82337e+10,"gdp"
"Angola",2006,4.17895e+10,"gdp"
"Angola",2007,6.04489e+10,"gdp"
"Angola",2008,8.41781e+10,"gdp"
"Angola",2009,7.54924e+10,"gdp"
"Angola",2010,8.24709e+10,"gdp"
"Angola",2011,1.04116e+11,"gdp"
"Angola",2012,1.15342e+11,"gdp"
"Angola",2013,1.24178e+11,"gdp"
"Antigua and Barbuda",1977,6.61444e+07,"gdp"
"Antigua and Barbuda",1978,7.48556e+07,"gdp"
"Antigua and Barbuda",1979,9.22407e+07,"gdp"
"Antigua and Barbuda",1980,1.10067e+08,"gdp"
"Antigua and Barbuda",1981,1.24463e+08,"gdp"
"Antigua and Barbuda",1982,1.37952e+08,"gdp"
"Antigua and Barbuda",1983,1.5327e+08,"gdp"
"Antigua and Barbuda",1984,1.73511e+08,"gdp"
"Antigua and Barbuda",1985,2.01863e+08,"gdp"
"Antigua and Barbuda",1986,2.45896e+08,"gdp"
"Antigua and Barbuda",1987,2.86474e+08,"gdp"
"Antigua and Barbuda",1988,3.38696e+08,"gdp"
