rank,country/economy,value
1,Spain,5.31
2,France,5.24
3,Germany,5.22
4,United States,5.12
5,United Kingdom,5.12
6,Switzerland,4.99
7,Australia,4.98
8,Italy,4.98
9,Japan,4.94
10,Canada,4.92
11,Singapore,4.86
12,Austria,4.82
13,Hong Kong SAR,4.68
14,Netherlands,4.67
15,Portugal,4.64
16,New Zealand,4.64
17,China,4.54
18,Iceland,4.54
19,Ireland,4.53
20,Norway,4.52
21,Belgium,4.51
22,Finland,4.47
23,Sweden,4.45
24,United Arab Emirates,4.43
25,Malaysia,4.41
26,Luxembourg,4.38
27,Denmark,4.38
28,Brazil,4.37
29,"Korea, Rep.",4.37
30,Mexico,4.36
31,Greece,4.36
32,"Taiwan, China",4.35
33,Croatia,4.3
34,Panama,4.28
35,Thailand,4.26
36,Cyprus,4.25
37,Czech Republic,4.22
38,Estonia,4.22
39,Slovenia,4.17
40,Malta,4.16
41,Hungary,4.14
42,Costa Rica,4.1
43,Qatar,4.09
44,Turkey,4.08
45,Russian Federation,4.08
46,Barbados,4.08
47,Poland,4.08
48,South Africa,4.08
49,Bulgaria,4.05
50,Indonesia,4.04
51,Chile,4.04
52,India,4.02
53,Latvia,4.01
54,Seychelles,4
55,Puerto Rico,3.91
56,Mauritius,3.9
57,Argentina,3.9
58,Peru,3.88
59,Lithuania,3.88
60,Bahrain,3.85
61,Slovak Republic,3.84
62,Morocco,3.81
63,Sri Lanka,3.8
64,Saudi Arabia,3.8
65,Oman,3.79
66,Romania,3.78
67,Montenegro,3.75
68,Colombia,3.73
69,Trinidad and Tobago,3.71
70,Namibia,3.69
71,Georgia,3.68
72,Israel,3.66
73,Uruguay,3.65
74,Philippines,3.63
75,Vietnam,3.6
76,Jamaica,3.59
77,Jordan,3.59
78,Kenya,3.58
79,Tunisia,3.54
80,Guatemala,3.51
81,Dominican Republic,3.5
82,"Macedonia, FYR",3.5
83,Egypt,3.49
84,Azerbaijan,3.48
85,Kazakhstan,3.48
86,Cape Verde,3.46
87,Bhutan,3.44
88,Botswana,3.42
89,Armenia,3.42
90,Honduras,3.41
91,El Salvador,3.41
92,Nicaragua,3.37
93,Tanzania,3.35
94,Lebanon,3.35
95,Serbia,3.34
96,Lao PDR,3.33
97,"Iran, Islamic Rep.",3.32
98,Rwanda,3.32
99,Mongolia,3.31
100,Bolivia,3.29
101,Suriname,3.28
102,Nepal,3.27
103,Kuwait,3.26
104,Guyana,3.26
105,Cambodia,3.24
106,Albania,3.22
107,Zambia,3.22
108,Swaziland,3.2
109,"Gambia, The",3.2
110,Venezuela,3.18
111,Moldova,3.16
112,Senegal,3.14
113,Paraguay,3.11
114,Uganda,3.11
115,Zimbabwe,3.09
116,Kyrgyz Republic,3.08
117,Côte d’Ivoire,3.05
118,Ethiopia,3.03
119,Tajikistan,3.03
120,Ghana,3.01
121,Madagascar,2.99
122,Cameroon,2.95
123,Algeria,2.93
124,Gabon,2.92
125,Pakistan,2.92
126,Malawi,2.9
127,Bangladesh,2.9
128,Mali,2.87
129,Lesotho,2.82
130,Mozambique,2.81
131,Nigeria,2.79
132,Sierra Leone,2.77
133,Haiti,2.75
134,Myanmar,2.72
135,Burundi,2.7
136,Burkina Faso,2.67
137,Mauritania,2.64
138,Yemen,2.62
139,Angola,2.6
140,Guinea,2.58
141,Chad,2.43
