am_sid,iucn_sid,map_iucn_sid,map_subpop,sciname,cat_code,spp_group
NA,43,NA,NA,Acanthaeschna victoria,VU,NA
Fis-29585,222,NA,NA,Acipenser brevirostrum,VU,NA
Fis-29589,224,NA,NA,Acipenser naccarii,CR,NA
Fis-29590,225,NA,NA,Acipenser nudiventris,CR,NA
NA,228,NA,NA,Acipenser schrenckii,CR,NA
Fis-29592,229,NA,NA,Acipenser stellatus,CR,NA
Fis-29593,230,NA,NA,Acipenser sturio,CR,NA
NA,231,NA,NA,Acipenser dabryanus,CR,NA
Fis-58741,232,NA,NA,Acipenser gueldenstaedtii,CR,NA
Fis-29588,233,NA,NA,Acipenser medirostris,NT,NA
Fis-29594,234,NA,NA,Acipenser transmontanus,LC,NA
NA,235,NA,NA,Acipenser persicus,CR,NA
Fis-32981,236,NA,NA,Acipenser sinensis,CR,NA
Fis-33633,241,NA,NA,Acipenser mikadoi,CR,NA
NA,242,NA,NA,Acipenser oxyrinchus ssp. desotoi,VU,NA
NA,243,NA,NA,Acipenser oxyrinchus ssp. oxyrinchus,NT,NA
NA,244,NA,NA,Acipenser baerii,EN,NA
Fis-58742,245,NA,NA,Acipenser oxyrinchus,NT,NA
Fis-32565,697,NA,NA,Agonostomus telfairii,LC,NA
NA,884,NA,NA,Aloeides egerides,LC,NA
NA,889,NA,NA,Aloeides nollothi,LC,NA
Fis-22770,903,NA,NA,Alosa alosa,LC,NA
Fis-25577,904,NA,NA,Alosa fallax,LC,NA
NA,906,NA,NA,Alosa maeotica,LC,NA
Fis-2,907,NA,NA,Alosa immaculata,VU,NA
NA,908,NA,NA,Alosa alabamae,DD,NA
Rep-455,1086,NA,NA,Amblyrhynchus cristatus,VU,NA
NA,1118,NA,NA,Ameiva polops,EN,NA
Fis-140213,1308,NA,NA,Anisotremus moricandi,LC,NA
Fis-58775,1615,1615,NA,Choranthias salmopunctatus,LC,MARINEFISH_PART_3
NA,1784,NA,NA,Antrisocopia prehensilis,CR,NA
NA,1793,1793,NA,Aonyx capensis,NT,TERRESTRIAL_MAMMALS_marine
NA,1846,NA,NA,Aphanius iberus,EN,NA
Fis-25345,1847,NA,NA,Aphanius fasciatus,LC,NA
NA,1904,NA,NA,Apodemus sylvaticus,LC,NA
ITS-Mam-180633,2055,2055,NA,Arctocephalus australis,LC,MARINE_MAMMALS
ITS-Mam-180634,2057,2057,NA,Arctocephalus galapagoensis,EN,MARINE_MAMMALS
ITS-Mam-180630,2058,2058,NA,Arctocephalus gazella,LC,MARINE_MAMMALS
ITS-Mam-180635,2059,2059,NA,Arctocephalus philippii,LC,MARINE_MAMMALS
ITS-Mam-180629,2060,2060,NA,Arctocephalus pusillus,LC,MARINE_MAMMALS
ITS-Mam-180636,2061,2061,NA,Arctocephalus townsendi,LC,MARINE_MAMMALS
ITS-Mam-180632,2062,2062,NA,Arctocephalus tropicalis,LC,MARINE_MAMMALS
NA,2064,NA,NA,Arctocephalus australis ssp. australis,LC,NA
NA,2066,NA,NA,Arctocephalus pusillus ssp. pusillus,LC,NA
NA,2067,NA,NA,Arctocephalus pusillus ssp. doriferus,LC,NA
NA,2113,NA,NA,Arius madagascariensis,LC,NA
Fis-29684,2352,NA,NA,Atherina boyeri,LC,NA
ITS-Mam-180533,2467,2467,NA,Balaena mysticetus,LC,MARINE_MAMMALS
NA,2468,2467,Bering-Chukchi-Beaufort Sea,Balaena mysticetus,LR/cd,MARINE_MAMMALS
NA,2469,2467,Okhotsk Sea,Balaena mysticetus,EN,MARINE_MAMMALS
NA,2472,2467,Svalbard-Barents Sea (Spitsbergen),Balaena mysticetus,CR,MARINE_MAMMALS
ITS-Mam-180524,2474,2474,NA,Balaenoptera acutorostrata,LC,MARINE_MAMMALS
ITS-Mam-180526,2475,2475,NA,Balaenoptera borealis,EN,MARINE_MAMMALS
ITS-Mam-180525,2476,2476,NA,Balaenoptera edeni,DD,MARINE_MAMMALS
ITS-Mam-180528,2477,2477,NA,Balaenoptera musculus,EN,MARINE_MAMMALS
ITS-Mam-180527,2478,2478,NA,Balaenoptera physalus,EN,MARINE_MAMMALS
NA,2479,NA,NA,Balaenoptera musculus ssp. brevicauda,DD,NA
ITS-Mam-612592,2480,2480,NA,Balaenoptera bonaerensis,DD,MARINE_MAMMALS
NA,2482,NA,NA,Balaenoptera musculus ssp. musculus,LR/cd,NA
Fis-29302,2539,NA,NA,Balistes vetula,NT,NA
NA,2621,NA,NA,Bathygobius burtoni,EN,NA
Fis-55409,2636,2636,NA,Bathyraja abyssicola,DD,CHONDRICHTHYES
NA,2644,NA,NA,Batrachoides manglae,LC,NA
NA,2761,NA,NA,Benthophiloides brauneri,DD,NA
ITS-Mam-180495,2762,2762,NA,Berardius arnuxii,DD,MARINE_MAMMALS
ITS-Mam-180496,2763,2763,NA,Berardius bairdii,DD,MARINE_MAMMALS
Chn-ae156111-0d32-4a94-8720-9d7733c99831,2811,NA,NA,Birgus latro,DD,NA
NA,2895,NA,NA,Bostrychus zonatus,DD,NA
Fis-56243,2958,NA,NA,Brachionichthys hirsutus,CR,NA
NA,3012,3012,NA,Bradypodion setaroi,LC,REPTILES_marine
Fis-26816,3381,NA,NA,Butis butis,LC,NA
Fis-16793,3565,NA,NA,Callionymus sanctaehelenae,CR,NA
ITS-Mam-180627,3590,3590,NA,Callorhinus ursinus,VU,MARINE_MAMMALS
NA,3755,3755,NA,Canis mesomelas,LC,TERRESTRIAL_MAMMALS_marine
NA,3764,3764,NA,Canthigaster rapaensis,EN,PUFFERFISH
ITS-Mam-180535,3778,3778,NA,Caperea marginata,DD,MARINE_MAMMALS
Fis-23060,3851,3851,NA,Carcharhinus limbatus,NT,CHONDRICHTHYES
Fis-23064,3852,3852,NA,Carcharhinus obscurus,VU,CHONDRICHTHYES
Fis-23066,3853,3853,NA,Carcharhinus plumbeus,VU,CHONDRICHTHYES
Fis-29388,3854,3854,NA,Carcharias taurus,VU,CHONDRICHTHYES
Fis-23071,3855,3855,NA,Carcharodon carcharias,VU,CHONDRICHTHYES
Rep-2666,3897,3897,NA,Caretta caretta,VU,REPTILES_marine
