am_sid,iucn_sid,map_iucn_sid,map_subpop,sciname,spp_group,spatial_source,cat_code,cat_score,pop_trend,trend_score
NA,43,NA,NA,Acanthaeschna victoria,NA,NA,VU,0.4,NA,NA
Fis-29585,222,NA,NA,Acipenser brevirostrum,NA,am,VU,0.4,decreasing,-0.5
Fis-29589,224,NA,NA,Acipenser naccarii,NA,am,CR,0.8,decreasing,-0.5
Fis-29590,225,NA,NA,Acipenser nudiventris,NA,am,CR,0.8,decreasing,-0.5
NA,228,NA,NA,Acipenser schrenckii,NA,NA,CR,0.8,NA,NA
Fis-29592,229,NA,NA,Acipenser stellatus,NA,am,CR,0.8,decreasing,-0.5
Fis-29593,230,NA,NA,Acipenser sturio,NA,am,CR,0.8,decreasing,-0.5
NA,231,NA,NA,Acipenser dabryanus,NA,NA,CR,0.8,NA,NA
Fis-58741,232,NA,NA,Acipenser gueldenstaedtii,NA,am,CR,0.8,decreasing,-0.5
Fis-29588,233,NA,NA,Acipenser medirostris,NA,am,NT,0.2,stable,0
Fis-29594,234,NA,NA,Acipenser transmontanus,NA,am,LC,0,stable,0
NA,235,NA,NA,Acipenser persicus,NA,NA,CR,0.8,NA,NA
Fis-32981,236,NA,NA,Acipenser sinensis,NA,am,CR,0.8,decreasing,-0.5
Fis-33633,241,NA,NA,Acipenser mikadoi,NA,am,CR,0.8,decreasing,-0.5
NA,242,NA,NA,Acipenser oxyrinchus ssp. desotoi,NA,NA,VU,0.4,NA,NA
NA,243,NA,NA,Acipenser oxyrinchus ssp. oxyrinchus,NA,NA,NT,0.2,NA,NA
NA,244,NA,NA,Acipenser baerii,NA,NA,EN,0.6,NA,NA
Fis-58742,245,NA,NA,Acipenser oxyrinchus,NA,am,NT,0.2,increasing,0.5
Fis-32565,697,NA,NA,Agonostomus telfairii,NA,am,LC,0,unknown,NA
NA,884,NA,NA,Aloeides egerides,NA,NA,LC,0,NA,NA
NA,889,NA,NA,Aloeides nollothi,NA,NA,LC,0,NA,NA
Fis-22770,903,NA,NA,Alosa alosa,NA,am,LC,0,unknown,NA
Fis-25577,904,NA,NA,Alosa fallax,NA,am,LC,0,stable,0
NA,906,NA,NA,Alosa maeotica,NA,NA,LC,0,NA,NA
Fis-2,907,NA,NA,Alosa immaculata,NA,am,VU,0.4,decreasing,-0.5
NA,908,NA,NA,Alosa alabamae,NA,NA,DD,NA,NA,NA
Rep-455,1086,NA,NA,Amblyrhynchus cristatus,NA,am,VU,0.4,unknown,NA
NA,1118,NA,NA,Ameiva polops,NA,NA,EN,0.6,NA,NA
Fis-140213,1308,NA,NA,Anisotremus moricandi,NA,am,LC,0,unknown,NA
Fis-58775,1615,1615,NA,Choranthias salmopunctatus,MARINEFISH_PART_3,iucn,LC,0,unknown,NA
NA,1784,NA,NA,Antrisocopia prehensilis,NA,NA,CR,0.8,NA,NA
NA,1793,1793,NA,Aonyx capensis,TERRESTRIAL_MAMMALS_marine,iucn,NT,0.2,decreasing,-0.5
NA,1846,NA,NA,Aphanius iberus,NA,NA,EN,0.6,NA,NA
Fis-25345,1847,NA,NA,Aphanius fasciatus,NA,am,LC,0,stable,0
NA,1904,NA,NA,Apodemus sylvaticus,NA,NA,LC,0,NA,NA
ITS-Mam-180633,2055,2055,NA,Arctocephalus australis,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
ITS-Mam-180634,2057,2057,NA,Arctocephalus galapagoensis,MARINE_MAMMALS,iucn,EN,0.6,decreasing,-0.5
ITS-Mam-180630,2058,2058,NA,Arctocephalus gazella,MARINE_MAMMALS,iucn,LC,0,decreasing,-0.5
ITS-Mam-180635,2059,2059,NA,Arctocephalus philippii,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
ITS-Mam-180629,2060,2060,NA,Arctocephalus pusillus,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
ITS-Mam-180636,2061,2061,NA,Arctocephalus townsendi,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
ITS-Mam-180632,2062,2062,NA,Arctocephalus tropicalis,MARINE_MAMMALS,iucn,LC,0,stable,0
NA,2064,NA,NA,Arctocephalus australis ssp. australis,NA,NA,LC,0,NA,NA
