am_sid,iucn_sid,map_iucn_sid,map_subpop,sciname,category,spp_group
NA,22728393.0,22728393.0,NA,Ammospiza nelsoni,LC,BOTW_marine
NA,22679978.0,22679978.0,NA,Chloephaga hybrida,LC,BOTW_marine
ITS-824134,22728372.0,22728372.0,NA,Thalassarche carteri,EN,BOTW_marine
NA,22728364.0,22728364.0,NA,Diomedea dabbenena,CR,BOTW_marine
NA,22728349.0,22728349.0,NA,Thalassarche impavida,VU,BOTW_marine
NA,22680011.0,22680011.0,NA,Tadorna tadornoides,LC,BOTW_marine
ITS-563380,22728328.0,22728328.0,NA,Thalassarche bulleri,NT,BOTW_marine
NA,22680015.0,22680015.0,NA,Tadorna variegata,LC,BOTW_marine
NA,22728323.0,22728323.0,NA,Diomedea sanfordi,EN,BOTW_marine
NA,22680021.0,22680021.0,NA,Tadorna cristata,CR,BOTW_marine
NA,22728318.0,22728318.0,NA,Diomedea antipodensis,VU,BOTW_marine
NA,22680024.0,22680024.0,NA,Tadorna tadorna,LC,BOTW_marine
NA,22680029.0,22680029.0,NA,Radjah radjah,LC,BOTW_marine
ITS-175220,22680033.0,22680033.0,NA,Tachyeres pteneres,LC,BOTW_marine
ITS-553910,22680038.0,22680038.0,NA,Tachyeres leucocephalus,VU,BOTW_marine
ITS-553911,22680047.0,22680047.0,NA,Tachyeres brachypterus,LC,BOTW_marine
ITS-175219,22680052.0,22680052.0,NA,Tachyeres patachonicus,LC,BOTW_marine
NA,22680086.0,22680086.0,NA,Nettapus pulchellus,LC,BOTW_marine
NA,22680130.0,22680130.0,NA,Lophonetta specularioides,LC,BOTW_marine
NA,22728182.0,22728182.0,NA,Butorides striata,LC,BOTW_marine
NA,22680145.0,22680145.0,NA,Anas capensis,LC,BOTW_marine
NA,22680153.0,22680153.0,NA,Mareca falcata,NT,BOTW_marine
NA,22680157.0,22680157.0,NA,Mareca penelope,LC,BOTW_marine
NA,22680163.0,22680163.0,NA,Mareca americana,LC,BOTW_marine
NA,22680170.0,22680170.0,NA,Anas sparsa,LC,BOTW_marine
NA,22680174.0,22680174.0,NA,Anas rubripes,LC,BOTW_marine
NA,22680178.0,22680178.0,NA,Anas fulvigula,LC,BOTW_marine
NA,22680199.0,22680199.0,NA,Anas wyvilliana,EN,BOTW_marine
NA,22680203.0,22680203.0,NA,Anas laysanensis,CR,BOTW_marine
NA,22680214.0,22680214.0,NA,Anas luzonica,VU,BOTW_marine
NA,22680221.0,22680221.0,NA,Anas undulata,LC,BOTW_marine
NA,22680229.0,22680229.0,NA,Spatula discors,LC,BOTW_marine
NA,22680236.0,22680236.0,NA,Spatula smithii,LC,BOTW_marine
NA,22680240.0,22680240.0,NA,Spatula platalea,LC,BOTW_marine
NA,22680243.0,22680243.0,NA,Spatula rhynchotis,LC,BOTW_marine
NA,22680247.0,22680247.0,NA,Spatula clypeata,LC,BOTW_marine
NA,22680252.0,22680252.0,NA,Anas bernieri,EN,BOTW_marine
NA,22728011.0,22728011.0,NA,Pterodroma feae,NT,BOTW_marine
NA,22680271.0,22680271.0,NA,Anas gracilis,LC,BOTW_marine
NA,22680277.0,22680277.0,NA,Anas castanea,LC,BOTW_marine
NA,22680280.0,22680280.0,NA,Anas aucklandica,VU,BOTW_marine
NA,22680287.0,22680287.0,NA,Anas bahamensis,LC,BOTW_marine
NA,22727969.0,22727969.0,NA,Himantopus himantopus,LC,BOTW_marine
NA,22680301.0,22680301.0,NA,Anas acuta,LC,BOTW_marine
NA,22680306.0,22680306.0,NA,Anas eatoni,VU,BOTW_marine
