iucn_sid,am_sid,sciname,am_sciname,fbname,am_cat
22696770.0,ITS-174742,Phalacrocorax fuscescens,Phalacrocorax fuscescens,black-faced cormorant,NA
22696773.0,ITS-554375,Phalacrocorax brasilianus,Phalacrocorax brasilianus,neotropic cormorant,NA
22696776.0,ITS-174717,Phalacrocorax auritus,Phalacrocorax auritus,double-crested cormorant,NA
22696779.0,ITS-174743,Phalacrocorax fuscicollis,Phalacrocorax fuscicollis,Indian cormorant,NA
22696788.0,ITS-174751,Phalacrocorax sulcirostris,Phalacrocorax sulcirostris,little black cormorant,NA
22696792.0,ITS-174715,Phalacrocorax carbo,Phalacrocorax carbo,great cormorant,NA
198920.0,ITS-Mam-180478,Neophocaena phocaenoides,Neophocaena phocaenoides,finless porpoise,NA
22696799.0,SLB-40321,Phalacrocorax capillatus,Phalacrocorax capillatus,Japanese cormorant,NA
22696802.0,ITS-174749,Phalacrocorax nigrogularis,Phalacrocorax nigrogularis,Socotra cormorant,NA
22696806.0,ITS-174737,Phalacrocorax capensis,Phalacrocorax capensis,Cape cormorant,NA
196017.0,Fis-131607,Eptatretus caribbeaus,Eptatretus caribbeaus,null,NA
198775.0,Fis-161966,Coelorinchus caelorhincus,Coelorinchus caelorhincus,Hollowsnout grenadier,NA
22696810.0,ITS-174735,Phalacrocorax bougainvilliorum,Phalacrocorax bougainvillii,Guanay cormorant,NA
22696853.0,SLB-130695,Phalacrocorax chalconotus,Phalacrocorax chalconotus,Stewart Island shag,NA
22696883.0,ITS-174745,Phalacrocorax magellanicus,Phalacrocorax magellanicus,rock cormorant,NA
22696887.0,ITS-174728,Phalacrocorax urile,Phalacrocorax urile,red-faced cormorant,NA
22696894.0,ITS-174733,Phalacrocorax aristotelis,Phalacrocorax aristotelis,European shag,NA
22696898.0,ITS-174744,Phalacrocorax gaimardi,Phalacrocorax gaimardi,red-legged cormorant,NA
22696901.0,ITS-174750,Phalacrocorax punctatus,Phalacrocorax punctatus,spotted shag,NA
196065.0,Fis-121765,Myxine mcmillanae,Myxine mcmillanae,null,NA
196317.0,Fis-164335,Giuris margaritacea,Giuris margaritacea,Snakehead gudgeon,NA
196450.0,Fis-28194,Tetraroge niger,Tetraroge niger,null,NA
196018.0,Fis-118267,Eptatretus carlhubbsi,Eptatretus carlhubbsi,Giant hagfish,NA
197054.0,Fis-10471,Ellochelon vaigiensis,Ellochelon vaigiensis,Squaretail mullet,NA
196436.0,Fis-25184,Siganus vermiculatus,Siganus vermiculatus,Vermiculated spinefoot,NA
196422.0,Fis-53676,Crenimugil heterocheilos,Crenimugil heterocheilos,Half fringelip mullet,NA
196421.0,Fis-25741,Crenimugil crenilabis,Crenimugil crenilabis,Fringelip mullet,NA
196417.0,Fis-25123,Leiognathus equulus,Leiognathus equulus,Common ponyfish,NA
196410.0,Fis-50862,Zenarchopterus gilli,Zenarchopterus gilli,Viviparous halfbeak,NA
196408.0,Fis-150563,Plectorhinchus gibbosus,Plectorhinchus gibbosus,Harry hotlips,NA
196407.0,Fis-25370,Taenioides cirratus,Taenioides cirratus,Bearded worm goby,NA
196371.0,Fis-27595,Sicyopterus lagocephalus,Sicyopterus lagocephalus,Red-tailed goby,NA
196351.0,Fis-28215,Redigobius balteatus,Redigobius balteatus,Rhinohorn goby,NA
196345.0,Fis-48256,Parioglossus raoi,Parioglossus raoi,Rao's hover goby,NA
196344.0,Fis-51807,Parioglossus rainfordi,Parioglossus rainfordi,Rainford's dartfish,NA
196328.0,Fis-51969,Glossogobius celebius,Glossogobius celebius,Celebes goby,NA
196327.0,Fis-28208,Glossogobius bicirrhosus,Glossogobius bicirrhosus,Bearded flathead goby,NA
196313.0,Fis-28204,Butis amboinensis,Butis amboinensis,Olive flathead-gudgeon,NA
196307.0,Fis-28202,Meiacanthus anema,Meiacanthus anema,Threadless blenny,NA
196301.0,Fis-35153,Anguilla megastoma,Anguilla megastoma,Polynesian longfinned eel,NA
196087.0,Fis-131710,Paramyxine taiwanae,Eptatretus taiwanae,null,NA
196086.0,Fis-27129,Paramyxine springeri,Eptatretus springeri,Gulf hagfish,NA
196082.0,Fis-131619,Paramyxine fernholmi,Eptatretus fernholmi,null,NA
196079.0,Fis-131602,Paramyxine atami,Eptatretus atami,Brown hagfish,NA
196072.0,Fis-131556,Nemamyxine kreffti,Nemamyxine kreffti,null,NA
196067.0,Fis-131597,Myxine pequenoi,Myxine pequenoi,null,NA
196058.0,Fis-131582,Myxine hubbsi,Myxine hubbsi,null,NA
196056.0,Fis-51030,Myxine garmani,Myxine garmani,null,NA
196055.0,Fis-143459,Myxine formosana,Myxine formosana,null,NA
196050.0,Fis-32089,Myxine australis,Myxine australis,null,NA
196049.0,Fis-32970,Myxine affinis,Myxine affinis,Patagonian hagfish,NA
196044.0,Fis-24018,Eptatretus stoutii,Eptatretus stoutii,Pacific hagfish,NA
196041.0,Fis-47876,Eptatretus profundus,Eptatretus profundus,Fivegill hagfish,NA
196040.0,Fis-27128,Eptatretus polytrema,Eptatretus polytrema,Fourteen-gill hagfish,NA
196037.0,Fis-131668,Eptatretus nanii,Eptatretus nanii,null,NA
196036.0,Fis-131626,Eptatretus multidens,Eptatretus multidens,null,NA
196032.0,Fis-131623,Eptatretus mcconnaugheyi,Eptatretus mcconnaugheyi,Shorthead hagfish,NA
196019.0,Fis-24017,Eptatretus deani,Eptatretus deani,Black hagfish,NA
18584848.0,Fis-27224,Pristis pristis,Pristis pristis,Common sawfish,NA
22697590.0,ITS-174693,Pelecanus onocrotalus,Pelecanus onocrotalus,great white pelican,NA
22697599.0,ITS-174692,Pelecanus crispus,Pelecanus crispus,dalmatian pelican,NA
22697604.0,ITS-174694,Pelecanus philippensis,Pelecanus philippensis,spot-billed pelican,NA
22697608.0,ITS-174691,Pelecanus conspicillatus,Pelecanus conspicillatus,Australian pelican,NA
22697611.0,ITS-174684,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,American white pelican,NA
22697619.0,ITS-174690,Pelecanus thagus,Pelecanus thagus,Peruvian pelican,NA
14134429.0,Fis-24045,Gymnura marmorata,Gymnura marmorata,California butterfly ray,NA
202833.0,Fis-48095,Awaous ocellaris,Awaous ocellaris,null,NA
196012.0,Fis-165213,Gerres simillimus,Gerres simillimus,null,NA
202632.0,Fis-29471,Paralichthys lethostigma,Paralichthys lethostigma,Southern flounder,NA
202625.0,Fis-48267,Lampetra ayresii,Lampetra ayresii,Western river lamprey,NA
202415.0,Fis-22963,Thaleichthys pacificus,Thaleichthys pacificus,Eulachon,NA
22697724.0,ITS-174763,Fregata magnificens,Fregata magnificens,magnificent frigatebird,NA
22697733.0,ITS-174766,Fregata minor,Fregata minor,great frigatebird,NA
22697742.0,ITS-174767,Fregata andrewsi,Fregata andrewsi,Christmas Island frigatebird,NA
201948.0,Fis-23334,Alosa pseudoharengus,Alosa pseudoharengus,Alewife,NA
200715.0,W-Hol-732234,Holothuria fuscogilva,Holothuria fuscogilva,white teeth,NA
198921.0,Fis-24098,Manta birostris,Manta birostris,Giant manta,NA
197047.0,Fis-124158,Chelon melinopterus,Chelon melinopterus,Otomebora mullet,NA
196426.0,Fis-28187,Lamnostoma orientalis,Lamnostoma orientalis,Oriental worm-eel,NA
196412.0,Fis-25817,Kuhlia mugil,Kuhlia mugil,Barred flagtail,NA
196382.0,Fis-19607,Stenogobius genivittatus,Stenogobius genivittatus,Chinstripe goby,NA
196343.0,Fis-51806,Parioglossus palustris,Parioglossus palustris,Borneo hoverer,NA
196315.0,Fis-62779,Eleotris acanthopoma,Eleotris acanthopoma,Spinecheek gudgeon,NA
196310.0,Fis-31633,Omox biporos,Omox biporos,Omox blenny,NA
196302.0,Fis-32394,Anguilla obscura,Anguilla obscura,Pacific shortfinned eel,NA
196084.0,Fis-131701,Paramyxine nelsoni,Eptatretus nelsoni,null,NA
196080.0,Fis-131608,Paramyxine cheni,Eptatretus cheni,null,NA
196076.0,Fis-131560,Notomyxine tridentiger,Notomyxine tridentiger,null,NA
196068.0,Fis-131598,Myxine robinsorum,Myxine robinsorum,null,NA
196064.0,Fis-131591,Myxine mccoskeri,Myxine mccoskeri,null,NA
196060.0,Fis-33010,Myxine ios,Myxine ios,White-headed hagfish,NA
196057.0,Fis-30336,Myxine glutinosa,Myxine glutinosa,Atlantic hagfish,NA
196051.0,Fis-33774,Myxine capensis,Myxine capensis,Cape hagfish,NA
196039.0,Fis-51025,Eptatretus okinoseanus,Eptatretus okinoseanus,null,NA
196033.0,Fis-149493,Eptatretus mccoskeri,Eptatretus mccoskeri,null,NA
196030.0,Fis-54498,Eptatretus longipinnis,Eptatretus longipinnis,Longfinned hagfish,NA
196025.0,Fis-132415,Eptatretus grouseri,Eptatretus grouseri,null,NA
196022.0,Fis-131621,Eptatretus fritzi,Eptatretus fritzi,Guadalupe hagfish,NA
19014407.0,Fis-24899,Platichthys stellatus,Platichthys stellatus,Starry flounder,NA
22694160.0,ITS-660059,Catharacta skua,Stercorarius skua,great skua,NA
22694210.0,ITS-660060,Catharacta chilensis,Stercorarius chilensis,Chilean skua,NA
196013.0,Fis-164604,Eptatretus alastairi,Eptatretus alastairi,null,NA
22694218.0,ITS-660062,Catharacta maccormicki,Stercorarius maccormicki,south polar skua,NA
22694240.0,ITS-176792,Stercorarius pomarinus,Stercorarius pomarinus,pomarine jaeger,NA
202053.0,Fis-153999,Dipturus polyommata,Dipturus polyommata,Argus skate,NA
22694245.0,ITS-176793,Stercorarius parasiticus,Stercorarius parasiticus,parasitic jaeger,NA
22694251.0,ITS-176794,Stercorarius longicaudus,Stercorarius longicaudus,long-tailed jaeger,NA
22697852.0,ITS-174594,Macronectes giganteus,Macronectes giganteus,southern giant petrel,NA
22697866.0,ITS-174536,Fulmarus glacialis,Fulmarus glacialis,northern fulmar,NA
196305.0,Fis-170293,Apogon amboinensis,Fibramia amboinensis,Amboina cardinalfish,NA
196069.0,Fis-143520,Myxine sotoi,Myxine sotoi,null,NA
196061.0,Fis-154525,Myxine jespersenae,Myxine jespersenae,Jespersen's hagfish,NA
196052.0,Fis-32714,Myxine circifrons,Myxine circifrons,Whiteface hagfish,NA
196043.0,Fis-131708,Eptatretus sinus,Eptatretus sinus,Cortez hagfish,NA
196034.0,Fis-145261,Eptatretus menezesi,Eptatretus menezesi,null,NA
196026.0,Fis-27127,Eptatretus hexatrema,Eptatretus hexatrema,Sixgill hagfish,NA
22694271.0,ITS-824083,Larus scoresbii,Leucophaeus scoresbii,dolphin gull,NA
22694279.0,ITS-176861,Larus pacificus,Larus pacificus,Pacific gull,NA
22694282.0,ITS-176843,Larus belcheri,Larus belcheri,band-tailed gull,NA
22694286.0,ITS-560741,Larus atlanticus,Larus atlanticus,Olrog's gull,NA
22694289.0,ITS-176831,Larus crassirostris,Larus crassirostris,black-tailed gull,NA
22697970.0,ITS-174588,Pterodroma leucoptera,Pterodroma leucoptera,Gould's petrel,NA
22694292.0,ITS-176859,Larus modestus,Larus modestus,gray gull,NA
22694296.0,ITS-176841,Larus heermanni,Larus heermanni,Heermann's gull,NA
22694299.0,ITS-176856,Larus leucophthalmus,Larus leucophthalmus,white-eyed gull,NA
200014.0,Fis-29332,Cephaloscyllium fasciatum,Cephaloscyllium fasciatum,Reticulated swellshark,NA
196396.0,Fis-51988,Stiphodon elegans,Stiphodon elegans,null,NA
196339.0,Fis-51802,Parioglossus formosus,Parioglossus formosus,Beautiful hover goby,NA
196091.0,Fis-131715,Paramyxine yangi,Eptatretus yangi,null,NA
196035.0,Fis-131625,Eptatretus minor,Eptatretus minor,null,NA
22694303.0,SLB-130346,Larus hemprichii,Larus hemprichii,sooty gull,NA
22694308.0,ITS-176832,Larus canus,Larus canus,common gull,NA
22694313.0,ITS-176842,Larus audouinii,Larus audouinii,Audouin's gull,NA
22694317.0,ITS-176830,Larus delawarensis,Larus delawarensis,ring-billed gull,NA
22694321.0,ITS-176829,Larus californicus,Larus californicus,California gull,NA
22694324.0,ITS-176815,Larus marinus,Larus marinus,great black-backed gull,NA
196054.0,Fis-131571,Myxine fernholmi,Myxine fernholmi,null,NA
22694329.0,ITS-176849,Larus dominicanus,Larus dominicanus,kelp gull,NA
22698080.0,ITS-174590,Pterodroma mollis,Pterodroma mollis,soft-plumaged petrel,NA
196085.0,Fis-131706,Paramyxine sheni,Eptatretus sheni,null,NA
22694334.0,ITS-176814,Larus glaucescens,Larus glaucescens,Glaucous-winged gull,NA
22694337.0,ITS-176817,Larus occidentalis,Larus occidentalis,western gull,NA
199622.0,Fis-167503,Aurigequula fasciata,Aurigequula fasciata,Striped ponyfish,NA
22694340.0,ITS-176880,Larus livens,Larus livens,yellow-footed gull,NA
196447.0,Fis-26135,Mesopristes argenteus,Mesopristes argenteus,Silver grunter,NA
22694343.0,ITS-176808,Larus hyperboreus,Larus hyperboreus,glaucous gull,NA
199624.0,Fis-161066,Eubleekeria splendens,Eubleekeria splendens,Splendid ponyfish,NA
196448.0,Fis-53918,Mesopristes cancellatus,Mesopristes cancellatus,Tapiroid grunter,NA
22694346.0,ITS-176811,Larus glaucoides,Larus glaucoides,Iceland gull,NA
22694362.0,ITS-176816,Larus schistisagus,Larus schistisagus,slaty-backed gull,NA
22694373.0,ITS-176821,Larus fuscus,Larus fuscus,lesser black-backed gull,NA
22698172.0,ITS-203449,Calonectris leucomelas,Calonectris leucomelas,streaked shearwater,NA
22698175.0,ITS-174550,Ardenna pacifica,Puffinus pacificus,wedge-tailed shearwater,NA
22694393.0,ITS-560742,Larus hartlaubii,Larus hartlaubii,Hartlaub's gull,NA
22694413.0,ITS-176847,Larus bulleri,Larus bulleri,black-billed gull,NA
22698226.0,ITS-174555,Puffinus puffinus,Puffinus puffinus,Manx shearwater,NA
22694417.0,ITS-176857,Larus maculipennis,Larus maculipennis,brown-hooded gull,NA
22694420.0,ITS-176835,Larus ridibundus,Larus ridibundus,common black-headed gull,NA
22694428.0,SLB-40208,Larus genei,Larus genei,slender-billed gull,NA
22694432.0,ITS-176839,Larus philadelphia,Larus philadelphia,Bonaparte's gull,NA
22694436.0,ITS-176871,Saundersilarus saundersi,Larus saundersi,Saunder's gull,NA
22694443.0,ITS-176858,Larus melanocephalus,Larus melanocephalus,Mediterranean gull,NA
22698305.0,ITS-174525,Diomedea exulans,Diomedea exulans,wandering albatross,NA
22694447.0,ITS-176862,Larus relictus,Larus relictus,relict gull,NA
22698320.0,ITS-562021,Phoebastria irrorata,Phoebastria irrorata,waved albatross,NA
22694455.0,ITS-176837,Larus atricilla,Larus atricilla,laughing gull,NA
22698375.0,ITS-554453,Thalassarche melanophris,Thalassarche melanophris,black-browed albatross,NA
22694462.0,ITS-176838,Larus pipixcan,Larus pipixcan,Franklin's gull,NA
22698388.0,ITS-824137,Thalassarche salvini,Thalassarche salvini,Salvin's albatross,NA
22694469.0,ITS-824065,Hydrocoloeus minutus,Hydrocoloeus minutus,little gull,NA
22698398.0,ITS-563381,Thalassarche chrysostoma,Thalassarche chrysostoma,grey-headed albatross,NA
22698425.0,ITS-554452,Thalassarche chlororhynchos,Thalassarche chlororhynchos,yellow-nosed albatross,NA
22694473.0,ITS-176851,Pagophila eburnea,Pagophila eburnea,ivory gull,NA
22694476.0,ITS-176864,Rhodostethia rosea,Rhodostethia rosea,Ross's gull,NA
22698448.0,ITS-174531,Phoebetria palpebrata,Phoebetria palpebrata,light-mantled albatross,NA
22694479.0,ITS-176866,Xema sabini,Xema sabini,Sabine's gull,NA
22694497.0,ITS-176875,Rissa tridactyla,Rissa tridactyla,black-legged kittiwake,NA
22694502.0,ITS-176845,Rissa brevirostris,Rissa brevirostris,red-legged kittiwake,NA
22698511.0,ITS-174628,Hydrobates leucorhous,Oceanodroma leucorhoa,Leach's storm petrel,NA
22694524.0,ITS-176935,Hydroprogne caspia,Hydroprogne caspia,Caspian tern,NA
22694542.0,ITS-824142,Thalasseus maximus,Thalasseus maximus,royal tern,NA
22694552.0,ITS-176931,Thalasseus elegans,Thalasseus elegans,elegant tern,NA
22698562.0,ITS-174634,Hydrobates homochroa,Oceanodroma homochroa,ashy storm petrel,NA
22694561.0,ITS-824139,Thalasseus bengalensis,Thalasseus bengalensis,lesser crested tern,NA
22694571.0,ITS-824140,Thalasseus bergii,Thalasseus bergii,crested tern,NA
22694591.0,ITS-176927,Thalasseus sandvicensis,Sterna sandvicensis,sandwich tern,NA
22694607.0,ITS-176916,Sterna striata,Sterna striata,white-fronted tern,NA
22694612.0,ITS-176917,Sterna sumatrana,Sterna sumatrana,black-naped tern,NA
22694618.0,ITS-176910,Sterna hirundinacea,Sterna hirundinacea,South American tern,NA
22694623.0,ITS-176888,Sterna hirundo,Sterna hirundo,common tern,NA
22694629.0,ITS-176890,Sterna paradisaea,Sterna paradisaea,Arctic tern,NA
22694635.0,ITS-176920,Sterna vittata,Sterna vittata,Antarctic tern,NA
22694646.0,ITS-176887,Sterna forsteri,Sterna forsteri,Forster's tern,NA
22694651.0,ITS-176886,Sterna trudeaui,Sterna trudeaui,Trudeau's tern,NA
22694656.0,ITS-824126,Sternula albifrons,Sternula albifrons,little tern,NA
22694666.0,ITS-824131,Sternula saundersi,Sternula saundersi,Saunder's tern,NA
22694673.0,ITS-824127,Sternula antillarum,Sternula antillarum,least tern,NA
22694685.0,ITS-176911,Sternula lorata,Sterna lorata,Peruvian tern,NA
22694699.0,SLB-130389,Sternula balaenarum,Sternula balaenarum,Damara tern,NA
22694705.0,ITS-176914,Sterna repressa,Sterna repressa,white-cheeked tern,NA
22694716.0,ITS-824103,Onychoprion aleuticus,Onychoprion aleuticus,Aleutian tern,NA
22694722.0,ITS-824106,Onychoprion lunatus,Onychoprion lunatus,gray-backed tern,NA
22694730.0,ITS-824104,Onychoprion anaethetus,Onychoprion anaethetus,bridled tern,NA
22694740.0,ITS-824105,Onychoprion fuscatus,Onychoprion fuscatus,sooty tern,NA
22694750.0,ITS-559199,Chlidonias albostriatus,Chlidonias albostriatus,black-fronted tern,NA
22694764.0,ITS-726051,Chlidonias hybrida,Chlidonias hybrida,whiskered tern,NA
22694782.0,ITS-176958,Chlidonias leucopterus,Chlidonias leucopterus,white-winged tern,NA
22694787.0,ITS-176959,Chlidonias niger,Chlidonias niger,black tern,NA
22694799.0,ITS-176944,Anous minutus,Anous minutus,black noddy,NA
22694821.0,ITS-176954,Gygis alba,Gygis alba,white tern,NA
22694830.0,SLB-40187,Gygis microrhyncha,Gygis microrhyncha,lesser white tern,NA
22694834.0,ITS-176950,Larosterna inca,Larosterna inca,Inca tern,NA
22694837.0,ITS-176982,Alle alle,Alle alle,dovekie,NA
22694841.0,ITS-176974,Uria aalge,Uria aalge,common murre,NA
22694847.0,ITS-176978,Uria lomvia,Uria lomvia,thick-billed murre,NA
22694852.0,ITS-176971,Alca torda,Alca torda,razorbill,NA
22694861.0,ITS-176985,Cepphus grylle,Cepphus grylle,black guillemot,NA
22694864.0,ITS-176991,Cepphus columba,Cepphus columba,pigeon guillemot,NA
22694867.0,ITS-176994,Cepphus carbo,Cepphus carbo,spectacled guillemot,NA
22694870.0,ITS-176996,Brachyramphus marmoratus,Brachyramphus marmoratus,marbled murrelet,NA
22694875.0,ITS-176998,Brachyramphus brevirostris,Brachyramphus brevirostris,Kittlitz's murrelet,NA
22694896.0,ITS-177008,Synthliboramphus antiquus,Synthliboramphus antiquus,ancient murrelet,NA
22694899.0,ITS-177009,Synthliboramphus wumizusume,Synthliboramphus wumizusume,Japanese murrelet,NA
22694903.0,ITS-177013,Ptychoramphus aleuticus,Ptychoramphus aleuticus,Cassin's auklet,NA
22694918.0,ITS-177021,Aethia pygmaea,Aethia pygmaea,whiskered auklet,NA
22694924.0,ITS-177023,Cerorhinca monocerata,Cerorhinca monocerata,rhinoceros auklet,NA
22694927.0,ITS-177025,Fratercula arctica,Fratercula arctica,Atlantic puffin,NA
22694931.0,SLB-40185,Fratercula corniculata,Fratercula corniculata,horned puffin,NA
22694934.0,ITS-177032,Fratercula cirrhata,Fratercula cirrhata,tufted puffin,NA
60080.0,Fis-161470,Trygonoptera galba,Trygonoptera galba,null,NA
60081.0,Fis-161466,Trygonoptera imitata,Trygonoptera imitata,Eastern shovelnose stingaree,NA
60083.0,Fis-61250,Trygonoptera ovalis,Trygonoptera ovalis,Striped stingaree,NA
60085.0,Fis-47413,Trygonoptera testacea,Trygonoptera testacea,Common stingaree,NA
60088.0,Fis-47420,Urolophus bucculentus,Urolophus bucculentus,Sandyback stingaree,NA
60090.0,Fis-53171,Urolophus cruciatus,Urolophus cruciatus,Crossback stingaree,NA
60091.0,Fis-152001,Urolophus deforgesi,Urolophus deforgesi,null,NA
60092.0,Fis-54647,Urolophus expansus,Urolophus expansus,Wide stingaree,NA
60093.0,Fis-34717,Urolophus flavomosaicus,Urolophus flavomosaicus,Patchwork stingaree,NA
60099.0,Fis-152008,Urolophus neocaledoniensis,Urolophus neocaledoniensis,null,NA
60100.0,Fis-61406,Urolophus orarius,Urolophus orarius,Coastal stingaree,NA
60102.0,Fis-54691,Urolophus paucimaculatus,Urolophus paucimaculatus,Sparsely-spotted stingaree,NA
60103.0,Fis-152012,Urolophus piperatus,Urolophus piperatus,Coral sea stingaree,NA
60104.0,Fis-47424,Urolophus sufflavus,Urolophus sufflavus,Yellowback stingaree,NA
60105.0,Fis-47425,Urolophus viridis,Urolophus viridis,Greenback stingaree,NA
60106.0,Fis-61410,Urolophus westraliensis,Urolophus westraliensis,Brown stingaree,NA
60107.0,Fis-21816,Urobatis concentricus,Urobatis concentricus,Reef stingray,NA
60108.0,Fis-30753,Urobatis halleri,Urolophus halleri,Haller's round ray,NA
60109.0,Fis-139857,Urobatis jamaicensis,Urobatis jamaicensis,Yellow stingray,NA
60110.0,Fis-28849,Urobatis maculatus,Urolophus maculatus,Spotted round ray,NA
60111.0,Fis-26519,Plesiobatis daviesi,Plesiobatis daviesi,Deep-water stingray,NA
60112.0,Fis-24278,Platyrhinoidis triseriata,Platyrhinoidis triseriata,Thornback guitarfish,NA
60113.0,Fis-28559,Gymnura zonura,Gymnura zonura,Zonetail butterfly ray,NA
60115.0,Fis-24046,Gymnura micrura,Gymnura micrura,Smooth butterfly ray,NA
60116.0,Fis-15849,Gymnura natalensis,Gymnura natalensis,Butterfly ray,NA
60117.0,Fis-26932,Gymnura poecilura,Gymnura poecilura,Long-tailed butterfly ray,NA
60119.0,Fis-27240,Aetobatus flagellum,Aetobatus flagellum,Longheaded eagle ray,NA
60120.0,Fis-28560,Aetomylaeus maculatus,Aetomylaeus maculatus,Mottled eagle ray,NA
60121.0,Fis-28562,Aetomylaeus vespertilio,Aetomylaeus vespertilio,Ornate eagle ray,NA
60127.0,Fis-25423,Aetomylaeus bovinus,Pteromylaeus bovinus,Bull ray,NA
60128.0,Fis-24323,Rhinoptera bonasus,Rhinoptera bonasus,Cownose ray,NA
60129.0,Fis-32611,Rhinoptera javanica,Rhinoptera javanica,Flapnose ray,NA
60130.0,Fis-35536,Rhinoptera steindachneri,Rhinoptera steindachneri,Pacific cownose ray,NA
60133.0,Fis-133479,Torpedo microdiscus,Torpedo microdiscus,Smalldisk torpedo,NA
60135.0,Fis-139767,Tetronarce puelcha,Torpedo puelcha,Argentine torpedo,NA
60136.0,Fis-32610,Torpedo sinuspersici,Torpedo sinuspersici,Variable torpedo ray,NA
60138.0,Fis-22772,Callorhinchus capensis,Callorhinchus capensis,Cape elephantfish,NA
60139.0,Fis-33127,Harriotta haeckeli,Harriotta haeckeli,Smallspine spookfish,NA
60140.0,Fis-31217,Harriotta raleighana,Harriotta raleighana,Pacific longnose chimaera,NA
60141.0,Fis-127931,Neoharriotta carri,Neoharriotta carri,null,NA
60142.0,Fis-27251,Neoharriotta pinnata,Neoharriotta pinnata,Sicklefin chimaera,NA
60143.0,Fis-127935,Neoharriotta pumila,Neoharriotta pumila,null,NA
60144.0,Fis-127944,Rhinochimaera africana,Rhinochimaera africana,null,NA
60145.0,Fis-33129,Rhinochimaera atlantica,Rhinochimaera atlantica,Straightnose rabbitfish,NA
60146.0,Fis-52460,Rhinochimaera pacifica,Rhinochimaera pacifica,Pacific spookfish,NA
60147.0,Fis-132966,Telatrygon acutirostra,Dasyatis acutirostra,null,NA
60148.0,Fis-23102,Hemitrygon akajei,Dasyatis akajei,Whip stingray,NA
