iucn_sid,pop_trend,am_sid,sciname,trend_score
222,decreasing,Fis-29585,Acipenser brevirostrum,-0.5
224,decreasing,Fis-29589,Acipenser naccarii,-0.5
225,decreasing,Fis-29590,Acipenser nudiventris,-0.5
229,decreasing,Fis-29592,Acipenser stellatus,-0.5
230,decreasing,Fis-29593,Acipenser sturio,-0.5
232,decreasing,Fis-58741,Acipenser gueldenstaedtii,-0.5
233,stable,Fis-29588,Acipenser medirostris,0
234,stable,Fis-29594,Acipenser transmontanus,0
236,decreasing,Fis-32981,Acipenser sinensis,-0.5
241,decreasing,Fis-33633,Acipenser mikadoi,-0.5
245,increasing,Fis-58742,Acipenser oxyrinchus,0.5
697,unknown,Fis-32565,Agonostomus telfairii,NA
903,unknown,Fis-22770,Alosa alosa,NA
904,stable,Fis-25577,Alosa fallax,0
907,decreasing,Fis-2,Alosa immaculata,-0.5
1086,unknown,Rep-455,Amblyrhynchus cristatus,NA
1308,unknown,Fis-140213,Anisotremus moricandi,NA
1615,unknown,Fis-58775,Choranthias salmopunctatus,NA
1793,decreasing,NA,Aonyx capensis,-0.5
1847,stable,Fis-25345,Aphanius fasciatus,0
2055,increasing,ITS-Mam-180633,Arctocephalus australis,0.5
2057,decreasing,ITS-Mam-180634,Arctocephalus galapagoensis,-0.5
2058,decreasing,ITS-Mam-180630,Arctocephalus gazella,-0.5
2059,increasing,ITS-Mam-180635,Arctocephalus philippii,0.5
2060,increasing,ITS-Mam-180629,Arctocephalus pusillus,0.5
2061,increasing,ITS-Mam-180636,Arctocephalus townsendi,0.5
2062,stable,ITS-Mam-180632,Arctocephalus tropicalis,0
2352,unknown,Fis-29684,Atherina boyeri,NA
2467,increasing,ITS-Mam-180533,Balaena mysticetus,0.5
2468,NA,NA,Balaena mysticetus,NA
2469,unknown,NA,Balaena mysticetus,NA
2472,unknown,NA,Balaena mysticetus,NA
2474,stable,ITS-Mam-180524,Balaenoptera acutorostrata,0
2475,unknown,ITS-Mam-180526,Balaenoptera borealis,NA
2477,increasing,ITS-Mam-180528,Balaenoptera musculus,0.5
2478,unknown,ITS-Mam-180527,Balaenoptera physalus,NA
2539,decreasing,Fis-29302,Balistes vetula,-0.5
2958,NA,Fis-56243,Brachionichthys hirsutus,NA
3012,unknown,NA,Bradypodion setaroi,NA
3381,stable,Fis-26816,Butis butis,0
3565,NA,Fis-16793,Callionymus sanctaehelenae,NA
3590,decreasing,ITS-Mam-180627,Callorhinus ursinus,-0.5
3755,stable,NA,Canis mesomelas,0
3764,unknown,NA,Canthigaster rapaensis,NA
3851,unknown,Fis-23060,Carcharhinus limbatus,NA
3852,decreasing,Fis-23064,Carcharhinus obscurus,-0.5
3853,decreasing,Fis-23066,Carcharhinus plumbeus,-0.5
3854,unknown,Fis-29388,Carcharias taurus,NA
3855,unknown,Fis-23071,Carcharodon carcharias,NA
3897,decreasing,Rep-2666,Caretta caretta,-0.5
4131,stable,NA,Centropyge resplendens,0
4160,decreasing,ITS-Mam-180450,Cephalorhynchus eutropia,-0.5
4162,decreasing,ITS-Mam-180452,Cephalorhynchus hectori,-0.5
4292,decreasing,Fis-22747,Cetorhinus maximus,-0.5
4360,stable,NA,Chaetodon flavocoronatus,0
4361,stable,NA,Chaetodon litus,0
4362,stable,Fis-32632,Chaetodon marleyi,0
4364,stable,Fis-33809,Chaetodon robustus,0
4592,decreasing,Fis-31463,Cheilinus undulatus,-0.5
4615,decreasing,Rep-2941,Chelonia mydas,-0.5
4805,unknown,NA,Chromis sanctaehelenae,NA
4987,unknown,Fis-23448,Clupeonella cultriventris,NA
5269,unknown,NA,Conus africanus,NA
5270,NA,NA,Conus cepasi,NA
5272,unknown,NA,Conus nobrei,NA
5273,unknown,NA,Conus zebroides,NA
5360,unknown,Fis-22868,Coregonus albula,NA
5363,unknown,Fis-48198,Coregonus autumnalis,NA
5560,decreasing,NA,Crocidura canariensis,-0.5
5659,increasing,Rep-3445,Crocodylus acutus,0.5
5660,decreasing,NA,Mecistops cataphractus,-0.5
5667,stable,NA,Crocodylus palustris,0
5668,NA,Rep-3460,Crocodylus porosus,NA
5675,unknown,Fis-31807,Croilia mossambica,NA
5796,decreasing,NA,Ctenomys australis,-0.5
5819,decreasing,NA,Ctenomys pearsoni,-0.5
5828,unknown,NA,Ctenomys talarum,NA
6204,unknown,ITS-Mam-180657,Cystophora cristata,NA
6229,unknown,Fis-23101,Dalatias licha,NA
6335,unknown,ITS-Mam-180483,Delphinapterus leucas,NA
6336,unknown,ITS-Mam-180438,Delphinus delphis,NA
6494,decreasing,Rep-4381,Dermochelys coriacea,-0.5
6909,decreasing,ITS-Mam-180679,Dugong dugon,-0.5
7011,NA,W-Ech-124287,Echinus esculentus,NA
7121,NA,NA,Elaphurus davidianus,NA
7135,stable,Fis-33751,Eleotris melanosoma,0
7750,decreasing,ITS-Mam-180547,Enhydra lutris,-0.5
7778,stable,NA,Entomacrodus cadenati,0
7821,unknown,NA,Chilabothrus inornatus,NA
7854,unknown,Fis-29953,Epinephelus drummondhayi,NA
7858,decreasing,Fis-26139,Epinephelus lanceolatus,-0.5
7859,decreasing,Fis-26140,Epinephelus marginatus,-0.5
7860,unknown,Fis-163779,Hyporthodus nigritus,NA
7861,decreasing,Fis-163781,Hyporthodus niveatus,-0.5
7862,decreasing,Fis-22722,Epinephelus striatus,-0.5
8005,decreasing,Rep-5181,Eretmochelys imbricata,-0.5
8010,unknown,ITS-Mam-180655,Erignathus barbatus,NA
8097,stable,ITS-Mam-180521,Eschrichtius robustus,0
8099,increasing,NA,Eschrichtius robustus,0.5
8153,increasing,ITS-Mam-552771,Eubalaena australis,0.5
8239,increasing,ITS-Mam-180625,Eumetopias jubatus,0.5
8408,unknown,Fis-25214,Eurypegasus papilio,NA
8784,NA,Fis-29394,Gadus morhua,NA
8951,stable,Fis-30039,Gasterosteus aculeatus,0
8970,decreasing,NA,Gazella gazella,-0.5
9104,unknown,NA,Gerbillus amoenus,NA
9105,unknown,NA,Gerbillus andersoni,NA
9128,decreasing,NA,Gerbillus hesperinus,-0.5
9129,unknown,NA,Gerbillus hoogstraali,NA
9140,stable,NA,Gerbillus perpallidus,0
9153,stable,NA,Gerbillus tarabuli,0
9266,stable,Fis-152317,Psammogobius biocellatus,0
9281,decreasing,Fis-23138,Glyphis gangeticus,-0.5
9461,unknown,ITS-Mam-180457,Grampus griseus,NA
9660,increasing,ITS-Mam-180653,Halichoerus grypus,0.5
10030,unknown,Fis-23157,Hexanchus griseus,NA
10066,decreasing,Fis-30112,Hippocampus erectus,-0.5
10070,decreasing,Fis-31607,Hippocampus histrix,-0.5
10072,decreasing,Fis-30113,Hippocampus ingens,-0.5
10075,decreasing,Fis-31608,Hippocampus kuda,-0.5
10083,unknown,Fis-53152,Hippocampus sindonis,NA
10084,decreasing,Fis-59177,Hippocampus spinosissimus,-0.5
10087,decreasing,Fis-52583,Hippocampus trimaculatus,-0.5
10097,NA,Fis-23548,Hippoglossus hippoglossus,NA
10105,NA,W-Msc-216411,Hippopus hippopus,NA
