iucn_sid,year,code,category,sciname
39381,2009,NT,Near Threatened,Prionace glauca
39381,2000,LR/nt,Lower Risk/near threatened,Prionace glauca
19488,2016,EN,Endangered,Rhincodon typus
19488,2005,VU,Vulnerable,Rhincodon typus
19488,2000,VU,Vulnerable,Rhincodon typus
19488,1996,DD,Data Deficient,Rhincodon typus
19488,1994,I,Indeterminate,Rhincodon typus
19488,1990,I,Indeterminate,Rhincodon typus
39341,2009,VU,Vulnerable,Isurus oxyrinchus
39341,2000,LR/nt,Lower Risk/near threatened,Isurus oxyrinchus
161749,2009,VU,Vulnerable,Isurus oxyrinchus
161750,2009,VU,Vulnerable,Isurus oxyrinchus
161751,2009,NT,Near Threatened,Isurus oxyrinchus
11534,2008,VU,Vulnerable,Lepidochelys olivacea
11534,1996,EN,Endangered,Lepidochelys olivacea
11534,1994,E,Endangered,Lepidochelys olivacea
11534,1990,E,Endangered,Lepidochelys olivacea
11534,1988,E,Endangered,Lepidochelys olivacea
11534,1986,E,Endangered,Lepidochelys olivacea
11534,1982,E,Endangered,Lepidochelys olivacea
15419,2008,VU,Vulnerable,Orcaella brevirostris
15419,1996,DD,Data Deficient,Orcaella brevirostris
15419,1994,K,Insufficiently Known,Orcaella brevirostris
15419,1990,K,Insufficiently Known,Orcaella brevirostris
15419,1988,K,Insufficiently Known,Orcaella brevirostris
39428,2008,CR,Critically Endangered,Orcaella brevirostris
39428,2000,CR,Critically Endangered,Orcaella brevirostris
44187,2004,CR,Critically Endangered,Orcaella brevirostris
44555,2004,CR,Critically Endangered,Orcaella brevirostris
44556,2004,CR,Critically Endangered,Orcaella brevirostris
44557,2004,CR,Critically Endangered,Orcaella brevirostris
4592,2004,EN,Endangered,Cheilinus undulatus
4592,1996,VU,Vulnerable,Cheilinus undulatus
3855,2009,VU,Vulnerable,Carcharodon carcharias
3855,2000,VU,Vulnerable,Carcharodon carcharias
3855,1996,VU,Vulnerable,Carcharodon carcharias
3855,1994,K,Insufficiently Known,Carcharodon carcharias
3855,1990,K,Insufficiently Known,Carcharodon carcharias
4292,2005,VU,Vulnerable,Cetorhinus maximus
4292,2000,VU,Vulnerable,Cetorhinus maximus
4292,1996,VU,Vulnerable,Cetorhinus maximus
4292,1994,K,Insufficiently Known,Cetorhinus maximus
4292,1990,K,Insufficiently Known,Cetorhinus maximus
39340,2009,EN,Endangered,Cetorhinus maximus
39340,2000,EN,Endangered,Cetorhinus maximus
39545,2009,EN,Endangered,Cetorhinus maximus
39545,2000,EN,Endangered,Cetorhinus maximus
2477,2008,EN,Endangered,Balaenoptera musculus
2477,1996,EN,Endangered,Balaenoptera musculus
2477,1994,E,Endangered,Balaenoptera musculus
2477,1990,E,Endangered,Balaenoptera musculus
2477,1988,E,Endangered,Balaenoptera musculus
2477,1986,E,Endangered,Balaenoptera musculus
2477,1965,NA,"""Very rare and believed to be decreasing in numbers""",Balaenoptera musculus
4615,2004,EN,Endangered,Chelonia mydas
4615,1996,EN,Endangered,Chelonia mydas
4615,1994,E,Endangered,Chelonia mydas
4615,1990,E,Endangered,Chelonia mydas
4615,1988,E,Endangered,Chelonia mydas
4615,1986,E,Endangered,Chelonia mydas
4615,1982,E,Endangered,Chelonia mydas
16285718,2012,LC,Least Concern,Chelonia mydas
39378,2009,NT,Near Threatened,Galeocerdo cuvier
39378,2000,LR/nt,Lower Risk/near threatened,Galeocerdo cuvier
13006,2008,LC,Least Concern,Megaptera novaeangliae
13006,1996,VU,Vulnerable,Megaptera novaeangliae
13006,1994,V,Vulnerable,Megaptera novaeangliae
13006,1990,V,Vulnerable,Megaptera novaeangliae
13006,1988,E,Endangered,Megaptera novaeangliae
13006,1986,E,Endangered,Megaptera novaeangliae
13006,1965,NA,"""Less rare but believed to be threatened-requires watching""",Megaptera novaeangliae
132832,2008,EN,Endangered,Megaptera novaeangliae
132835,2008,EN,Endangered,Megaptera novaeangliae
39339,2009,VU,Vulnerable,Alopias vulpinus
39339,2002,DD,Data Deficient,Alopias vulpinus
39339,2000,DD,Data Deficient,Alopias vulpinus
2474,2008,LC,Least Concern,Balaenoptera acutorostrata
2474,1996,LR/nt,Lower Risk/near threatened,Balaenoptera acutorostrata
2474,1994,K,Insufficiently Known,Balaenoptera acutorostrata
2475,2008,EN,Endangered,Balaenoptera borealis
2475,1996,EN,Endangered,Balaenoptera borealis
2475,1994,V,Vulnerable,Balaenoptera borealis
2478,2013,EN,Endangered,Balaenoptera physalus
2478,2008,EN,Endangered,Balaenoptera physalus
2478,1996,EN,Endangered,Balaenoptera physalus
2478,1994,V,Vulnerable,Balaenoptera physalus
2478,1990,V,Vulnerable,Balaenoptera physalus
2478,1988,V,Vulnerable,Balaenoptera physalus
2478,1986,V,Vulnerable,Balaenoptera physalus
2478,1965,NA,"""Less rare but believed to be threatened-requires watching""",Balaenoptera physalus
16208224,2012,VU,Vulnerable,Balaenoptera physalus
11200,2006,VU,Vulnerable,Lamna nasus
11200,2000,LR/nt,Lower Risk/near threatened,Lamna nasus
11200,1996,VU,Vulnerable,Lamna nasus
39343,2006,CR,Critically Endangered,Lamna nasus
39343,2000,VU,Vulnerable,Lamna nasus
39344,2006,EN,Endangered,Lamna nasus
39344,2000,LR/cd,Lower Risk/conservation dependent,Lamna nasus
61420,2006,CR,Critically Endangered,Lamna nasus
2467,2012,LC,Least Concern,Balaena mysticetus
2467,2008,LC,Least Concern,Balaena mysticetus
2467,1996,LR/cd,Lower Risk/conservation dependent,Balaena mysticetus
2467,1994,V,Vulnerable,Balaena mysticetus
2467,1990,V,Vulnerable,Balaena mysticetus
2467,1988,E,Endangered,Balaena mysticetus
2467,1986,E,Endangered,Balaena mysticetus
2467,1965,NA,"""Very rare but believed to be stable or increasing""",Balaena mysticetus
