Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World,WLD,,,,,,,,,,,,,,,,,,,,,1.22754E+13,1.37032E+13,1.46276E+13,1.56301E+13,1.69837E+13,1.81675E+13,1.92087E+13,2.04998E+13,2.22191E+13,2.39237E+13,2.55295E+13,2.68E+13,2.7904E+13,2.90527E+13,3.06015E+13,3.23039E+13,3.41371E+13,3.61609E+13,3.77152E+13,3.96048E+13,4.2512E+13,4.45503E+13,4.66414E+13,4.9283E+13,5.3122E+13,5.73063E+13,6.27193E+13,6.79392E+13,7.18363E+13,7.20966E+13,7.66404E+13,8.13455E+13,8.55378E+13
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15574598477,17245520643,17917521322,20581045030,22424961489,26245650256,27794819534,33933107839,37286995650,40732326490,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,5410130791,6257167504,6834142760,7182969275,7359461592,7719264266,8336748393,8513404530,8684768698,9898138794,9289776967,6763312582,6408554772,7177764280,7931789636,9195789138,10210256078,9345563376,10680414814,11931560265,13079576763,14312430395,14966648189,16152985625,17586936331,19170081100,21452967338,22753482299,26020495868,27373383310,27656292515,28513433518,29860403381
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,57105736149,64331623065,72619288176,79568322946,87179838556,93166434895,95630608829,97743494637,1.00136E+11,1.08477E+11,1.13492E+11,1.15941E+11,1.20514E+11,1.20569E+11,1.21917E+11,1.29494E+11,1.3719E+11,1.41373E+11,1.50671E+11,1.57772E+11,1.64732E+11,1.72847E+11,1.83909E+11,2.0074E+11,2.17116E+11,2.35763E+11,2.48236E+11,2.63096E+11,2.75368E+11,2.84455E+11,2.98637E+11,3.12311E+11,3.27685E+11
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,16791799112,17647942136,19600050849,21418421623,22313596737,23090378064,23588571109,22423529870,17255100492,18222643618,20585829052,23296786997,25621820800,27749765912,29068878508,30592371680,32268923103,37544808796,39603930374,45270714640,55314910086,68938922229,86964531785,1.01169E+11,1.04521E+11,1.09529E+11,1.16242E+11,1.27118E+11
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,239939154.5,273143901.4,290270776.5,315869677.7,359698597,400302417.7,461307692.3,514059196.5,560802468.8,615506523.4,655109483.4,691166731.6,711710824.7,766517252.4,831613605.8,815417560.5,885785065.9,946973340.4,1002602722,1059233078,1143627502,1133064233,1184799035,1289409519,1390784848,1524816381,1777270600,2002511988,2048249969,1817557493,1710306562,1697522329,1778166502
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,1.35325E+11,1.39587E+11,1.40751E+11,1.51988E+11,1.61184E+11,1.53505E+11,1.69297E+11,1.79328E+11,1.80828E+11,1.7357E+11,1.75831E+11,2.04841E+11,2.3413E+11,2.53396E+11,2.73645E+11,2.72045E+11,2.92163E+11,3.2195E+11,3.39042E+11,3.32367E+11,3.3688E+11,3.29328E+11,2.98214E+11,3.31405E+11,3.71488E+11,4.19049E+11,4.69189E+11,,,,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7521217352,6866928035,4080732479,3803220506,4090210576,4474157550,4820456838,5076561481,5523674641,5789622012,6263872381,7018067324,8072483819,9399844922,10675739867,12559496968,14675740831,17177502359,18768814150,16254645150,16817401572,17989349184,19730184672
