Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,29,29,29,29,30,30,31,32,32,33,34,34,35,35,37,37,37,37,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,76,77,77,77,78,79,80,81,82,84,85,86,87,88,90,91,91,93,94,94,,
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,89,89,89,90,90,90,91,91,92,92,92,93,93,93,94,94,94,95,95,95,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,30,31,33,34,36,38,39,41,42,44,46,47,49,51,52,54,55,57,58,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,95,95,95,95,95,95,95,95,95,,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,91,91,91,91,91,90,90,90,90,91,91,90,90,90,90,90,90,,,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,90,90,90,90,,
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,57,57,57,57,60,62,65,67,69,72,74,77,79,82,82,82,,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,39,40,41,42,42,44,45,46,47,47,48,49,50,51,52,53,53,54,56,,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,93,93,93,93,93,93,93,93,93,92,92,92,92,93,93,93,93,93,93,,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77,78,78,79,80,81,81,82,82,83,84,84,85,86,87,88,88,89,90,90,,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,6,7,8,8,8,8,9,10,10,10,11,11,12,12,12,13,13,,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,39,39,40,39,40,41,41,42,43,43,44,44,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,19,19,20,21,21,21,22,22,22,23,23,24,24,24,25,25,25,27,27,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,95,95,95,96,96,96,96,95,95,95,95,95,95,,
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,41,42,43,44,46,47,48,49,50,52,52,54,55,56,57,58,60,61,62,62,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,68,69,69,70,71,71,72,73,73,74,74,75,76,76,76,78,78,78,78,79,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,9,9,10,10,11,11,12,12,13,14,14,15,15,16,17,17,,
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,,
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,10,11,12,14,15,17,18,20,21,23,24,25,26,28,29,31,,
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,48,48,49,48,49,49,49,49,49,49,49,48,49,49,49,49,49,,
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Cape Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,36,36,37,37,39,41,42,44,46,48,49,52,53,55,56,58,60,61,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,12,14,15,17,18,19,21,22,24,25,27,28,29,31,32,34,34,34,,
Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,9,9,9,9,9,10,10,10,10,11,11,11,12,12,12,12,13,13,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,85,86,87,88,89,89,91,91,92,93,93,95,95,96,96,96,96,96,96,,
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,26,28,30,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63,64,,
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,68,69,69,70,70,71,71,72,73,73,74,74,74,75,75,76,77,77,77,,
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,20,20,21,22,23,24,26,27,28,29,31,32,33,35,36,36,36,36,36,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,11,12,12,13,14,15,16,17,18,19,20,21,21,23,23,24,24,,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,19,19,19,18,18,18,18,18,,
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,94,94,94,94,94,94,94,94,95,95,95,95,95,95,95,95,95,95,95,,
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,23,23,23,23,23,24,,
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,82,82,82,83,83,84,85,86,86,87,87,87,88,89,90,90,91,91,91,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,,
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,67,66,66,66,65,63,63,62,60,60,59,57,56,55,54,52,52,50,50,50,,
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,81,81,81,81,81,81,81,81,81,81,81,,,,,
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,74,74,74,75,76,77,77,78,78,78,79,80,81,81,81,82,82,83,83,83,,
Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,70,72,73,75,76,78,79,81,82,83,85,86,88,89,90,92,92,92,92,92,,
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,73,74,75,77,79,80,81,83,84,86,87,89,90,91,93,94,95,95,95,95,,
El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,76,77,78,79,80,80,81,82,83,83,84,84,85,85,86,86,87,87,87,,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,89,89,89,89,89,89,89,89,89,89,89,89,,,,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,10,10,10,11,11,11,12,12,12,13,13,14,14,14,,,,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,,
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,4,4,5,6,8,9,10,11,12,13,14,16,17,18,20,21,,
Faeroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,62,64,65,67,68,70,71,72,74,75,76,78,79,80,81,83,83,83,83,83,,
Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
