scenario,species,taxon_level,catch,un_prop,wprop,bbmsy
1,A,1,75000,0.3,0.858713075,1.8
1,B,1,8000,0.25,0.091596061,0.75
1,C,2,350,0,0.004007328,0.89
1,D,3,1425,0.6,0.016315548,0.89
1,E,5,2000,0.3,0.022899015,0.89
1,F,1,500,0.1,0.005724754,0.6
1,G,1,65,0,0.000744218,1.03
2,A,1,600,0.1,0.030015008,1.8
2,B,1,15050,0.25,0.752876438,0.75
2,C,2,350,0,0.017508754,0.89
2,D,3,1425,0.6,0.071285643,0.89
2,E,5,2000,0.3,0.100050025,0.89
2,F,1,500,0.1,0.025012506,0.6
2,G,1,65,0,0.003251626,1.03
3,A,1,5510,0.12,0.162068357,0.9
3,B,1,470,0.00,0.013824343,1.6
3,C,1,226,0.10,0.00664745,1.05
3,D,1,1827,0.04,0.053738455,0.8
3,E,1,21300,0.30,0.626507442,1.1
3,F,5,449,0.09,0.013206659,1.05
3,G,6,4216,0.02,0.124007295,0.6
4,A,1,640,0.00,0.040983607,0.94
4,B,3,1730,0.19,0.110783811,0.91
4,C,4,2500,0.16,0.160092213,0.91
4,D,1,730,0.00,0.046746926,0.88
4,E,6,696,0.50,0.044569672,0.91
4,F,3,2260,0.12,0.144723361,0.91
4,G,5,7060,0.11,0.45210041,0.91
