"rgn_id","year","layer","usd","rgn_name"
82,2004,"gdp",7.46445e+09,"Albania"
82,1995,"gdp",2.4245e+09,"Albania"
82,1999,"gdp",3.4344e+09,"Albania"
82,2009,"gdp",1.20442e+10,"Albania"
82,2008,"gdp",1.28814e+10,"Albania"
82,2001,"gdp",4.09102e+09,"Albania"
82,1992,"gdp",7.09453e+08,"Albania"
82,1994,"gdp",1.98567e+09,"Albania"
82,2003,"gdp",5.65233e+09,"Albania"
82,1990,"gdp",2.10162e+09,"Albania"
82,1997,"gdp",2.19622e+09,"Albania"
82,1996,"gdp",3.01322e+09,"Albania"
82,1988,"gdp",2.126e+09,"Albania"
82,2007,"gdp",1.0701e+10,"Albania"
82,1991,"gdp",1.13917e+09,"Albania"
82,1989,"gdp",2.33512e+09,"Albania"
82,2002,"gdp",4.44937e+09,"Albania"
82,2006,"gdp",9.13256e+09,"Albania"
82,1987,"gdp",2.15662e+09,"Albania"
82,1998,"gdp",2.72775e+09,"Albania"
82,1993,"gdp",1.22807e+09,"Albania"
82,2005,"gdp",8.37648e+09,"Albania"
82,2000,"gdp",3.68665e+09,"Albania"
82,1985,"gdp",1.96538e+09,"Albania"
82,2012,"gdp",1.23445e+10,"Albania"
82,1986,"gdp",2.17375e+09,"Albania"
82,2011,"gdp",1.28909e+10,"Albania"
82,2013,"gdp",1.29232e+10,"Albania"
82,2010,"gdp",1.1927e+10,"Albania"
82,1984,"gdp",1.92424e+09,"Albania"
84,1992,"gdp",4.80033e+10,"Algeria"
84,1991,"gdp",4.57154e+10,"Algeria"
84,2013,"gdp",2.10183e+11,"Algeria"
84,2009,"gdp",1.37212e+11,"Algeria"
84,1993,"gdp",4.99465e+10,"Algeria"
84,1989,"gdp",5.56315e+10,"Algeria"
84,2012,"gdp",2.04331e+11,"Algeria"
84,2010,"gdp",1.61207e+11,"Algeria"
84,2008,"gdp",1.71e+11,"Algeria"
84,1988,"gdp",5.90891e+10,"Algeria"
84,1968,"gdp",3.85215e+09,"Algeria"
84,1985,"gdp",5.79379e+10,"Algeria"
84,1984,"gdp",5.36983e+10,"Algeria"
84,1969,"gdp",4.25725e+09,"Algeria"
84,1982,"gdp",4.52071e+10,"Algeria"
84,1974,"gdp",1.32097e+10,"Algeria"
84,1994,"gdp",4.25426e+10,"Algeria"
84,1965,"gdp",3.13628e+09,"Algeria"
84,1990,"gdp",6.20451e+10,"Algeria"
84,1986,"gdp",6.36963e+10,"Algeria"
84,2000,"gdp",5.47901e+10,"Algeria"
84,1981,"gdp",4.43487e+10,"Algeria"
84,1972,"gdp",6.76179e+09,"Algeria"
84,2011,"gdp",1.99071e+11,"Algeria"
84,1980,"gdp",4.23453e+10,"Algeria"
84,1987,"gdp",6.67423e+10,"Algeria"
84,1999,"gdp",4.86406e+10,"Algeria"
84,1970,"gdp",4.86349e+09,"Algeria"
