"rgn_id","rgn_nam","value_num","year","layer","units"
5,"New Caledonia",,"1960","GDP","USD"
5,"New Caledonia",,"1961","GDP","USD"
5,"New Caledonia",,"1962","GDP","USD"
5,"New Caledonia",,"1963","GDP","USD"
5,"New Caledonia",,"1964","GDP","USD"
5,"New Caledonia",159594493.5,"1965","GDP","USD"
5,"New Caledonia",164206537.6,"1966","GDP","USD"
5,"New Caledonia",180036768.9,"1967","GDP","USD"
5,"New Caledonia",215507164,"1968","GDP","USD"
5,"New Caledonia",263108834.5,"1969","GDP","USD"
5,"New Caledonia",358815681.9,"1970","GDP","USD"
5,"New Caledonia",413634335.3,"1971","GDP","USD"
5,"New Caledonia",505892512.9,"1972","GDP","USD"
5,"New Caledonia",542294864.8,"1973","GDP","USD"
5,"New Caledonia",637400199.1,"1974","GDP","USD"
5,"New Caledonia",816647865.8,"1975","GDP","USD"
5,"New Caledonia",798310509.6,"1976","GDP","USD"
5,"New Caledonia",837616756.5,"1977","GDP","USD"
5,"New Caledonia",846007597.7,"1978","GDP","USD"
5,"New Caledonia",1047225130,"1979","GDP","USD"
5,"New Caledonia",1182457143,"1980","GDP","USD"
5,"New Caledonia",972563810.2,"1981","GDP","USD"
5,"New Caledonia",904619629.8,"1982","GDP","USD"
5,"New Caledonia",823832940.5,"1983","GDP","USD"
5,"New Caledonia",796018978.5,"1984","GDP","USD"
5,"New Caledonia",854823821.7,"1985","GDP","USD"
5,"New Caledonia",1201262518,"1986","GDP","USD"
5,"New Caledonia",1488113532,"1987","GDP","USD"
5,"New Caledonia",2072735787,"1988","GDP","USD"
5,"New Caledonia",2185072798,"1989","GDP","USD"
5,"New Caledonia",2529310104,"1990","GDP","USD"
5,"New Caledonia",2653781596,"1991","GDP","USD"
5,"New Caledonia",2923764926,"1992","GDP","USD"
5,"New Caledonia",3070161471,"1993","GDP","USD"
5,"New Caledonia",3038727617,"1994","GDP","USD"
5,"New Caledonia",3628440275,"1995","GDP","USD"
5,"New Caledonia",3606968434,"1996","GDP","USD"
5,"New Caledonia",3291489841,"1997","GDP","USD"
5,"New Caledonia",3158806480,"1998","GDP","USD"
5,"New Caledonia",3056999988,"1999","GDP","USD"
5,"New Caledonia",2682347064,"2000","GDP","USD"
5,"New Caledonia",,"2001","GDP","USD"
5,"New Caledonia",,"2002","GDP","USD"
5,"New Caledonia",,"2003","GDP","USD"
5,"New Caledonia",,"2004","GDP","USD"
5,"New Caledonia",,"2005","GDP","USD"
5,"New Caledonia",,"2006","GDP","USD"
