"country_id","year","USD"
"AGO",1985,6804278063
"AGO",1986,6355849179
"AGO",1987,7383121654
"AGO",1988,7975234068
"AGO",1989,9283054576
"AGO",1990,10260193361
"AGO",1991,12193746625
"AGO",1992,5779394292
"AGO",1993,5285600050
"AGO",1994,4059577145
"AGO",1995,5039534776
"AGO",1996,7526446606
"AGO",1997,4459470785
"AGO",1998,907212672.6
"AGO",1999,1710166273
"AGO",2000,4155711074
"AGO",2001,4528138392
"AGO",2002,6670024587
"AGO",2003,12463592985
"AGO",2004,18954402780
"AGO",2005,30619435417
"AGO",2006,43784512970
"AGO",2007,61796534508
"AGO",2008,79620700694
"AGO",2009,65161070140
"AGO",2010,80856694812
"AGO",2011,1.04332e+11
"AIA",1960,399032239.66
"AIA",1961,427695393.965
"AIA",1962,477736932.754
"AIA",1963,528387973.767
"AIA",1964,577043479.069
"AIA",1965,610344906.299
"AIA",1966,668664979.103
"AIA",1967,732517614.249
"AIA",1968,784469103.31
"AIA",1969,875287698.02
"AIA",1970,1418140807.86364
"AIA",1971,1631779173.13909
"AIA",1972,1893391247.15727
"AIA",1973,2198225199.16545
"AIA",1974,2561710343.65182
"AIA",1975,2903453194.11273
"AIA",1976,3103927542.42818
"AIA",1977,2673695561.23857
"AIA",1978,3045241123.42071
"AIA",1979,3213828878.352
"AIA",1980,3595105746.15267
"AIA",1981,3846511194.62867
"AIA",1982,4116333610.56267
"AIA",1983,4317034362.51333
"AIA",1984,4637555335.064
"AIA",1985,4272599882.27067
"AIA",1986,4454251432.71933
"AIA",1987,4712222665.4
"AIA",1988,5036503875.32667
"AIA",1989,5312653306.84667
"AIA",1990,5703352649.69333
"AIA",1991,5287768646.91177
"AIA",1992,5296430897.24118
"AIA",1993,5589264513.32353
"AIA",1994,6544945973.1875
"AIA",1995,7122798079.2875
"AIA",1996,6858403086.38235
"AIA",1997,7720056190.375
"AIA",1998,8408360858
"AIA",1999,8988015482.69375
"AIA",2000,9658141972.74375
"AIA",2001,10318872602.7875
"AIA",2002,10771895273
"AIA",2003,11522133478.7333
"AIA",2004,12288228084.5533
"AIA",2005,14027673738.38
"AIA",2006,14589005800.8362
"AIA",2007,15855648172.4012
