rgn_id,rgn_nam,Southern_Island,Inhabited,est_population,source,data_year,notes
4,Macquarie Island,1,0,NA,https://www.britannica.com/place/Macquarie-Island,2023,"no human population, but meteorologic and geologic research station is there and many botanists and biologists do studies"
12,Wake Island,0,1,100,https://worldpopulationreview.com/regions/wake-island-population,2023,"technically uninhabited, but has about 100 workers at any given time"
30,Glorioso Islands,1,0,NA,https://www.indexmundi.com/glorioso_islands/population.html,2023,"uninhabited, so no population as of 2023"
33,Juan de Nova Island,1,0,NA,https://www.cia.gov/the-world-factbook/countries/french-southern-and-antarctic-lands/,2023,"states a small French military garrison and a few meteorologists inhabit, but for our purposes we will call this 0/uninhabited as of 2023"
34,Bassas da India,1,0,NA,https://www.cia.gov/the-world-factbook/countries/french-southern-and-antarctic-lands/,2023,considered uninhabitable as of 2023
35,Ile Europa,1,0,NA,https://www.cia.gov/the-world-factbook/countries/french-southern-and-antarctic-lands/,2023,"states a small French military garrison and a few meteorologists inhabit, but for our purposes we will call this 0/uninhabited as of 2023"
36,Ile Tromelin,1,0,NA,https://www.cia.gov/the-world-factbook/countries/french-southern-and-antarctic-lands/,2023,"some scientists visit, but uninhabited"
38,British Indian Ocean Territory,1,1,3000,https://commonwealthchamber.com/associated-territories/british-indian-ocean-territory/,2021,"other sources say 3000 is from 2018; this source was last updated 2021 but it is unclear if the number validity was checked at that point. britannica mentions 4000 and was last updated 2023 (again, unclear if number validity was checked) but another source mentioned 4000 for 2004. 3000 seemed like the most accurate number to go with for now."
89,South Georgia and the South Sandwich Islands,1,1,30,https://www.worlddata.info/america/southgeorgia-sandwichislands/index.php,2023,"sources varied from 16-20 to 30 to 35 to one from 2021 even estimating 1000, but this does not seem accurate"
90,Prince Edward Islands,1,0,NA,https://www.britannica.com/place/Prince-Edward-Island-South-Africa,2023,"uninhabited, there is a meteorological station on Marion Island"
91,Crozet Islands,1,1,24,https://www.cia.gov/the-world-factbook/countries/french-southern-and-antarctic-lands/,2023,"uninhabited, but 18 to 30 people staffing the Alfred Faure research station, using the average of this"
92,Amsterdam Island and Saint Paul Island,1,0,NA,https://www.cia.gov/the-world-factbook/countries/french-southern-and-antarctic-lands/,2023,"uninhabited, but has meteorological station, visits by fishermen and scientists, but for our purposes we will call this 0/uninhabited as of 2023"
93,Kerguelen Islands,1,1,75,https://www.cia.gov/the-world-factbook/countries/french-southern-and-antarctic-lands/,2023,"technically uninhabited, 50 to 100 personnel at any given time as of 2023, using the average of this"
94,Heard and McDonald Islands,1,0,NA,https://www.britannica.com/place/Heard-and-McDonald-Islands; https://www.cia.gov/the-world-factbook/countries/heard-island-and-mcdonald-islands/,2023,"uninhabited, so no population as of 2023"
105,Bouvet Island,1,0,NA,https://www.cia.gov/the-world-factbook/countries/bouvet-island/,2023,"uninhabited, so no population as of 2023"
107,Clipperton Island,0,0,NA,https://www.cia.gov/the-world-factbook/countries/clipperton-island/,2023,"uninhabited, so no population as of 2023"
144,Jan Mayen,0,0,NA,https://www.cia.gov/the-world-factbook/countries/jan-mayen/,2023,"technically uninhabited, some military personnel sometimes"
149,Jarvis Island,1,0,NA,https://www.britannica.com/place/Jarvis-Island; https://www.cia.gov/the-world-factbook/countries/united-states-pacific-island-wildlife-refuges/,2023,"uninhabited, so no population as of 2023"
150,Palmyra Atoll,0,0,NA,https://www.britannica.com/place/Palmyra-Atoll; https://www.cia.gov/the-world-factbook/countries/united-states-pacific-island-wildlife-refuges/,2023,"uninhabited, so no population as of 2023. some staff/researchers mentioned in cia source"
158,Howland Island and Baker Island,0,0,NA,https://www.britannica.com/place/Baker-Island; https://www.cia.gov/the-world-factbook/countries/united-states-pacific-island-wildlife-refuges,2023,"uninhabited, but some scientists visit"
159,Johnston Atoll,0,0,NA,https://www.britannica.com/place/Johnston-Atoll; https://www.cia.gov/the-world-factbook/countries/united-states-pacific-island-wildlife-refuges/,2023,"uninhabited, so no population as of 2023"
