"site_id","site_name","biorgn","rgn","yr_start","yr_end","area_cat","change_rate","year","area_ha","pub"
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1986,2100,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1987,2300,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1989,2200,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1990,2300,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1991,2600,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1992,3200,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1993,3400,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1994,3700,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1995,3400,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1996,4000,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1997,5000,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1998,5500,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",1999,6300,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",2000,6900,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",2001,6794,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",2002,6300,1
1,"Chincoteague Bay","Temperate North Atlantic","USA",1986,2003,">1000ha","6.39",2003,6220,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1986,29,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1987,75,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1989,132,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1990,180,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1991,180,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1992,200,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1993,230,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1994,280,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1995,230,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1996,350,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1997,420,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1998,480,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",1999,650,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",2000,690,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",2001,680,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",2002,743,1
2,"Sinepuxent Bay","Temperate North Atlantic","USA",1986,2003,"<1000ha","18.69",2003,696,1
4,"Southern Delmarva Coastal Bays","Temperate North Atlantic","USA",2001,2003,"<100ha","103.34",2001,20,1
4,"Southern Delmarva Coastal Bays","Temperate North Atlantic","USA",2001,2003,"<100ha","103.34",2002,85,1
