"ISO3166","COMPONENT","VALUE"
"CCK","scientific-robustness",0.269841269841
"CCK","policy-transparency",0.296296296296
"CCK","implementation-capability",0.3
"CCK","subsidies",0.40625
"CCK","fishing-effort",0.522727272727
"CCK","foreign-fishing",0.05
"CXR","scientific-robustness",0.269841269841
"CXR","policy-transparency",0.314814814815
"CXR","implementation-capability",0.32
"CXR","subsidies",0.40625
"CXR","fishing-effort",0.522727272727
"CXR","foreign-fishing",0.05
"NFK","scientific-robustness",0.31746031746
"NFK","policy-transparency",0.351851851852
"NFK","implementation-capability",0.34
"NFK","subsidies",0.40625
"NFK","fishing-effort",0.454545454545
"NFK","foreign-fishing",0.05
"Macquarie Island","scientific-robustness",0.31746031746
"Macquarie Island","policy-transparency",0.351851851852
"Macquarie Island","implementation-capability",0.34
"Macquarie Island","subsidies",0.40625
"Macquarie Island","fishing-effort",0.454545454545
"Macquarie Island","foreign-fishing",0.05
"NCL","scientific-robustness",0.587301587302
"NCL","policy-transparency",0.259259259259
"NCL","implementation-capability",0.54
"NCL","subsidies",0.8125
"NCL","fishing-effort",0.613636363636
"NCL","foreign-fishing",0.05
"VUT","scientific-robustness",0.603174603175
"VUT","policy-transparency",0.388888888889
"VUT","implementation-capability",0.34
"VUT","subsidies",0.90625
"VUT","fishing-effort",0.545454545455
"VUT","foreign-fishing",1.0
"SLB","scientific-robustness",0.650793650794
"SLB","policy-transparency",0.796296296296
"SLB","implementation-capability",0.72
"SLB","subsidies",0.28125
"SLB","fishing-effort",0.704545454545
"SLB","foreign-fishing",0.9
"PLW","scientific-robustness",0.714285714286
"PLW","policy-transparency",0.481481481481
"PLW","implementation-capability",0.7
"PLW","subsidies",0.46875
"PLW","fishing-effort",0.886363636364
"PLW","foreign-fishing",1.0
"FSM","scientific-robustness",0.539682539683
"FSM","policy-transparency",0.462962962963
"FSM","implementation-capability",0.5
"FSM","subsidies",0.28125
"FSM","fishing-effort",0.636363636364
"FSM","foreign-fishing",1.0
"NRU","scientific-robustness",0.68253968254
"NRU","policy-transparency",0.240740740741
"NRU","implementation-capability",0.42
"NRU","subsidies",0.46875
"NRU","fishing-effort",0.454545454545
"NRU","foreign-fishing",1.0
"MHL","scientific-robustness",0.619047619048
"MHL","policy-transparency",0.62962962963
"MHL","implementation-capability",0.52
"MHL","subsidies",0.21875
"MHL","fishing-effort",0.386363636364
"MHL","foreign-fishing",1.0
"Wake Island","scientific-robustness",0.0634920634921
"Wake Island","policy-transparency",0.185185185185
"Wake Island","implementation-capability",0.08
"Wake Island","subsidies",0.46875
"Wake Island","fishing-effort",0.25
"Wake Island","foreign-fishing",0.05
"TWN","scientific-robustness",0.650793650794
"TWN","policy-transparency",0.481481481481
"TWN","implementation-capability",0.38
"TWN","subsidies",0.84375
"TWN","fishing-effort",0.522727272727
"TWN","foreign-fishing",0.05
"PHL","scientific-robustness",0.619047619048
"PHL","policy-transparency",0.777777777778
"PHL","implementation-capability",0.62
"PHL","subsidies",0.53125
"PHL","fishing-effort",0.5
