code,iso,country,ACSAT.1990,ACSAT.1991,ACSAT.1992,ACSAT.1993,ACSAT.1994,ACSAT.1995,ACSAT.1996,ACSAT.1997,ACSAT.1998,ACSAT.1999,ACSAT.2000,ACSAT.2001,ACSAT.2002,ACSAT.2003,ACSAT.2004,ACSAT.2005,ACSAT.2006,ACSAT.2007,ACSAT.2008,ACSAT.2009,ACSAT.2010,ACSAT.2011
4,AFG,Afghanistan,-8888,20.932193,20.9467947,20.9615044,20.9763769,20.9913905,21.4187955,21.851249,22.2888963,22.7317837,23.1800184,23.6335516,24.0925743,24.5571192,25.0273082,25.5030488,25.9845739,26.4719004,26.9651663,27.4642292,27.9693712,28.4824029
8,ALB,Albania,81.1341174,81.18641,81.2920667,81.3980646,81.5048049,82.3212363,83.1267909,83.9209005,84.7038863,85.4754981,86.2357806,86.9994196,87.7908057,88.5604054,89.3080684,90.0331339,90.7357805,91.415749,92.0730107,92.7072283,93.3186322,93.9071601
12,DZA,Algeria,88.576014,88.7536058,88.9311189,89.1077381,89.5649958,90.0078331,90.4364475,90.8502185,91.2512241,91.7181927,92.1614313,92.5802107,92.9755242,93.3473184,93.6960737,94.0215058,94.3245999,94.6055791,94.8650385,94.9604649,95.0513457,95.1376692
16,ASM,American Samoa,96.8991754,96.9009545,96.9001772,96.8996673,96.9008384,96.9009241,96.899872,96.8997337,96.9001704,96.89943,96.9006508,96.899357,96.9004976,96.8999901,96.9000016,96.8997173,96.9006168,96.9000461,96.8995877,96.8995127,96.9000292,96.8997599
20,AND,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,AGO,Angola,29.1662974,30.0397005,30.9266003,31.8218744,33.1669443,34.6496788,36.1415433,37.6395231,39.1457243,40.6588129,42.1791876,43.7036931,45.2344566,46.7700821,48.297605,49.8146555,51.3215765,52.817901,54.3032018,55.7770943,57.2392641,58.6894151
660,AIA,Anguilla,-8888,-8888,-8888,-8888,-8888,91.4839368,91.4906337,91.4877001,91.4922092,91.4887667,92.0220455,92.5465298,93.0850621,93.6085432,94.1450738,94.6736408,95.2027413,95.7340374,96.2678971,96.7984058,97.3303816,97.8651326
28,ATG,Antigua and Barbuda,74.7387544,75.719476,76.7013573,77.6832521,78.6650721,79.6465721,80.6288148,81.6100218,82.5919935,83.5743897,84.5562481,85.5378008,86.5191847,87.5006119,88.482339,89.4644645,90.4463697,91.4284052,91.4285057,91.4284413,91.4282494,91.4274874
32,ARG,Argentina,86.7003241,87.2336685,87.7552111,88.2677803,88.7719132,89.2677899,89.7557389,90.2358423,90.7085367,91.1740143,91.6325571,92.0842909,92.5295679,92.9680999,93.4003661,93.826829,94.2479151,94.6640254,95.0755368,95.4828097,95.8861761,96.2859529
51,ARM,Armenia,-8888,-8888,88.8405595,88.7861373,88.731424,88.6764688,88.62125,88.7007167,88.7816768,88.8641258,88.9480439,89.0336648,89.1534226,89.28609,89.4189339,89.5519959,89.6852413,89.8187192,89.9523787,90.088879,90.2280413,90.3697331
