code,iso,country,country,ACSAT.2012,WASTECXN.2012,WASTE.2014
4,AFG,Afghanistan,Afghanistan,4.06,0,0
8,ALB,Albania,Albania,56.12,3.36,4.36
12,DZA,Algeria,Algeria,60.39,34.64,40.63333333
16,ASM,American Samoa,American Samoa,68.4,40.98,99.7
20,AND,Andorra,Andorra,100,38.38,38.375
24,AGO,Angola,Angola,16.12,0,0
660,AIA,Anguilla,Anguilla,74.41,NA,NA
28,ATG,Antigua and Barbuda,Antigua and Barbuda,49.41,11.37,NA
32,ARG,Argentina,Argentina,65.27,11.75,26.25
51,ARM,Armenia,Armenia,47.06,22.59,34
533,ABW,Aruba,Aruba,73.27,NA,NA
36,AUS,Australia,Australia,100,92.33,100
40,AUT,Austria,Austria,100,79.05,88.57142857
31,AZE,Azerbaijan,Azerbaijan,34.08,13.15,30.52
44,BHS,Bahamas,Bahamas,42.49,11.37,NA
48,BHR,Bahrain,Bahrain,86.81,64.27,81.125
50,BGD,Bangladesh,Bangladesh,14.12,0,0
52,BRB,Barbados,Barbados,49.79,11.37,NA
112,BLR,Belarus,Belarus,53.4,86.45,93.3875
56,BEL,Belgium,Belgium,100,60,72.586036
84,BLZ,Belize,Belize,46,2.28,15.1
204,BEN,Benin,Benin,0.02,0.01,0.4
60,BMU,Bermuda,Bermuda, ,0.21,4.166666667
64,BTN,Bhutan,Bhutan,9.92,0,0
68,BOL,Bolivia,Bolivia,10.37,11.3,30
70,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,63.05,3.18,4.129280745
72,BWA,Botswana,Botswana,19.15,0.95,5
76,BRA,Brazil,Brazil,32.68,10.87,23
92,VGB,British Virgin Islands,British Virgin Islands,71.94,6,24.5
96,BRN,Brunei Darussalam,Brunei Darussalam,47.85,37.84,86
100,BGR,Bulgaria,Bulgaria,100,28.86,40.7
854,BFA,Burkina Faso,Burkina Faso,1.04,0.02,2.5
108,BDI,Burundi,Burundi,11.96,0,0
116,KHM,Cambodia,Cambodia,5.52,0,0
120,CMR,Cameroon,Cameroon,11,0,0
124,CAN,Canada,Canada,96.04,80.42,93.34333333
