Taxonkey,TaxonName,Common name
100000,Marine animals,Marine animals
100025,Miscellaneous diadromous fishes,Diadromous fishes
100031,Flounders or halibuts and soles,Flounders  halibuts and soles
100035,Clupeoids,Herrings  sardines and  anchovies
100036,Scombroids,Tunas  bonitos and billfishes
100038,Sharks or rays and chimaeras,Sharks  rays and  skates  etc
100039,Marine fishes not identified,Marine fishes
100043,Homaridae and Palinuridae,Lobsters and spiny-rock lobsters
100044,King crabs and squat-lobsters,Craylets and squat lobsters
100045,Shrimps and prawns,Shrimps and prawns
100047,Miscellaneous marine crustaceans,Marine crustaceans
100056,Clams or cockles and arkshells,Clams  cockles and arkshells
100058,Miscellaneous marine molluscs,Marine molluscs
100139,Marine fishes not identified,Finfishes
100176,Starfish and other echinoderms,Starfishes
100239,Marine fishes not identified,Groundfishes
100276,Sea-urchins and other echinoderms,Sea urchins
100338,Sharks rays and chimaeras,Cartilaginous fishes
100339,Marine fishes not identified,Pelagic fishes
100345,Shrimps and prawns,Natantian decapods
100538,Sharks rays and chimaeras,Various sharks
200003,Holocephali,Chimaeras and ratfish and rabbitfish
200004,Elasmobranchii,Sharks and rays
290002,Cephalopoda,Cephalopods
290004,Bivalvia,Clams
290005,Ascidiacea,Sea squirts
290006,Gastropoda,Gastropods
290010,Asteroidea,Sea stars
290011,Echinoidea,Sea urchins
290012,Holothuroidea,Sea cucumbers
290022,Crustacea,Crustaceans
300003,Chimaeriformes,Chimaeras
300007,Lamniformes,Mackerel sharks
300008,Carcharhiniformes,Ground sharks
300009,Squaliformes,Bramble and sleeper and dogfish sharks
300014,Rajiformes,Skates and rays
300026,Anguilliformes,Eels and morays
300028,Clupeiformes,Herrings
300044,Gadiformes,Cods
300059,Scorpaeniformes,Scorpionfishes and flatheads
300060,Perciformes,Perch-likes
300061,Pleuronectiformes,Flatfishes
390002,Teuthida,Squids
390006,Sepiida,Cuttlefishes
390007,Octopoda,Octopuses
390017,Stomatopoda,Mantis shrimps
400002,Myxinidae,Hagfishes
400009,Lamnidae,Mackerel sharks and white sharks
400010,Scyliorhinidae,Cat sharks
400011,Carcharhinidae,Requiem sharks
