"ASD","yr","ScientificName","ct"
"41",2010,"Cryodraco antarcticus",1.35e-05
"41",2010,"Euphausia superba",10
"4132",1989,"Euphausia superba",801
"4132",1989,"Illex argentinus",1036
"4132",1989,"Macruronus magellanicus",610
"4132",1992,"Euphausia superba",824
"4132",1993,"Euphausia superba",1681.6
"4132",1998,"Euphausia superba",74
"4132",2006,"Euphausia superba",42.535
"48",1974,"Euphausia superba",19139
"48",1975,"Euphausia superba",41352
"48",1976,"Euphausia superba",609
"48",1977,"Euphausia superba",68301
"48",1978,"Dissostichus eleginoides",1407
"48",1978,"Euphausia superba",83255
"48",1978,"Notothenia gibberifrons",8294
"48",1978,"Notothenia rossii",5468
"48",1978,"Notothenia squamifrons",2473
"48",1978,"Osteichthyes",15052
"48",1979,"Dissostichus eleginoides",7
"48",1979,"Euphausia superba",261968
"48",1979,"Notothenia gibberifrons",1600
"48",1979,"Notothenia squamifrons",134
"48",1986,"Notothenia squamifrons",10
"48",1993,"Euphausia superba",71
"481",1976,"Euphausia superba",389
"481",1978,"Champsocephalus gunnari",5573
"481",1978,"Notothenia gibberifrons",68
"481",1978,"Pseudochaenichthys georgianus",13
"481",1979,"Chaenocephalus aceratus",1388
"481",1979,"Channichthyidae",26
"481",1979,"Chionodraco rastrospinosus",370
"481",1979,"Loliginidae, Ommastrephidae",2
"481",1979,"Notothenia gibberifrons",3212
"481",1979,"Notothenia rossii",470
"481",1979,"Nototheniidae",21
"481",1979,"Osteichthyes",79
"481",1979,"Pseudochaenichthys georgianus",384
"481",1980,"Chaenodraco wilsoni",4320
"481",1980,"Champsocephalus gunnari",1087
"481",1980,"Chionodraco rastrospinosus",390
"481",1980,"Dissostichus eleginoides",2
"481",1980,"Euphausia superba",49508
"481",1980,"Notothenia rossii",18763
"481",1980,"Osteichthyes",551
"481",1980,"Pseudochaenichthys georgianus",72
"481",1981,"Cephalopoda",0.006
"481",1981,"Chaenocephalus aceratus",0.038
"481",1981,"Champsocephalus gunnari",1700.039
"481",1981,"Channichthyidae",0.016
"481",1981,"Euphausia superba",93717
"481",1981,"Myctophidae",0.001
"481",1981,"Notothenia rossii",0.001
"481",1981,"Nototheniidae",0.015
"481",1981,"Osteichthyes",4230.035
"481",1981,"Pseudochaenichthys georgianus",0.056
"481",1981,"Rajiformes",0.154
"481",1981,"Trematomus spp",0.003
"481",1982,"Chaenocephalus aceratus",0.221
"481",1982,"Chaenodraco wilsoni",0.054
"481",1982,"Champsocephalus gunnari",0.023
"481",1982,"Channichthyidae",0.044
"481",1982,"Chionodraco rastrospinosus",0.175
"481",1982,"Dissostichus mawsoni",0.009
"481",1982,"Euphausia superba",68192
"481",1982,"Myctophidae",0.038
"481",1982,"Notothenia gibberifrons",3.671
"481",1982,"Notothenia rossii",0.019
"481",1982,"Nototheniidae",0.136
"481",1982,"Nototheniops nudifrons",0.023
"481",1982,"Pleuragramma antarcticum",0.004
"481",1982,"Rajiformes",0.013
"481",1982,"Trematomus spp",0.102
"481",1983,"Euphausia superba",2333
"481",1984,"Euphausia superba",30230
"481",1985,"Chaenodraco wilsoni",0.5
"481",1985,"Champsocephalus gunnari",17.3
"481",1985,"Channichthyidae",0.1
"481",1985,"Channichthys rhinoceratus",19.5
"481",1985,"Euphausia superba",12933
"481",1985,"Notothenia rossii",4.8
"481",1985,"Nototheniidae",0.4
"481",1985,"Pseudochaenichthys georgianus",0.6
"481",1986,"Champsocephalus gunnari",60
"481",1986,"Notothenia gibberifrons",54
"481",1987,"Chaenocephalus aceratus",1.774
"481",1987,"Champsocephalus gunnari",15.44
"481",1987,"Euphausia superba",70269
"481",1987,"Nototheniidae",1
"481",1987,"Osteichthyes",1.094
"481",1987,"Pleuragramma antarcticum",4
"481",1987,"Pseudochaenichthys georgianus",0.027
"481",1987,"Rajiformes",0.293
"481",1988,"Chaenocephalus aceratus",2.316
"481",1988,"Champsocephalus gunnari",0.499
"481",1988,"Chionodraco rastrospinosus",0.098
"481",1988,"Euphausia superba",78918
"481",1988,"Notothenia gibberifrons",4.443
"481",1988,"Notothenia neglecta",1.309
"481",1988,"Nototheniops nudifrons",0.009
"481",1988,"Osteichthyes",0.197
"481",1988,"Rajiformes",0.032
"481",1989,"Chaenocephalus aceratus",1
"481",1989,"Champsocephalus gunnari",141
"481",1989,"Euphausia superba",105554
"481",1989,"Myctophidae",17
"481",1989,"Notothenia gibberifrons",667
"481",1990,"Euphausia superba",44752.24
"481",1991,"Euphausia superba",69634.51
"481",1991,"Myctophidae",50
"481",1992,"Euphausia superba",75564.8
"481",1993,"Euphausia superba",33267
"481",1994,"Euphausia superba",45085
"481",1995,"Euphausia superba",38165
"481",1997,"Euphausia superba",48843.404
"481",1998,"Dissostichus eleginoides",0.033
"481",1998,"Dissostichus mawsoni",1.156
"481",1998,"Euphausia superba",56574.709
"481",1998,"Macrourus spp",0.324
"481",1998,"Nototheniidae",0.026
"481",1998,"Osteichthyes",0.512
"481",1998,"Rajiformes",0.028
"481",1999,"Euphausia superba",38895.033
"481",2000,"Euphausia superba",71977.2
"481",2001,"Chaenocephalus aceratus",0.738
"481",2001,"Chaenodraco wilsoni",0.001
"481",2001,"Champsocephalus gunnari",0.788
"481",2001,"Channichthyidae",0.048
"481",2001,"Chionodraco rastrospinosus",0.503
"481",2001,"Dissostichus mawsoni",0.04
"481",2001,"Euphausia superba",46777.9
"481",2001,"Notothenia gibberifrons",2.128
"481",2001,"Notothenia neglecta",2.296
"481",2001,"Notothenia rossii",0.124
"481",2001,"Notothenia squamifrons",0.132
"481",2001,"Nototheniidae",0.039
"481",2001,"Osteichthyes",0.142
"481",2001,"Pleuragramma antarcticum",0.001
"481",2001,"Pseudochaenichthys georgianus",0.142
"481",2001,"Rajiformes",0.08
"481",2001,"Trematomus spp",0.12
"481",2002,"Euphausia superba",10645.9
"481",2003,"Euphausia superba",35377.405
"481",2004,"Euphausia superba",13881.5
"481",2005,"Chaenocephalus aceratus",0.001
"481",2005,"Champsocephalus gunnari",0.005
"481",2005,"Cryodraco antarcticus",0.001
"481",2005,"Euphausia superba",7095.409
"481",2005,"Pleuragramma antarcticum",0.004
"481",2005,"Pseudochaenichthys georgianus",0.003
"481",2006,"Aethotaxis mitopteryx",0.00021
"481",2006,"Artedidraco skottsbergi",2.8e-05
"481",2006,"Bathylagus antarcticus",2.9e-05
"481",2006,"Bathyraja eatonii",0.015925
"481",2006,"Bathyraja maccaini",0.089299
"481",2006,"Chaenocephalus aceratus",2.618844
"481",2006,"Chaenodraco wilsoni",0.078421
"481",2006,"Champsocephalus gunnari",15.964613
"481",2006,"Chionodraco rastrospinosus",0.290116
"481",2006,"Cryodraco antarcticus",0.078125
