Site_name,Coordinates
Admiralty Bay,"62°10'S, 58°25'W"
Aitcho - Barrientos Island,"62°24'S, 059°47'W"
Aitcho - Other,"62°24'S, 059°47'W"
Alexander Island,"71°00'S, 70°00'W"
Almirante Brown,"64° 53.722' S, 62° 52.227' W "
Andresen Island,"66°53'S, 66°40'W"
Andvord Bay,"64°50'S, 62°39'W"
Antarctic Sound,"63°20'S, 56°45'W"
Arctowski Station,"62° 9.586' S, 58° 28.399' W"
Ardley Island,"62°13'S, 058°56'W"
Argentine Islands Other,"65°15'S, 064°16'W"
Argentine Islands/Wordie Hut,"65°15'S, 064°16'W"
Armstrong Reefs,"65°54'S, 66°18'W"
Arturo Prat Station,"62° 28.760' S, 59° 39.811' W"
Astrolabe Island,"63°17'S, 58°40'W"
Avian Island,"67°46'S, 68°54'W"
Baily Head,"62°58'S, 060°30'W"
Barcroft Islands,"66°27'S, 067°10'W"
Bellingshausen Sea,"71°00'S, 85°00'W"
Bellingshausen Station,"65°20'S, 64°09'W"
Berthelot Islands,"65°20'S, 064°09'W"
Bismarck Strait,"64°51'S, 64°00'W"
Bongrain Point,"67°43'S, 067°48'W"
Booth Island,"65°05'S, 64°00'W"
Borgeois Fjord,"67°40'S, 67°05'W "
Bransfield Strait,"63°00'S, 59°00'W"
Brown Bluff,"63°32'S, 056°55'W"
Bruce Island,"64°54'S, 63°08'W"
Cape Adare,"71°17'S, 170°14'E"
Cape Bird,"77°10'S, 166°41'E"
Cape Evans,"77°38'S, 166°24'E"
Cape Evensen,"66°09'S, 65°44'W"
Cape Hallett,"72°19'S, 170°16'E"
Cape Lookout,"61°16'S, 55°12'W"
Cape Perez,"65°24'S, 64°06'W"
Cape Renard,"65°01'S, 63°47'W"
Cape Royds,"77°33'S, 166°09'E"
Cape Shirreff,"62°27'S, 60°47'W"
Cape Tuxen,"65°16'S, 64°08'W"
Charlotte Bay,"64°33'S, 61°39'W"
Christiania Islands,"63°57'S, 061°27'W"
Cierva Cove,"64°09'S, 60°53'W"
Commonwealth Bay,"66°54'S, 142°40'E"
Coulman Island,"73°28'S, 169°45'E"
