iucn_sid,year,code,category,value,species,sciname
60217,2006,NT,Near Threatened,NA,NA,Carcharhinus perezi
13653,2015,EN,Endangered,NA,NA,Monachus monachus
13653,2013,CR,Critically Endangered,NA,NA,Monachus monachus
13653,2008,CR,Critically Endangered,NA,NA,Monachus monachus
13653,1996,CR,Critically Endangered,NA,NA,Monachus monachus
13653,1994,E,Endangered,NA,NA,Monachus monachus
13653,1990,E,Endangered,NA,NA,Monachus monachus
13653,1988,E,Endangered,NA,NA,Monachus monachus
13653,1986,E,Endangered,NA,NA,Monachus monachus
13653,1965,NA,"""Very rare and believed to be decreasing in numbers""",NA,NA,Monachus monachus
39339,2009,VU,Vulnerable,NA,NA,Alopias vulpinus
39339,2002,DD,Data Deficient,NA,NA,Alopias vulpinus
39339,2000,DD,Data Deficient,NA,NA,Alopias vulpinus
2469,2012,EN,Endangered,NA,NA,Balaena mysticetus
2469,1996,EN,Endangered,NA,NA,Balaena mysticetus
2468,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Balaena mysticetus
2472,2012,CR,Critically Endangered,NA,NA,Balaena mysticetus
2472,2008,CR,Critically Endangered,NA,NA,Balaena mysticetus
2472,2000,CR,Critically Endangered,NA,NA,Balaena mysticetus
2472,1996,EN,Endangered,NA,NA,Balaena mysticetus
2467,2012,LC,Least Concern,NA,NA,Balaena mysticetus
2467,2008,LC,Least Concern,NA,NA,Balaena mysticetus
2467,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Balaena mysticetus
2467,1994,V,Vulnerable,NA,NA,Balaena mysticetus
2467,1990,V,Vulnerable,NA,NA,Balaena mysticetus
2467,1988,E,Endangered,NA,NA,Balaena mysticetus
2467,1986,E,Endangered,NA,NA,Balaena mysticetus
2467,1965,NA,"""Very rare but believed to be stable or increasing""",NA,NA,Balaena mysticetus
2474,2008,LC,Least Concern,NA,NA,Balaenoptera acutorostrata
2474,1996,LR/nt,Lower Risk/near threatened,NA,NA,Balaenoptera acutorostrata
2474,1994,K,Insufficiently Known,NA,NA,Balaenoptera acutorostrata
2480,2008,DD,Data Deficient,NA,NA,Balaenoptera bonaerensis
2480,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Balaenoptera bonaerensis
2475,2008,EN,Endangered,NA,NA,Balaenoptera borealis
2475,1996,EN,Endangered,NA,NA,Balaenoptera borealis
2475,1994,V,Vulnerable,NA,NA,Balaenoptera borealis
2476,2008,DD,Data Deficient,NA,NA,Balaenoptera edeni
