Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.4698267,746.0380129,745.982703,827.8494456,874.9059641,996.0684736,1028.211637,1224.659984,1313.02354,1399.472762,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,1978.272001,2235.225563,2386.304685,2451.231704,2452.070866,2507.940163,2636.355222,2618.290977,2603.00929,2907.447872,2695.124744,1954.84852,1859.245368,2100.432004,2343.655294,2738.587855,3056.008581,2805.365979,3211.714367,3596.073669,3957.574147,4355.466992,4585.937778,4986.43589,5468.239766,5997.904059,6747.122126,7186.31931,8243.182514,8686.695104,8779.376846,9040.739152,9443.269952
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,2932.227881,3199.95244,3496.932578,3708.912127,3935.798536,4077.763072,4062.579246,4034.6946,4020.721915,4241.266359,4325.199397,4311.07681,4376.71945,4281.957761,4240.189171,4417.261263,4596.728329,4658.791852,4888.659651,5044.461008,5193.403477,5376.223392,5646.066567,6082.403007,6488.557935,6942.187886,7193.742503,7496.233523,7707.896653,7818.273357,8057.593896,8270.28781,8515.350649
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,1852.6539,1893.418283,2049.995372,2185.987078,2220.008106,2234.442291,2214.322315,2037.991735,1517.311273,1551.730671,1700.6122,1870.935585,2003.052429,2112.249454,2151.558338,2196.949764,2243.190009,2522.058386,2568.169234,2833.543356,3343.426799,4026.239662,4909.693214,5524.018435,5522.427858,5602.73731,5760.124712,6105.39804
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,3413.026195,3916.041597,4209.873481,4648.013151,5379.635927,6088.805332,7140.433283,8097.460722,8967.387329,9932.81139,10582.32616,11074.26026,11219.70591,11816.56984,12496.07221,11930.20469,12609.93759,13110.16364,13511.07353,13929.76261,14728.35749,14347.67048,14804.43628,15937.52495,17019.32069,18468.0722,21293.09308,23727.28875,23998.52335,21060.92113,19606.18759,19256.76478,19963.92125
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,4812.392778,4889.201863,4855.308602,5163.453287,5393.207642,5059.420927,5497.294044,5737.671889,5702.002059,5395.332092,5389.477312,6193.183006,6984.621438,7461.181069,7954.956181,7809.929101,8285.005973,9020.525404,9389.322162,9102.319397,9128.769025,8835.472447,7925.429771,8727.973157,9697.194958,10842.74556,12033.89751,,,,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121.823557,1955.324631,1182.993485,1128.661596,1243.246639,1388.122062,1519.007646,1617.94918,1774.413481,1871.350632,2036.304559,2293.516034,2649.320157,3096.09547,3528.409701,4165.785316,4887.171425,5745.210801,6303.573398,5476.348313,5674.852124,6069.035391,6645.216036
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,9185.606082,10177.67463,10941.10896,11139.69941,12158.97288,12928.56324,13545.31456,14050.31854,14959.8669,16085.76862,17259.5769,17774.02972,18183.32083,19051.22241,19993.83225,20905.55511,21975.06037,22923.98707,24232.63108,25320.70737,26272.44275,27375.18881,28744.7064,29793.17748,31329.01474,32525.56028,34145.63293,36213.77368,37159.50339,40082.21115,39092.52773,42119.14849,44461.51991
Austria,AUT,,,,,,,,,,,,,,,,,,,,,10378.58635,11306.05577,12227.38488,13110.12212,13610.33001,14369.69957,15019.55174,15659.84733,16711.28426,17937.3456,19292.98463,20459.01648,21149.32915,21549.01093,22441.70132,23482.52854,24362.87748,25001.01987,26210.92649,27186.27725,28904.77812,29035.21703,30463.98527,31318.34096,32845.41949,33626.38683,36534.88675,38053.31146,39782.91984,38887.517,40401.19361,42172.45625,43324.20071
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3433.411263,3470.938666,2701.846479,2091.259607,1690.466404,1508.208176,1539.245531,1643.980114,1816.46029,1962.18805,2208.938371,2463.49931,2748.291337,3096.922869,3478.175374,4496.143936,6174.195977,7855.032506,8710.985858,9407.433897,9891.551351,10070.9353,10623.89149
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,12431.63544,12070.45615,13361.64652,14076.04593,16324.21343,17284.2251,17653.42419,18385.29095,19135.71051,20831.88606,20905.37344,20333.98279,19593.17871,19713.35856,20393.44534,21452.64188,22463.60027,23110.81958,24280.02862,26079.80059,27347.30315,28204.69125,28863.14581,28491.31252,28929.86171,30276.90029,31416.46879,32178.68206,31545.72314,29965.0738,30155.02974,30809.12118,31629.18858
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,10038.30942,10000.20903,9507.324197,10235.21578,10855.90823,10345.13374,10354.32033,11359.42599,12138.59761,12223.95521,12855.1521,14387.24615,15280.12597,17198.41141,17075.70063,17690.61745,18227.55571,18586.00113,19105.8675,19482.14521,20101.5299,20563.98767,20982.42844,21791.43422,22261.77828,23130.68597,23563.31809,24197.2949,24319.15248,23690.71257,23885.72503,,
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,315.8023408,348.9491863,369.0105354,388.5729329,412.9459655,427.704207,443.7783657,461.3233268,475.0123123,492.9969634,528.9376838,552.0731039,578.9603126,605.4354121,629.4536914,661.7243388,689.9971202,726.0954746,759.389835,792.5728345,842.197157,890.9252203,929.6594307,983.4877332,1058.95176,1143.870727,1243.983145,1347.552256,1447.660981,1528.391503,1625.204879,1750.996562,1883.048693
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,8610.745329,9592.196462,9933.19072,10879.25749,11814.26015,11632.70633,11640.10697,11259.44009,11586.67659,12258.45838,12695.5389,13121.45393,14190.83504,14938.8387,15501.22635,16143.91579,15610.87564,15232.19391,15788.03743,16746.04221,17763.56244,18870.11617,19414.31847,19782.19006,18805.45122,,,
