Country,Sp,Maric_sustainability,Genetic escapees
Argentina,Blue mussel,0.83,1
Argentina,Pacific cupped oyster,0.9,0.3
Argentina,River Plata mussel,0.83,0.7
Australia,Atlantic salmon,0.23,0.1
Australia,Barramundi,0.3,0.5
Australia,Cupped oysters nei,0.9,0.5
Australia,Flat oysters nei,0.87,0.5
Australia,Giant tiger prawn,0.23,1
Australia,Giant tiger prawn (br),0.23,1
Australia,Kuruma prawn,0.33,1
Australia,Pacific cupped oyster,1,0.1
Australia,Pacific cupped oyster (br),1,0.1
Australia,Southern bluefin tuna,0.1,1
Bangladesh,Penaeus shrimps nei,0.23,0.5
Belize,Whiteleg shrimp,0.37,0.1
Brazil,Cupped oysters nei,0.9,0.7
Brazil,Groupers nei,0.33,0.9
Brazil,Whiteleg shrimp,0.3,0.1
Cambodia,Penaeus shrimps nei,0.23,0.5
Canada,Atlantic bluefin tuna,0.4,1
Canada,Atlantic cod,0.23,1
Canada,Blue mussel,0.93,1
Canada,Coho(=Silver)salmon,0.33,1
Canada,Pacific cupped oyster,0.83,0.1
Chile,Abalones nei,0.67,0.1
Chile,Atlantic salmon,0.13,0.1
Chile,Coho(=Silver)salmon,0.27,0.1
Chile,Gracilaria seaweeds,0.9,1
Chile,Pacific cupped oyster,0.53,0.1
China,Blood cockle,0.67,1
China,Groupers nei,0.33,0.9
China,Laver (Nori),0.67,1
China,Pacific cupped oyster,0.53,0.1
China,Red drum,0.37,0.1
China,Whiteleg shrimp,0.37,0.1
Colombia,Cupped oysters nei,0.9,0.5
Costa Rica,Whiteleg shrimp,0.43,1
Denmark,Atlantic salmon,0.5,1
Denmark,Blue mussel,0.93,1
Denmark,European eel,0.43,1
Ecuador,Red drum,0.37,0.1
Ecuador,Whiteleg shrimp,0.37,1
Egypt,European seabass,0.43,1
Egypt,European seabass (br),0.43,1
Egypt,Flathead grey mullet,0.43,1
Egypt,Gilthead seabream,0.23,0.1
Egypt,Gilthead seabream (br),0.23,0.1
Egypt,Penaeus shrimps nei,0.3,0.5
Faroe Islands,Atlantic salmon,0.43,1
Finland,Atlantic salmon,0.5,1
France,Atlantic salmon,0.37,1
France,Blue mussel,0.93,1
France,Coho(=Silver)salmon,0.37,0.1
France,European eel,0.43,1
France,European flat oyster,0.83,1
France,European seabass,0.5,1
France,European seabass (br),0.5,1
France,Gilthead seabream,0.23,1
France,Kuruma prawn,0.43,0.1
France,Pacific cupped oyster ,0.53,0.1
France,Pacific cupped oyster (Med),0.53,0.1
Germany,Blue mussel,0.93,1
Germany,European seabass,0.57,1
Germany,Pacific cupped oyster,0.53,0.1
Greece,European eel,0.43,1
Greece,European eel (br),0.43,1
Greece,European flat oyster,0.83,1
Greece,European seabass,0.3,1
Greece,European seabass (br),0.3,1
Greece,Flathead grey mullet,0.37,1
Greece,Flathead grey mullet (br),0.37,1
Greece,Gilthead seabream,0.17,1
Greece,Gilthead seabream (br),0.17,1
Greece,Kuruma prawn,0.43,0.1
Guatemala,Penaeus shrimps nei,0.17,0.5
Honduras,Penaeus shrimps nei,0.27,0.5
Iceland,Abalones nei,0.63,0.3
Iceland,Arctic char,0.53,1
Iceland,Atlantic cod,0.57,1
Iceland,Atlantic halibut,0.53,1
Iceland,Atlantic salmon,0.6,0.1
Iceland,Atlantic salmon (br),0.6,0.1
