"Country","score","gapfill"
"Finland",90.09,NA
"Canada",89.49,NA
"Denmark",89.39,NA
"Australia",89.13,NA
"Switzerland",88.87,NA
"Sweden",88.8,NA
"Norway",88.7,NA
"Netherlands",88.65,NA
"United Kingdom",88.58,NA
"New Zealand",88.45,NA
"Iceland",88.45,NA
"Ireland",87.94,NA
"Austria",86.6,NA
"Japan",86.54,NA
"Germany",86.42,NA
"Belgium",86.19,NA
"Spain",85.88,NA
"France",84.79,NA
"United States",84.62,NA
"Slovenia",84.27,NA
"Portugal",83.88,NA
"Czech Republic",82.8,NA
"Estonia",82.62,NA
"Italy",82.49,NA
"Chile",82.12,NA
"Korea, Republic of",80.92,NA
"Cyprus",80.75,NA
"Uruguay",80.12,NA
"Costa Rica",80.12,NA
"Poland",79.76,NA
"Slovakia",78.96,NA
"Greece",78.27,NA
"Croatia",77.68,NA
"Lithuania",76.94,NA
"Hungary",76.88,NA
"Latvia",76.19,NA
"Israel",75.32,NA
"Argentina",75.2,NA
"United Arab Emirates",73.69,NA
"Mauritius",73.24,NA
"Panama",73.02,NA
"Romania",72.23,NA
"Bulgaria",72.14,NA
"Jamaica",71.94,NA
"Kuwait",71.84,NA
"Brazil",71.7,NA
"Serbia",71.55,NA
"Colombia",70.84,NA
"Peru",70.09,NA
"Malaysia",70.08,NA
"Mexico",70.02,NA
"Albania",69.78,NA
"Ecuador",69.56,NA
"Georgia",69.17,NA
"Montenegro",68.17,NA
"Tunisia",68,NA
"Macedonia",67.88,NA
"Turkey",67.82,NA
"South Africa",67.6,NA
"Paraguay",67.44,NA
"Thailand",67.43,NA
"Botswana",67.03,NA
"Ukraine",66.43,NA
"El Salvador",66.36,NA
"Saudi Arabia",66.3,NA
"Belarus",66.18,NA
"Armenia",66.05,NA
"Philippines",65.92,NA
"Bosnia and Herzegovina",65.84,NA
"Dominican Republic",65.65,NA
"Jordan",65.43,NA
"Bolivia",64.73,NA
"Moldova",64.73,NA
"Lebanon",64.42,NA
"Russia",64.19,NA
"Kazakhstan",63.86,NA
"Azerbaijan",63.75,NA
"Nicaragua",63.03,NA
"Kyrgyzstan",62.91,NA
"Mongolia",62.8,NA
"Venezuela",62.6,NA
"Indonesia",62.27,NA
"Sri Lanka",62.21,NA
"China",62.1,NA
"Namibia",62.01,NA
"Morocco",61.92,NA
"Guatemala",61.68,NA
"Algeria",61.18,NA
"Egypt",60.74,NA
"Honduras",60.64,NA
"Uzbekistan",60.49,NA
"Ghana",60.37,NA
"Iran",59.45,NA
"Tajikistan",58.78,NA
"Nepal",57.4,NA
"Senegal",55.64,NA
"Cambodia",54.28,NA
"India",53.92,NA
"Kenya",53.72,NA
"Malawi",53.44,NA
"Bangladesh",52.73,NA
"Laos",52.54,NA
"Lesotho",52.39,NA
"Iraq",52.28,NA
"Rwanda",51.91,NA
"Swaziland",51.76,NA
"Uganda",50.69,NA
"Benin",50.03,NA
"Tanzania",49.99,NA
