"rgn_id","rgn_nam","HDI","LifeExp","Schooling","ExpectedSchooling","GNI","GNIrankHDIrank","NonIncomeHDI","Developed_Developing","year"
6,"Vanuatu",0.626,71.3,6.7,10.6,3960,,0.672,0,2013
7,"Solomon Islands",0.53,68.2,4.5,9.3,2172,,0.572,0,2013
8,"Palau",0.791,72.1,12.2,13.7,11463,,0.84,0,2013
9,"Micronesia Federated States of",0.645,69.2,8.8,11.4,3352,,0.719,0,2013
15,"Philippines",0.654,69,8.9,11.7,3752,,0.724,0,2013
16,"Australia",0.938,82,12,19.6,34340,,0.978,1,2013
17,"Papua New Guinea",0.466,63.1,3.9,5.8,2386,,0.464,0,2013
18,"Fiji",0.702,69.4,10.7,13.9,4087,,0.794,0,2013
20,"Korea Republic of",0.909,80.7,11.6,17.2,28231,,0.949,1,2013
24,"Cambodia",0.543,63.6,5.8,10.5,2095,,0.597,0,2013
25,"Thailand",0.69,74.3,6.6,12.3,7722,,0.715,0,2013
28,"Comoros",0.429,61.5,2.8,10.2,986,,0.484,0,2013
31,"Seychelles",0.806,73.8,9.4,14.3,22615,,0.808,1,2013
37,"Mauritius",0.737,73.5,7.2,13.6,13300,,0.745,0,2013
39,"Maldives",0.688,77.1,5.8,12.5,7478,,0.715,0,2013
40,"Sri Lanka",0.715,75.1,9.3,12.7,5170,,0.792,0,2013
41,"Mozambique",0.327,50.7,1.2,9.2,906,,0.327,0,2013
42,"Madagascar",0.483,66.9,5.2,10.4,828,,0.601,0,2013
43,"Kenya",0.519,57.7,7,11.1,1541,,0.588,0,2013
45,"Eritrea",0.351,62,3.4,4.6,531,,0.418,0,2013
46,"Djibouti",0.445,58.3,3.8,5.7,2350,,0.435,0,2013
47,"Yemen",0.458,65.9,2.5,8.7,1820,,0.474,0,2013
48,"Oman",0.731,73.2,5.5,13.5,24092,,0.694,0,2013
49,"Sudan",0.414,61.8,3.1,4.5,1848,,0.405,0,2013
50,"Saudi Arabia",0.782,74.1,7.8,14.3,22616,,0.774,0,2013
51,"Kuwait",0.79,74.7,6.1,14.2,52793,,0.73,0,2013
52,"Bahrain",0.796,75.2,9.4,13.4,19154,,0.806,0,2013
53,"Pakistan",0.515,65.7,4.9,7.3,2566,,0.534,0,2013
54,"United Arab Emirates",0.818,76.7,8.9,12,42716,,0.783,1,2013
56,"Cape Verde",0.586,74.3,3.5,12.7,3609,,0.617,0,2013
59,"Belgium",0.897,80,10.9,16.4,33429,,0.917,1,2013
61,"Tunisia",0.712,74.7,6.5,14.5,8103,,0.746,0,2013
62,"Morocco",0.591,72.4,4.4,10.4,4384,,0.608,0,2013
64,"Mauritania",0.467,58.9,3.7,8.1,2174,,0.473,0,2013
65,"Gambia",0.439,58.8,2.8,8.7,1731,,0.448,0,2013
66,"Senegal",0.47,59.6,4.5,8.2,1653,,0.501,0,2013
67,"Libya",0.769,75,7.3,16.2,13765,,0.791,0,2013
68,"Malta",0.847,79.8,9.9,15.1,21184,,0.876,1,2013
69,"Latvia",0.814,73.6,11.5,14.8,14724,,0.856,1,2013
70,"Estonia",0.846,75,12,15.8,17402,,0.892,1,2013
71,"Bulgaria",0.782,73.6,10.6,14,11474,,0.826,0,2013
72,"Romania",0.786,74.2,10.4,14.5,11011,,0.836,0,2013
73,"Russian Federation",0.788,69.1,11.7,14.3,14461,,0.816,0,2013
74,"Georgia",0.745,73.9,12.1,13.2,5005,,0.845,0,2013
75,"Ukraine",0.74,68.8,11.3,14.8,6428,,0.813,0,2013
76,"Turkey",0.722,74.2,6.5,12.9,13710,,0.72,0,2013
77,"Syrian Arab Republic",0.648,76,5.7,11.7,4674,,0.692,0,2013
78,"Lebanon",0.745,72.8,7.9,13.9,12364,,0.762,0,2013
79,"Israel",0.9,81.9,11.9,15.7,26224,,0.942,1,2013
80,"Greece",0.86,80,10.1,16.3,20511,,0.899,1,2013
81,"Cyprus",0.848,79.8,9.8,14.9,23825,,0.869,1,2013
82,"Albania",0.749,77.1,10.4,11.4,7822,,0.807,0,2013
84,"Algeria",0.713,73.4,7.6,13.6,7418,,0.755,0,2013
96,"Sierra Leone",0.359,48.1,3.3,7.3,881,,0.38,0,2013
97,"Liberia",0.388,57.3,3.9,10.5,480,,0.502,0,2013
98,"Togo",0.459,57.5,5.3,10.6,928,,0.542,0,2013
99,"Benin",0.436,56.5,3.2,9.4,1439,,0.459,0,2013
100,"Congo",0.534,57.8,5.9,10.1,2934,,0.553,0,2013
101,"Namibia",0.608,62.6,6.2,11.3,5973,,0.611,0,2013
102,"South Africa",0.629,53.4,8.5,13.1,9594,,0.608,0,2013
103,"Sao Tome and Principe",0.525,64.9,4.7,10.8,1864,,0.579,0,2013
104,"Equatorial Guinea",0.554,51.4,5.4,7.9,21715,,0.463,0,2013
106,"Ghana",0.558,64.6,7,11.4,1684,,0.646,0,2013
110,"Bahamas",0.794,75.9,8.5,12.6,27401,,0.777,0,2013
112,"Cuba",0.78,79.3,10.2,16.2,5539,,0.894,0,2013
114,"Haiti",0.456,62.4,4.9,7.6,1070,,0.521,0,2013
115,"Dominican Republic",0.702,73.6,7.2,12.3,8506,,0.726,0,2013
119,"Saint Kitts and Nevis",0.745,73.3,8.4,12.9,12460,,0.763,0,2013
120,"Antigua and Barbuda",0.76,72.8,8.9,13.3,13883,,0.776,0,2013
122,"Saint Lucia",0.725,74.8,8.3,12.7,7971,,0.768,0,2013
123,"Dominica",0.745,77.6,7.7,12.7,10977,,0.771,0,2013
124,"Barbados",0.825,77,9.3,16.3,17308,,0.859,1,2013
125,"Grenada",0.77,76.1,8.6,15.8,9257,,0.827,0,2013
126,"Trinidad and Tobago",0.76,70.3,9.2,11.9,21941,,0.743,0,2013
127,"Saint Vincent and the Grenadines",0.733,72.5,8.6,13.3,9367,,0.767,0,2013
129,"Panama",0.78,76.3,9.4,13.2,13519,,0.81,0,2013
130,"Costa Rica",0.773,79.4,8.4,13.7,10863,,0.816,0,2013
131,"Nicaragua",0.599,74.3,5.8,10.8,2551,,0.671,0,2013
132,"Colombia",0.719,73.9,7.3,13.6,8711,,0.751,0,2013
133,"Honduras",0.632,73.4,6.5,11.4,3426,,0.695,0,2013
134,"El Salvador",0.68,72.4,7.5,12,5915,,0.723,0,2013
135,"Mexico",0.775,77.1,8.5,13.7,12947,,0.805,0,2013
136,"Guatemala",0.581,71.4,4.1,10.7,4235,,0.596,0,2013
137,"Ecuador",0.724,75.8,7.6,13.7,7471,,0.772,0,2013
138,"Peru",0.741,74.2,8.7,13.2,9306,,0.78,0,2013
139,"Venezuela Bolivarian Republic of",0.748,74.6,7.6,14.4,11475,,0.774,0,2013
143,"Iceland",0.906,81.9,10.4,18.3,29176,,0.943,1,2013
152,"Samoa",0.702,72.7,10.3,13,3928,,0.8,0,2013
155,"Tonga",0.71,72.5,10.3,13.7,4153,,0.807,0,2013
162,"New Zealand",0.919,80.8,12.5,19.7,24358,,0.978,1,2013
163,"United States",0.937,78.7,13.3,16.8,43480,,0.958,1,2013
164,"Belize",0.702,76.3,8,12.5,5327,,0.767,0,2013
166,"Jamaica",0.73,73.3,9.6,13.1,6701,,0.792,0,2013
167,"Guyana",0.636,70.2,8.5,10.3,3387,,0.703,0,2013
168,"Suriname",0.684,70.8,7.2,12.4,7327,,0.71,0,2013
171,"Brazil",0.73,73.8,7.2,14.2,10152,,0.755,0,2013
172,"Argentina",0.811,76.1,9.3,16.1,15347,,0.848,1,2013
173,"Uruguay",0.792,77.2,8.5,15.5,13333,,0.829,0,2013
174,"Finland",0.892,80.1,10.3,16.9,32510,,0.912,1,2013
175,"Denmark",0.901,79,11.4,16.8,33518,,0.924,1,2013
176,"Germany",0.92,80.6,12.2,16.4,35431,,0.948,1,2013
177,"Netherlands",0.921,80.8,11.6,16.9,37282,,0.945,1,2013
178,"Poland",0.821,76.3,10,15.2,17776,,0.851,1,2013
179,"France",0.893,81.7,10.6,16.1,30277,,0.919,1,2013
180,"United Kingdom",0.875,80.3,9.4,16.4,32538,,0.886,1,2013
181,"Ireland",0.916,80.7,11.6,18.3,28671,,0.96,1,2013
182,"Spain",0.885,81.6,10.4,16.4,25947,,0.919,1,2013
183,"Portugal",0.816,79.7,7.7,16,19907,,0.835,1,2013
184,"Italy",0.881,82,10.1,16.2,26158,,0.911,1,2013
186,"Montenegro",0.791,74.8,10.5,15,10471,,0.85,0,2013
187,"Croatia",0.805,76.8,9.8,14.1,15419,,0.837,1,2013
188,"Slovenia",0.892,79.5,11.7,16.9,23999,,0.936,1,2013
189,"Lithuania",0.818,72.5,10.9,15.7,16858,,0.85,1,2013
190,"Qatar",0.834,78.5,7.3,12.2,87478,,0.761,1,2013
191,"Iran Islamic Republic of",0.742,73.2,7.8,14.4,10695,,0.769,0,2013
192,"Iraq",0.59,69.6,5.6,10,3557,,0.623,0,2013
193,"Guinea-Bissau",0.364,48.6,2.3,9.5,1042,,0.373,0,2013
194,"Guinea",0.355,54.5,1.6,8.8,941,,0.368,0,2013
195,"Ivory Coast",0.432,56,4.2,6.5,1593,,0.444,0,2013
196,"Nigeria",0.471,52.3,5.2,9,2102,,0.482,0,2013
197,"Cameroon",0.495,52.1,5.9,10.9,2114,,0.52,0,2013
198,"Gabon",0.683,63.1,7.5,13,12521,,0.668,0,2013
200,"Angola",0.508,51.5,4.7,10.2,4812,,0.479,0,2013
202,"Tanzania United Republic of",0.476,58.9,5.1,9.1,1383,,0.527,0,2013
203,"India",0.554,65.8,4.4,10.7,3285,,0.575,0,2013
204,"Bangladesh",0.515,69.2,4.8,8.1,1785,,0.567,0,2013
205,"Myanmar",0.498,65.7,3.9,9.4,1817,,0.537,0,2013
206,"Malaysia",0.769,74.5,9.5,12.6,13676,,0.791,0,2013
207,"Viet Nam",0.617,75.4,5.5,11.9,2970,,0.686,0,2013
208,"Singapore",0.895,81.2,10.1,14.4,52613,,0.88,1,2013
209,"Hong Kong China (SAR)",0.906,83,10,15.5,45598,,0.907,1,2013
209,"China",0.699,73.7,7.5,11.7,7945,,0.728,0,2013
210,"Japan",0.912,83.6,11.6,15.3,32545,,0.942,1,2013
212,"Kiribati",0.629,68.4,7.8,12,3079,,0.701,0,2013
214,"Egypt",0.662,73.5,6.4,12.1,5401,,0.702,0,2013
215,"Jordan",0.7,73.5,8.6,12.7,5272,,0.766,0,2013
216,"Indonesia",0.629,69.8,5.8,12.9,4154,,0.672,0,2013
218,"Canada",0.911,81.1,12.3,15.1,35369,,0.934,1,2013
222,"Sweden",0.916,81.6,11.7,16,36143,,0.94,1,2013
223,"Norway",0.955,81.3,12.6,17.5,48688,,0.977,1,2013
224,"Chile",0.819,79.3,9.7,14.7,14987,,0.863,1,2013
231,"Timor-Leste",0.576,62.9,4.4,11.7,5446,,0.569,0,2013
232,"Bosnia and Herzegovina",0.735,75.8,8.3,13.4,7713,,0.787,0,2013
247,"Brunei Darussalam",0.855,78.1,8.6,15,45690,,0.832,1,2013
