"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","model"
"1","Acanthopagrus_berda-51","Goldsilk seabream",NA,NA,NA,NA,NA,"COM-SIR"
"2","Anguilla_anguilla-27","European eel",NA,NA,NA,NA,NA,"COM-SIR"
"3","Anguilla_anguilla-37","European eel",NA,NA,NA,NA,NA,"COM-SIR"
"4","Anodontostoma_chacunda-51","Chacunda gizzard shad",NA,NA,NA,NA,NA,"COM-SIR"
"5","Anodontostoma_chacunda-57","Chacunda gizzard shad",NA,NA,NA,NA,NA,"COM-SIR"
"6","Anodontostoma_chacunda-71","Chacunda gizzard shad",NA,NA,NA,NA,NA,"COM-SIR"
"7","Argentina_silus-27","Greater argentine",NA,NA,NA,NA,NA,"COM-SIR"
"8","Aspistor_quadriscutis-41","Bressou sea catfish",NA,NA,NA,NA,NA,"COM-SIR"
"9","Auxis_rochei-27","Bullet tuna",NA,NA,NA,NA,NA,"COM-SIR"
"10","Auxis_rochei-31","Bullet tuna",NA,NA,NA,NA,NA,"COM-SIR"
"11","Auxis_rochei-34","Bullet tuna",NA,NA,NA,NA,NA,"COM-SIR"
"12","Auxis_rochei-51","Bullet tuna",NA,NA,NA,NA,NA,"COM-SIR"
"13","Auxis_thazard-27","Frigate tuna",NA,NA,NA,NA,NA,"COM-SIR"
"14","Auxis_thazard-31","Frigate tuna",NA,NA,NA,NA,NA,"COM-SIR"
"15","Auxis_thazard-37","Frigate tuna",NA,NA,NA,NA,NA,"COM-SIR"
"16","Auxis_thazard-51","Frigate tuna",NA,NA,NA,NA,NA,"COM-SIR"
"17","Auxis_thazard-57","Frigate tuna",NA,NA,NA,NA,NA,"COM-SIR"
"18","Auxis_thazard-71","Frigate tuna",NA,NA,NA,NA,NA,"COM-SIR"
"19","Bagre_bagre-41","Coco sea catfish",NA,NA,NA,NA,NA,"COM-SIR"
"20","Belone_belone-27","Garfish",NA,NA,NA,NA,NA,"COM-SIR"
"21","Belone_belone-37","Garfish",NA,NA,NA,NA,NA,"COM-SIR"
"22","Boops_boops-27","Bogue",NA,NA,NA,NA,NA,"COM-SIR"
"23","Boops_boops-34","Bogue",NA,NA,NA,NA,NA,"COM-SIR"
"24","Boops_boops-37","Bogue",NA,NA,NA,NA,NA,"COM-SIR"
"25","Callorhinchus_milii-81","Ghost shark",NA,NA,NA,NA,NA,"COM-SIR"
"26","Capros_aper-27","Boarfish",NA,NA,NA,NA,NA,"COM-SIR"
"27","Caranx_hippos-31","Crevalle jack",NA,NA,NA,NA,NA,"COM-SIR"
"28","Caranx_hippos-34","Crevalle jack",NA,NA,NA,NA,NA,"COM-SIR"
"29","Caranx_hippos-41","Crevalle jack",NA,NA,NA,NA,NA,"COM-SIR"
"30","Caranx_hippos-47","Crevalle jack",NA,NA,NA,NA,NA,"COM-SIR"
"31","Caranx_ignobilis-51","Giant trevally",NA,NA,NA,NA,NA,"COM-SIR"
"32","Caranx_ignobilis-57","Giant trevally",NA,NA,NA,NA,NA,"COM-SIR"
"33","Caranx_ignobilis-71","Giant trevally",NA,NA,NA,NA,NA,"COM-SIR"
"34","Caranx_rhonchus-34","False scad",NA,NA,NA,NA,NA,"COM-SIR"
"35","Centropomus_undecimalis-31","Common snook",NA,NA,NA,NA,NA,"COM-SIR"
"36","Cephalopholis_boenak-57","Chocolate hind",NA,NA,NA,NA,NA,"COM-SIR"
"37","Cephalopholis_boenak-71","Chocolate hind",NA,NA,NA,NA,NA,"COM-SIR"
"38","Chirocentrus_dorab-51","Dorab wolfherring",NA,NA,NA,NA,NA,"COM-SIR"
"39","Chirocentrus_dorab-57","Dorab wolfherring",NA,NA,NA,NA,NA,"COM-SIR"
"40","Chirocentrus_dorab-71","Dorab wolfherring",NA,NA,NA,NA,NA,"COM-SIR"
"41","Cilus_gilberti-87","Corvina drum",NA,NA,NA,NA,NA,"COM-SIR"
"42","Clupanodon_thrissa-61","Chinese gizzard shad",NA,NA,NA,NA,NA,"COM-SIR"
"43","Clupanodon_thrissa-71","Chinese gizzard shad",NA,NA,NA,NA,NA,"COM-SIR"
"44","Clupeonella_cultriventris-37","Caspian Sea sprat",NA,NA,NA,NA,NA,"COM-SIR"
"45","Conger_conger-27","European conger",NA,NA,NA,NA,NA,"COM-SIR"
"46","Conger_conger-34","European conger",NA,NA,NA,NA,NA,"COM-SIR"
"47","Conger_conger-37","European conger",NA,NA,NA,NA,NA,"COM-SIR"
"48","Coregonus_nasus-18","Broad whitefish",NA,NA,NA,NA,NA,"COM-SIR"
"49","Coryphaena_hippurus-21","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"50","Coryphaena_hippurus-31","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"51","Coryphaena_hippurus-37","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"52","Coryphaena_hippurus-41","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"53","Coryphaena_hippurus-51","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"54","Coryphaena_hippurus-57","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"55","Coryphaena_hippurus-61","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"56","Coryphaena_hippurus-71","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"57","Coryphaena_hippurus-77","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"58","Coryphaena_hippurus-87","Common dolphinfish",NA,NA,NA,NA,NA,"COM-SIR"
"59","Dentex_dentex-37","Common dentex",NA,NA,NA,NA,NA,"COM-SIR"
"60","Diapterus_rhombeus-31","Caitipa mojarra",NA,NA,NA,NA,NA,"COM-SIR"
"61","Dicentrarchus_labrax-27","European seabass",NA,NA,NA,NA,NA,"COM-SIR"
"62","Dicentrarchus_labrax-37","European seabass",NA,NA,NA,NA,NA,"COM-SIR"
"63","Diplodus_vulgaris-34","Common twobanded seabream",NA,NA,NA,NA,NA,"COM-SIR"
"64","Diplodus_vulgaris-37","Common twobanded seabream",NA,NA,NA,NA,NA,"COM-SIR"
"65","Eleutheronema_tetradactylum-51","Fourfinger threadfin",NA,NA,NA,NA,NA,"COM-SIR"
"66","Eleutheronema_tetradactylum-57","Fourfinger threadfin",NA,NA,NA,NA,NA,"COM-SIR"
"67","Eleutheronema_tetradactylum-61","Fourfinger threadfin",NA,NA,NA,NA,NA,"COM-SIR"
"68","Eleutheronema_tetradactylum-71","Fourfinger threadfin",NA,NA,NA,NA,NA,"COM-SIR"
"69","Emmelichthys_nitidus_nitidus-81","Cape bonnetmouth",NA,NA,NA,NA,NA,"COM-SIR"
"70","Engraulis_encrasicolus-27","European anchovy",NA,NA,NA,NA,NA,"COM-SIR"
"71","Engraulis_encrasicolus-34","European anchovy",NA,NA,NA,NA,NA,"COM-SIR"
"72","Engraulis_encrasicolus-37","European anchovy",NA,NA,NA,NA,NA,"COM-SIR"
"73","Engraulis_mordax-67","Californian anchovy",NA,NA,NA,NA,NA,"COM-SIR"
"74","Engraulis_mordax-77","Californian anchovy",NA,NA,NA,NA,NA,"COM-SIR"
"75","Epinephelus_goreensis-34","Dungat grouper",NA,NA,NA,NA,NA,"COM-SIR"
"76","Epinephelus_marginatus-34","Dusky grouper",NA,NA,NA,NA,NA,"COM-SIR"
"77","Epinephelus_marginatus-37","Dusky grouper",NA,NA,NA,NA,NA,"COM-SIR"
"78","Ethmalosa_fimbriata-34","Bonga shad",NA,NA,NA,NA,NA,"COM-SIR"
"79","Ethmalosa_fimbriata-37","Bonga shad",NA,NA,NA,NA,NA,"COM-SIR"
"80","Ethmalosa_fimbriata-47","Bonga shad",NA,NA,NA,NA,NA,"COM-SIR"
"81","Gerres_oyena-51","Common silverbiddy",NA,NA,NA,NA,NA,"COM-SIR"
"82","Haemulon_steindachneri-31","Cherechere grunt",NA,NA,NA,NA,NA,"COM-SIR"
"83","Harpadon_nehereus-51","Bombay duck",NA,NA,NA,NA,NA,"COM-SIR"
"84","Harpadon_nehereus-57","Bombay duck",NA,NA,NA,NA,NA,"COM-SIR"
"85","Harpadon_nehereus-61","Bombay duck",NA,NA,NA,NA,NA,"COM-SIR"
"86","Harpadon_nehereus-71","Bombay duck",NA,NA,NA,NA,NA,"COM-SIR"
"87","Hippoglossoides_elassodon-61","Flathead sole",NA,NA,NA,NA,NA,"COM-SIR"
"88","Hippoglossoides_elassodon-67","Flathead sole",NA,NA,NA,NA,NA,"COM-SIR"
"89","Ilisha_elongata-61","Elongate ilisha",NA,NA,NA,NA,NA,"COM-SIR"
"90","Ilisha_elongata-71","Elongate ilisha",NA,NA,NA,NA,NA,"COM-SIR"
"91","Isacia_conceptionis-87","Cabinza grunt",NA,NA,NA,NA,NA,"COM-SIR"
"92","Kathetostoma_giganteum-81","Giant stargazer",NA,NA,NA,NA,NA,"COM-SIR"
"93","Konosirus_punctatus-61","Dotted gizzard shad",NA,NA,NA,NA,NA,"COM-SIR"
"94","Lactarius_lactarius-51","False trevally",NA,NA,NA,NA,NA,"COM-SIR"
"95","Lactarius_lactarius-57","False trevally",NA,NA,NA,NA,NA,"COM-SIR"
"96","Lactarius_lactarius-71","False trevally",NA,NA,NA,NA,NA,"COM-SIR"
"97","Leiognathus_equulus-51","Common ponyfish",NA,NA,NA,NA,NA,"COM-SIR"
"98","Leucoraja_naevus-27","Cuckoo ray",NA,NA,NA,NA,NA,"COM-SIR"
"99","Limanda_limanda-27","Common dab",NA,NA,NA,NA,NA,"COM-SIR"
"100","Liza_aurata-27","Golden grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"101","Liza_aurata-34","Golden grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"102","Lophius_vomerinus-47","Devil anglerfish",NA,NA,NA,NA,NA,"COM-SIR"
"103","Lutjanus_quinquelineatus-71","Fivelined snapper",NA,NA,NA,NA,NA,"COM-SIR"
"104","Mallotus_villosus-18","Capelin",NA,NA,NA,NA,NA,"COM-SIR"
"105","Mallotus_villosus-21","Capelin",NA,NA,NA,NA,NA,"COM-SIR"
"106","Mallotus_villosus-27","Capelin",NA,NA,NA,NA,NA,"COM-SIR"
"107","Mallotus_villosus-61","Capelin",NA,NA,NA,NA,NA,"COM-SIR"
"108","Merluccius_merluccius-27","European hake",NA,NA,NA,NA,NA,"COM-SIR"
"109","Merluccius_merluccius-34","European hake",NA,NA,NA,NA,NA,"COM-SIR"
