Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2011,2012,2013,2014,2015,2016,2017,2018,Estimates Start After
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",967.527,"1,053.81","1,072.19","1,112.16","1,170.65","1,231.96","1,292.02","1,343.03",2007
Albania,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,848.17","8,052.18","8,290.46","8,623.51","8,972.35","9,341.45","9,731.99","10,136.06",2008
Algeria,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,271.85","7,477.07","7,736.90","8,040.42","8,372.72","8,737.23","9,129.88","9,541.37",2011
Angola,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,923.85","6,346.74","6,650.29","7,063.35","7,486.61","7,915.28","8,067.25","8,481.57",2000
Antigua and Barbuda,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,433.40","18,026.66","18,625.96","19,602.72","20,676.44","21,844.17","23,092.91","24,404.49",2009
Argentina,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,659.54","18,112.33","18,709.31","19,521.42","20,283.16","21,088.47","21,940.39","22,820.19",2010
Armenia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,404.94","5,838.26","6,128.16","6,441.79","6,786.32","7,153.97","7,546.40","7,958.16",2011
Australia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","40,949.02","42,640.28","44,073.81","45,862.66","47,619.22","49,480.88","51,532.78","53,660.32",2011
Austria,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","41,556.13","42,408.58","43,344.79","44,746.78","46,167.04","47,663.12","49,172.21","50,687.40",2012
Azerbaijan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,213.21","10,478.23","11,003.54","11,783.84","12,493.39","13,088.82","13,688.17","14,422.68",2011
The Bahamas,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","30,414.74","31,382.41","32,397.94","33,493.88","34,636.24","35,841.13","37,111.82","38,416.95",2008
Bahrain,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,735.31","28,743.82","29,832.89","30,809.06","31,931.88","33,151.29","34,445.14","35,792.46",2010
Bangladesh,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,909.46","2,039.48","2,174.32","2,333.56","2,510.99","2,708.76","2,928.06","3,170.26",2010
Barbados,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","24,989.02","25,372.68","25,854.24","26,565.38","27,438.62","28,498.90","29,677.30","30,956.35",2010
Belarus,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,056.27","15,633.70","16,307.68","17,157.57","18,108.18","19,149.80","20,306.00","21,584.36",2010
Belgium,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","37,611.05","37,883.06","38,286.44","39,235.11","40,232.52","41,299.71","42,473.76","43,686.53",2012
Belize,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,302.55","8,753.51","8,963.61","9,209.75","9,465.19","9,734.12","10,017.14","10,305.54",2012
Benin,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,620.35","1,666.74","1,717.82","1,776.81","1,842.93","1,917.58","1,997.66","2,083.47",2011
