"rgn_id","gap_filled"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0.02
15,0.01
16,0.03
17,0.02
18,0.02
19,0.02
20,0.02
21,0.05
24,0.1
25,0.04
26,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0.01
42,0.01
43,0.01
44,0.01
45,0.55
46,0
47,0.04
48,0
49,0.56
50,0.58
51,0.67
52,0.62
53,0.01
54,0.5
55,0
56,0
57,0
58,0
59,0.08
60,0.53
61,0.51
62,0.06
63,0.04
64,0.01
65,0
66,0.01
67,0.52
68,0.51
69,0.43
70,0.43
71,0.36
72,0.35
73,0.12
74,0.53
75,0.39
76,0.46
77,0.67
78,0.67
79,0.67
80,0.46
81,0.62
82,0.37
84,0.52
85,0
86,0
88,0
89,0
90,0
91,0
92,0
93,0.01
94,0
95,0.01
96,0.01
97,0.02
98,0.01
99,0.04
100,0.02
101,0.02
102,0.02
103,0
104,0
105,0
106,0.01
107,0
108,0
110,0
111,0
112,0.01
113,0
114,0.02
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
129,0.04
130,0.01
131,0.01
132,0.01
133,0.01
134,0.03
135,0.02
136,0.03
137,0
138,0.03
139,0.03
140,0
141,0
143,0.01
144,0
145,0.02
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
161,0.01
162,0.02
163,0.02
164,0.01
166,0
167,0
168,0
169,0
171,0
172,0.01
173,0.03
174,0.43
175,0.15
176,0.1
177,0
178,0.43
179,0.14
180,0.03
181,0.01
182,0.25
183,0
184,0.46
185,0.52
186,0.35
187,0.33
188,0.35
189,0.43
190,0.66
191,0.39
192,0.66
193,0.01
194,0.01
195,0.04
196,0.04
197,0.07
198,0.01
199,0.01
200,0.02
202,0
203,0.03
204,0.08
205,0.03
206,0.03
207,0.01
208,0
209,0.04
210,0.02
212,0
214,0.63
215,0.62
216,0.02
218,0.09
219,0
220,0
221,0
222,0.41
223,0.05
224,0.02
227,0
228,0
231,0
232,0.3
237,0
244,0
245,0
247,0
248,0
249,0
250,0
